Ukraine, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 13/11/2015
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1959    12-        .            0.05           0.05           0.00           0.00           0.00           0.00
1959    13      1946            0.36           0.36           0.00           0.00           0.00           0.00
1959    13      1945            0.60           0.60           0.00           0.00           0.00           0.00
1959    14      1945            3.39           3.39           0.00           0.00           0.00           0.00
1959    14      1944            8.70           8.70           0.00           0.00           0.00           0.00
1959    15      1944           39.64          39.64           0.00           0.00           0.00           0.00
1959    15      1943           70.51          70.51           0.00           0.00           0.00           0.00
1959    16      1943          189.24         189.24           0.00           0.00           0.00           0.00
1959    16      1942          393.18         393.18           0.00           0.00           0.00           0.00
1959    17      1942         1187.09        1186.99           0.08           0.01           0.00           0.00
1959    17      1941         2495.23        2494.67           0.48           0.08           0.00           0.00
1959    18      1941         5888.62        5860.82          25.17           2.62           0.00           0.00
1959    18      1940         9281.20        9162.74         108.29          10.17           0.00           0.00
1959    19      1940        14517.83       13500.89         943.92          73.01           0.00           0.00
1959    19      1939        17831.00       15887.02        1807.06         136.92           0.00           0.00
1959    20      1939        24168.66       21139.27        2791.40         237.99           0.00           0.00
1959    20      1938        31371.28       27172.68        3852.54         346.06           0.00           0.00
1959    21      1938        36758.72       30357.51        5843.62         557.58           0.01           0.00
1959    21      1937        37283.41       30088.40        6545.87         649.11           0.02           0.01
1959    22      1937        40364.88       30925.66        8512.21         926.09           0.65           0.29
1959    22      1936        36963.67       27489.32        8497.55         973.66           2.24           0.90
1959    23      1936        37670.92       26109.20       10182.98        1316.42          47.80          14.52
1959    23      1935        30906.45       20462.76        9047.86        1249.09         114.35          32.39
1959    24      1935        31337.74       18265.72       10686.31        1716.66         531.57         137.48
1959    24      1934        25241.82       13788.98        9089.28        1571.39         629.80         162.38
1959    25      1934        24551.78       12228.19        9747.32        1914.82         516.56         144.88
1959    25      1933        21922.77       10320.58        9062.02        1933.91         469.62         136.64
1959    26      1933        19875.73        8229.45        8618.18        2232.55         607.40         188.15
1959    26      1932        23588.51        9183.60       10390.81        2946.10         808.07         259.92
1959    27      1932        21746.12        7508.73        9761.21        3279.33         887.33         309.53
1959    27      1931        21006.28        6870.07        9464.14        3414.40         922.71         334.96
1959    28      1931        19952.80        5924.04        9002.65        3648.67         989.30         388.13
1959    28      1930        26290.57        7454.08       11839.05        5030.75        1396.76         569.93
1959    29      1930        25919.44        6735.65       11578.24        5270.18        1619.66         715.71
1959    29      1929        22901.31        5673.87       10154.95        4798.28        1553.91         720.30
1959    30      1929        21484.27        4783.70        9308.06        4751.95        1737.67         902.89
1959    30      1928        25079.38        5351.93       10719.17        5657.04        2160.48        1190.75
1959    31      1928        22330.18        4467.58        9294.26        5193.01        2081.95        1293.39
1959    31      1927        17719.38        3444.64        7265.39        4171.98        1713.37        1123.99
1959    32      1927        16528.47        3056.68        6562.96        3971.99        1702.46        1234.38
1959    32      1926        17675.81        3187.29        6882.84        4290.88        1881.75        1433.06
1959    33      1926        16515.51        2829.94        6142.06        4087.24        1880.95        1575.33
1959    33      1925        14834.87        2476.61        5374.85        3702.02        1748.38        1533.02
1959    34      1925        14155.59        2236.60        4828.46        3584.03        1791.84        1714.66
