Ukraine, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 13/11/2015
Year  ARDY   Cohort       Total
1959    12-   1947+        0.01
1959    13    1946         0.40
1959    14    1945         3.99
1959    15    1944        48.34
1959    16    1943       259.75
1959    17    1942      1580.27
1959    18    1941      8383.85
1959    19    1940     23799.03
1959    20    1939     41999.66
1959    21    1938     68130.00
1959    22    1937     77648.29
1959    23    1936     74634.59
1959    24    1935     62244.19
1959    25    1934     49793.60
1959    26    1933     41798.50
1959    27    1932     45334.63
1959    28    1931     40959.08
1959    29    1930     52210.01
1959    30    1929     44385.58
1959    31    1928     47409.56
1959    32    1927     34247.85
1959    33    1926     34191.32
1959    34    1925     28990.46
1959    35    1924     25928.87
1959    36    1923     20682.72
1959    37    1922     16076.91
1959    38    1921     10691.76
1959    39    1920      8457.92
1959    40    1919      5876.12
1959    41    1918      5502.83
1959    42    1917      2368.91
1959    43    1916      1975.00
1959    44    1915      1466.08
1959    45    1914      1228.35
1959    46    1913       746.27
1959    47    1912       546.44
1959    48    1911       292.75
1959    49    1910       245.64
1959    50    1909       117.70
1959    51    1908        89.38
1959    52    1907        52.25
1959    53    1906        42.58
1959    54    1905        32.32
1959    55+   1904-       78.24
1960    12-   1948+        0.02
1960    13    1947         0.33
1960    14    1946         5.90
1960    15    1945        37.85
1960    16    1944       245.70
1960    17    1943      1182.61
1960    18    1942      6744.93
1960    19    1941     23163.14
1960    20    1940     43812.70
1960    21    1939     60296.90
1960    22    1938     78579.81
1960    23    1937     79345.09
1960    24    1936     72122.07
1960    25    1935     59284.66
1960    26    1934     44525.56
1960    27    1933     35947.77
1960    28    1932     40568.15
1960    29    1931     38337.75
1960    30    1930     48119.19
1960    31    1929     38752.65
1960    32    1928     40507.97
1960    33    1927     30563.71
1960    34    1926     30850.77
1960    35    1925     25514.83
1960    36    1924     21762.28
1960    37    1923     16913.13
1960    38    1922     12899.09
1960    39    1921      8464.86
1960    40    1920      6688.22
1960    41    1919      4594.49
1960    42    1918      3787.77
1960    43    1917      1451.31
1960    44    1916      1065.10
1960    45    1915       753.27
1960    46    1914       658.93
1960    47    1913       403.66
1960    48    1912       293.65
1960    49    1911       158.55
1960    50    1910       128.21
1960    51    1909        61.00
1960    52    1908        49.02
1960    53    1907        32.30
1960    54    1906        27.60
1960    55+   1905-       65.51
1961    12-   1949+        0.02
1961    13    1948         0.40
1961    14    1947         5.15
1961    15    1946        59.86
1961    16    1945       221.23
1961    17    1944      1391.51
1961    18    1943      5956.49
1961    19    1942     19607.90
1961    20    1941     41230.65
1961    21    1940     58106.54
1961    22    1939     68014.23
1961    23    1938     79274.08
1961    24    1937     78840.91
1961    25    1936     69220.83
1961    26    1935     52010.38
1961    27    1934     37029.64
1961    28    1933     30437.40
1961    29    1932     35883.38
1961    30    1931     34031.53
1961    31    1930     40557.41
1961    32    1929     32312.08
1961    33    1928     33894.60
1961    34    1927     25957.73
1961    35    1926     24424.94
1961    36    1925     18801.94
1961    37    1924     15670.74
1961    38    1923     12089.53
1961    39    1922      9326.18
1961    40    1921      6280.82
1961    41    1920      4882.95
1961    42    1919      3091.19
1961    43    1918      2184.13
1961    44    1917       748.96
1961    45    1916       552.54
1961    46    1915       425.62
1961    47    1914       364.46
1961    48    1913       213.20
1961    49    1912       149.09
1961    50    1911        71.13
1961    51    1910        52.16
1961    52    1909        27.15
1961    53    1908        22.93
1961    54    1907        16.00
1961    55+   1906-       42.40
1962    12-   1950+        0.02
1962    13    1949         0.39
1962    14    1948         5.99
1962    15    1947        50.53
1962    16    1946       359.16
1962    17    1945      1270.32
1962    18    1944      6588.66
1962    19    1943     16199.33
1962    20    1942     30903.69
1962    21    1941     48766.58
1962    22    1940     61401.86
1962    23    1939     68184.06
1962    24    1938     79267.51
1962    25    1937     79059.91
1962    26    1936     63984.06
1962    27    1935     46734.50
1962    28    1934     34143.41
1962    29    1933     28675.78
1962    30    1932     34248.98
1962    31    1931     30560.67
1962    32    1930     34682.42
1962    33    1929     28256.06
1962    34    1928     29550.14
1962    35    1927     21913.34
1962    36    1926     19202.05
1962    37    1925     14927.33
1962    38    1924     12779.85
1962    39    1923     10003.93
1962    40    1922      7968.53
1962    41    1921      5377.05
1962    42    1920      3610.53
1962    43    1919      1893.15
1962    44    1918      1105.70
1962    45    1917       382.94
1962    46    1916       302.84
1962    47    1915       225.63
1962    48    1914       195.01
1962    49    1913       113.94
1962    50    1912        72.27
1962    51    1911        32.23
1962    52    1910        28.00
1962    53    1909        19.22
1962    54    1908        21.97
