Ukraine, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 13/11/2015
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1959    12-   1947+        0.01        0.01        0.00        0.00        0.00        0.00
1959    13    1946         0.40        0.40        0.00        0.00        0.00        0.00
1959    14    1945         3.99        3.99        0.00        0.00        0.00        0.00
1959    15    1944        48.34       48.34        0.00        0.00        0.00        0.00
1959    16    1943       259.75      259.75        0.00        0.00        0.00        0.00
1959    17    1942      1580.27     1580.17        0.08        0.01        0.00        0.00
1959    18    1941      8383.85     8355.49       25.65        2.70        0.00        0.00
1959    19    1940     23799.03    22663.63     1052.21       83.18        0.00        0.00
1959    20    1939     41999.66    37026.29     4598.46      374.91        0.00        0.00
1959    21    1938     68130.00    57530.19     9696.16      903.64        0.01        0.00
1959    22    1937     77648.29    61014.06    15058.08     1575.20        0.67        0.30
1959    23    1936     74634.59    53598.52    18680.53     2290.08       50.04       15.42
1959    24    1935     62244.19    38728.48    19734.17     2965.75      645.92      169.87
1959    25    1934     49793.60    26017.17    18836.60     3486.21     1146.36      307.26
1959    26    1933     41798.50    18550.03    17680.20     4166.46     1077.02      324.79
1959    27    1932     45334.63    16692.33    20152.02     6225.43     1695.40      569.45
1959    28    1931     40959.08    12794.11    18466.79     7063.07     1912.01      723.09
1959    29    1930     52210.01    14189.73    23417.29    10300.93     3016.42     1285.64
1959    30    1929     44385.58    10457.57    19463.01     9550.23     3291.58     1623.19
1959    31    1928     47409.56     9819.51    20013.43    10850.05     4242.43     2484.14
1959    32    1927     34247.85     6501.32    13828.35     8143.97     3415.83     2358.37
1959    33    1926     34191.32     6017.23    13024.90     8378.12     3762.70     3008.39
1959    34    1925     28990.46     4713.21    10203.31     7286.05     3540.22     3247.68
1959    35    1924     25928.87     3878.77     8290.54     6560.25     3474.18     3725.11
1959    36    1923     20682.72     2874.43     6013.78     5140.53     2934.28     3719.69
1959    37    1922     16076.91     2109.08     4237.98     3857.11     2360.63     3512.10
1959    38    1921     10691.76     1326.65     2498.91     2429.55     1612.56     2824.09
1959    39    1920      8457.92      989.48     1722.84     1783.53     1291.72     2670.34
1959    40    1919      5876.12      637.63     1075.95     1153.66      892.70     2116.19
1959    41    1918      5502.83      552.18      939.43     1011.07      818.72     2181.43
1959    42    1917      2368.91      227.63      360.10      392.27      340.56     1048.34
1959    43    1916      1975.00      189.17      255.14      285.33      271.08      974.28
1959    44    1915      1466.08      138.89      153.34      180.14      189.70      804.01
1959    45    1914      1228.35      121.57       97.51      128.13      149.93      731.22
1959    46    1913       746.27       69.75       47.81       70.84       87.57      470.31
1959    47    1912       546.44       32.97       37.40       52.92       62.23      360.92
1959    48    1911       292.75        8.65       27.22       29.97       31.20      195.70
1959    49    1910       245.64        2.96       36.94       26.42       22.98      156.36
1959    50    1909       117.70        0.20       30.01       12.62        8.96       65.91
1959    51    1908        89.38        0.00       32.82        8.86        5.49       42.21
1959    52    1907        52.25        0.00       21.67        5.05        2.93       22.60
1959    53    1906        42.58        0.00       16.01        4.69        2.64       19.23
1959    54    1905        32.32        0.00        9.49        4.41        2.50       15.93
1959    55+   1904-       78.24        0.00       16.37       16.33        8.88       36.65
1960    12-   1948+        0.02        0.02        0.00        0.00        0.00        0.00
1960    13    1947         0.33        0.33        0.00        0.00        0.00        0.00
1960    14    1946         5.90        5.90        0.00        0.00        0.00        0.00
1960    15    1945        37.85       37.85        0.00        0.00        0.00        0.00
1960    16    1944       245.70      245.69        0.00        0.00        0.00        0.00
1960    17    1943      1182.61     1182.47        0.12        0.01        0.00        0.00
1960    18    1942      6744.93     6686.01       57.29        1.63        0.00        0.00
1960    19    1941     23163.14    20361.53     2748.34       53.27        0.00        0.00
1960    20    1940     43812.70    34219.70     9329.54      263.46        0.00        0.00
1960    21    1939     60296.90    48262.06    11404.14      630.69        0.00        0.00
1960    22    1938     78579.81    61082.57    16042.74     1453.78        0.53        0.20
1960    23    1937     79345.09    58719.72    18088.67     2482.92       42.97       10.81
1960    24    1936     72122.07    47381.25    20406.98     3594.42      608.60      130.80
1960    25    1935     59284.66    31897.69    21471.45     4423.54     1210.35      281.64
1960    26    1934     44525.56    19422.26    18994.08     4684.97     1109.29      314.95
1960    27    1933     35947.77    12913.80    16436.91     4921.05     1258.96      417.05
1960    28    1932     40568.15    12368.25    18978.23     6779.36     1760.96      681.35
1960    29    1931     38337.75    10325.60    17572.72     7430.37     2089.91      919.17
1960    30    1930     48119.19    11724.72    20926.07    10370.58     3395.44     1702.37
1960    31    1929     38752.65     8581.20    15939.73     8974.71     3315.44     1941.55
1960    32    1928     40507.97     8262.58    15848.35     9826.88     3899.55     2670.61
1960    33    1927     30563.71     5785.01    11247.97     7673.33     3275.61     2581.79
