Ukraine, Crude birth rate
Last modified: 13/11/2015
Year      CBR
1959    20.89
1960    20.55
1961    19.45
1962    18.74
1963    17.89
1964    16.50
1965    15.25
1966    15.57
1967    15.13
1968    14.86
1969    14.64
1970    15.21
1971    15.47
1972    15.54
1973    14.89
1974    15.15
1975    15.11
1976    15.20
1977    14.71
1978    14.78
1979    14.78
1980    14.86
1981    14.61
1982    14.80
1983    15.96
1984    15.60
1985    14.98
1986    15.51
1987    14.85
1988    14.48
1989    13.42
1990    12.74
1991    12.21
1992    11.52
1993    10.76
1994    10.13
1995     9.65
1996     9.23
1997     8.82
1998     8.43
1999     7.89
2000     7.88
2001     7.78
2002     8.14
2003     8.58
2004     9.04
2005     9.08
2006     9.88
2007    10.21
2008    11.09
2009    11.17
2010    10.89
2011    11.04
2012    11.47
2013    11.12
