Ukraine, Crude birth rate by birth order
Last modified: 13/11/2015
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1959    20.89     9.96     6.40     2.53     1.00     0.99
1960    20.55     9.81     6.38     2.47     0.95     0.94
1961    19.45     9.02     6.38     2.33     0.88     0.84
1962    18.74     8.96     5.96     2.22     0.82     0.78
1963    17.89     8.24     5.95     2.17     0.79     0.74
1964    16.50     7.61     5.58     1.96     0.70     0.66
1965    15.25     6.80     5.34     1.84     0.66     0.61
1966    15.57     6.92     5.43     1.91     0.68     0.63
1967    15.13     6.87     5.24     1.81     0.63     0.58
1968    14.86     6.93     5.11     1.68     0.59     0.55
1969    14.64     6.90     5.12     1.58     0.54     0.50
1970    15.21     7.49     5.13     1.59     0.51     0.48
1971    15.47     7.88     5.09     1.56     0.49     0.46
1972    15.54     8.05     5.08     1.51     0.48     0.43
1973    14.89     7.89     4.81     1.37     0.43     0.39
1974    15.15     7.94     5.01     1.36     0.43     0.41
1975    15.11     7.89     5.04     1.36     0.42     0.41
1976    15.20     8.03     5.07     1.30     0.41     0.40
1977    14.71     7.65     5.07     1.25     0.38     0.37
1978    14.78     7.88     5.02     1.17     0.36     0.35
1979    14.78     7.98     5.03     1.12     0.33     0.32
1980    14.86     8.11     5.05     1.08     0.32     0.30
1981    14.61     7.57     5.29     1.13     0.32     0.29
1982    14.80     7.54     5.44     1.20     0.33     0.30
1983    15.96     7.62     6.27     1.41     0.36     0.30
1984    15.60     7.50     6.05     1.39     0.36     0.30
1985    14.98     7.08     5.87     1.37     0.36     0.30
1986    15.51     7.05     6.21     1.52     0.40     0.34
1987    14.85     6.84     5.84     1.44     0.39     0.34
1988    14.48     6.91     5.55     1.33     0.36     0.33
1989    13.42     6.63     5.00     1.17     0.32     0.30
1990    12.74     6.66     4.45     1.05     0.29     0.28
1991    12.21     6.63     4.04     0.98     0.29     0.26
1992    11.52     6.44     3.69     0.89     0.26     0.24
1993    10.76     6.06     3.42     0.82     0.24     0.23
1994    10.13     5.87     3.08     0.74     0.23     0.21
1995     9.65     5.69     2.89     0.68     0.21     0.19
1996     9.23     5.50     2.72     0.63     0.19     0.18
1997     8.82     5.25     2.60     0.60     0.19     0.18
1998     8.43     5.02     2.48     0.57     0.18     0.17
1999     7.89     4.68     2.33     0.54     0.17     0.17
2000     7.88     4.73     2.31     0.52     0.16     0.15
2001     7.78     4.67     2.30     0.50     0.15     0.14
2002     8.14     4.84     2.47     0.53     0.16     0.15
2003     8.58     5.11     2.62     0.55     0.16     0.15
2004     9.04     5.46     2.70     0.57     0.16     0.15
2005     9.08     5.37     2.80     0.60     0.17     0.15
2006     9.88     5.62     3.22     0.69     0.19     0.17
2007    10.21     5.78     3.34     0.71     0.20     0.17
2008    11.09     6.12     3.70     0.86     0.23     0.19
2009    11.17     5.93     3.84     0.95     0.25     0.20
2010    10.89     5.54     3.85     1.01     0.28     0.22
2011    11.04     5.40     3.97     1.11     0.31     0.25
2012    11.47     5.52     4.14     1.20     0.34     0.27
2013    11.12     5.23     4.05     1.22     0.35     0.27
