Ukraine, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 13/11/2015
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1944    12         .         .         .         .         .         .
1944    13         .         .         .         .         .         .
1944    14         .         .         .         .         .         .
1944    15     0.000     0.000     0.000     0.000     0.000     0.000
1944    16     0.000     0.000     0.000     0.000     0.000     0.000
1944    17     0.002     0.002     0.000     0.000     0.000     0.000
1944    18     0.014     0.014     0.000     0.000     0.000     0.000
1944    19     0.062     0.060     0.001     0.000     0.000     0.000
1944    20     0.154     0.145     0.009     0.000     0.000     0.000
1944    21     0.257     0.236     0.019     0.001     0.000     0.000
1944    22     0.393     0.349     0.042     0.003     0.000     0.000
1944    23     0.556     0.472     0.077     0.007     0.000     0.000
1944    24     0.722     0.584     0.125     0.014     0.000     0.000
1944    25     0.882     0.671     0.186     0.023     0.003     0.001
1944    26     1.030     0.735     0.254     0.034     0.005     0.002
1944    27     1.152     0.777     0.316     0.048     0.008     0.003
1944    28     1.255     0.806     0.372     0.062     0.012     0.004
1944    29     1.348     0.830     0.422     0.076     0.015     0.006
1944    30     1.435     0.848     0.469     0.091     0.019     0.008
1944    31     1.518     0.864     0.512     0.106     0.024     0.011
1944    32     1.584     0.875     0.545     0.121     0.028     0.014
1944    33     1.637     0.883     0.571     0.133     0.033     0.018
1944    34     1.681     0.890     0.590     0.143     0.037     0.022
1944    35     1.718     0.895     0.605     0.152     0.041     0.026
1944    36     1.748     0.899     0.616     0.158     0.044     0.030
1944    37     1.771     0.902     0.624     0.164     0.046     0.034
1944    38     1.790     0.905     0.630     0.169     0.049     0.038
1944    39     1.805     0.906     0.635     0.172     0.050     0.041
1944    40     1.816     0.908     0.638     0.175     0.052     0.044
1944    41     1.824     0.909     0.640     0.177     0.053     0.046
1944    42     1.830     0.909     0.641     0.178     0.054     0.048
1944    43     1.834     0.910     0.642     0.179     0.054     0.049
1944    44     1.836     0.910     0.642     0.180     0.055     0.050
1944    45     1.838     0.910     0.642     0.180     0.055     0.050
1944    46     1.838     0.910     0.642     0.180     0.055     0.051
1944    47     1.838     0.910     0.642     0.180     0.055     0.051
1944    48     1.838     0.910     0.642     0.180     0.055     0.051
1944    49     1.839     0.910     0.642     0.180     0.055     0.051
1944    50     1.839     0.910     0.642     0.180     0.055     0.051
1944    51     1.839     0.910     0.642     0.180     0.055     0.051
1944    52     1.839     0.910     0.642     0.180     0.055     0.051
1944    53     1.839     0.910     0.642     0.180     0.055     0.051
1944    54     1.839     0.910     0.642     0.180     0.055     0.051
1944    55     1.839     0.910     0.642     0.180     0.055     0.051
1945    12         .         .         .         .         .         .
1945    13         .         .         .         .         .         .
1945    14     0.000     0.000     0.000     0.000     0.000     0.000
1945    15     0.000     0.000     0.000     0.000     0.000     0.000
1945    16     0.000     0.000     0.000     0.000     0.000     0.000
1945    17     0.003     0.003     0.000     0.000     0.000     0.000
1945    18     0.016     0.016     0.000     0.000     0.000     0.000
1945    19     0.063     0.061     0.002     0.000     0.000     0.000
1945    20     0.150     0.140     0.010     0.000     0.000     0.000
1945    21     0.257     0.234     0.022     0.001     0.000     0.000
1945    22     0.403     0.356     0.045     0.003     0.000     0.000
1945    23     0.570     0.482     0.081     0.007     0.000     0.000
1945    24     0.738     0.594     0.129     0.013     0.001     0.000
1945    25     0.902     0.682     0.192     0.022     0.004     0.001
1945    26     1.050     0.745     0.261     0.035     0.006     0.002
1945    27     1.171     0.787     0.324     0.048     0.009     0.003
1945    28     1.274     0.818     0.378     0.061     0.012     0.005
1945    29     1.365     0.841     0.428     0.074     0.016     0.006
1945    30     1.452     0.859     0.476     0.089     0.019     0.008
1945    31     1.531     0.874     0.518     0.104     0.024     0.011
1945    32     1.594     0.884     0.550     0.118     0.028     0.014
1945    33     1.646     0.893     0.575     0.129     0.032     0.018
1945    34     1.686     0.899     0.593     0.138     0.036     0.021
1945    35     1.719     0.904     0.607     0.145     0.039     0.025
1945    36     1.747     0.908     0.618     0.152     0.041     0.028
1945    37     1.769     0.911     0.626     0.157     0.044     0.031
1945    38     1.787     0.913     0.632     0.161     0.046     0.034
1945    39     1.800     0.915     0.636     0.165     0.047     0.037
1945    40     1.811     0.916     0.639     0.167     0.049     0.039
1945    41     1.818     0.917     0.641     0.169     0.050     0.041
1945    42     1.824     0.918     0.642     0.171     0.051     0.043
1945    43     1.827     0.918     0.643     0.172     0.051     0.044
1945    44     1.829     0.918     0.643     0.172     0.051     0.045
1945    45     1.830     0.918     0.643     0.172     0.051     0.045
1945    46     1.831     0.919     0.643     0.172     0.051     0.045
1945    47     1.831     0.919     0.643     0.172     0.051     0.045
1945    48     1.831     0.919     0.643     0.172     0.051     0.045
1945    49     1.831     0.919     0.643     0.172     0.051     0.045
1945    50     1.831     0.919     0.643     0.172     0.051     0.045
1945    51     1.831     0.919     0.643     0.172     0.051     0.045
1945    52     1.831     0.919     0.643     0.172     0.051     0.045
1945    53     1.831     0.919     0.643     0.172     0.051     0.045
1945    54     1.831     0.919     0.643     0.172     0.051     0.045
1945    55     1.831     0.919     0.643     0.172     0.051     0.045
1946    12         .         .         .         .         .         .
1946    13     0.000     0.000     0.000     0.000     0.000     0.000
1946    14     0.000     0.000     0.000     0.000     0.000     0.000
1946    15     0.000     0.000     0.000     0.000     0.000     0.000
1946    16     0.000     0.000     0.000     0.000     0.000     0.000
1946    17     0.003     0.003     0.000     0.000     0.000     0.000
1946    18     0.017     0.017     0.000     0.000     0.000     0.000
1946    19     0.061     0.060     0.001     0.000     0.000     0.000
1946    20     0.148     0.139     0.009     0.000     0.000     0.000
1946    21     0.264     0.242     0.021     0.001     0.000     0.000
1946    22     0.417     0.369     0.045     0.003     0.000     0.000
1946    23     0.586     0.498     0.082     0.007     0.000     0.000
1946    24     0.760     0.615     0.131     0.013     0.001     0.000
1946    25     0.927     0.706     0.194     0.023     0.003     0.001
1946    26     1.074     0.768     0.264     0.035     0.006     0.002
1946    27     1.194     0.811     0.324     0.047     0.009     0.003
1946    28     1.296     0.842     0.379     0.059     0.011     0.004
1946    29     1.389     0.865     0.431     0.072     0.014     0.005
1946    30     1.474     0.883     0.479     0.087     0.018     0.008
1946    31     1.550     0.896     0.519     0.102     0.023     0.010
1946    32     1.614     0.907     0.553     0.114     0.027     0.013
1946    33     1.665     0.916     0.578     0.124     0.030     0.017
1946    34     1.707     0.923     0.598     0.133     0.033     0.020
1946    35     1.741     0.928     0.613     0.141     0.036     0.023
1946    36     1.769     0.932     0.625     0.147     0.038     0.026
1946    37     1.792     0.936     0.634     0.153     0.041     0.029
1946    38     1.811     0.938     0.641     0.158     0.043     0.032
1946    39     1.825     0.940     0.645     0.161     0.044     0.034
1946    40     1.836     0.941     0.649     0.164     0.046     0.036
1946    41     1.844     0.942     0.651     0.166     0.047     0.038
1946    42     1.849     0.943     0.652     0.167     0.047     0.040
1946    43     1.852     0.943     0.653     0.168     0.048     0.041
1946    44     1.854     0.944     0.653     0.168     0.048     0.041
1946    45     1.855     0.944     0.653     0.169     0.048     0.042
1946    46     1.856     0.944     0.653     0.169     0.048     0.042
1946    47     1.856     0.944     0.653     0.169     0.048     0.042
1946    48     1.856     0.944     0.653     0.169     0.048     0.042
1946    49     1.856     0.944     0.653     0.169     0.048     0.042
1946    50     1.856     0.944     0.653     0.169     0.048     0.042
1946    51     1.856     0.944     0.653     0.169     0.048     0.042
1946    52     1.856     0.944     0.653     0.169     0.048     0.042
1946    53     1.856     0.944     0.653     0.169     0.048     0.042
1946    54     1.856     0.944     0.653     0.169     0.048     0.042
1946    55     1.856     0.944     0.653     0.169     0.048     0.042
1947    12     0.000     0.000     0.000     0.000     0.000     0.000
1947    13     0.000     0.000     0.000     0.000     0.000     0.000
1947    14     0.000     0.000     0.000     0.000     0.000     0.000
1947    15     0.000     0.000     0.000     0.000     0.000     0.000
1947    16     0.000     0.000     0.000     0.000     0.000     0.000
1947    17     0.003     0.003     0.000     0.000     0.000     0.000
1947    18     0.017     0.017     0.000     0.000     0.000     0.000
1947    19     0.061     0.060     0.000     0.000     0.000     0.000
1947    20     0.151     0.143     0.008     0.000     0.000     0.000
1947    21     0.274     0.251     0.021     0.001     0.000     0.000
1947    22     0.430     0.381     0.046     0.003     0.000     0.000
1947    23     0.606     0.517     0.082     0.007     0.000     0.000
1947    24     0.785     0.640     0.132     0.013     0.001     0.000
1947    25     0.955     0.734     0.196     0.022     0.002     0.001
1947    26     1.100     0.797     0.263     0.033     0.005     0.001
1947    27     1.219     0.840     0.324     0.045     0.008     0.002
1947    28     1.323     0.870     0.382     0.057     0.010     0.003
1947    29     1.416     0.892     0.434     0.071     0.013     0.005
1947    30     1.500     0.909     0.482     0.085     0.017     0.007
1947    31     1.570     0.922     0.520     0.097     0.021     0.009
1947    32     1.630     0.933     0.553     0.108     0.024     0.012
1947    33     1.679     0.942     0.577     0.117     0.027     0.015
1947    34     1.719     0.948     0.597     0.126     0.030     0.018
1947    35     1.752     0.954     0.613     0.133     0.033     0.021
1947    36     1.781     0.958     0.625     0.140     0.035     0.023
1947    37     1.805     0.961     0.634     0.146     0.037     0.026
1947    38     1.823     0.963     0.641     0.150     0.039     0.029
1947    39     1.837     0.965     0.646     0.154     0.041     0.032
1947    40     1.848     0.967     0.649     0.156     0.042     0.034
1947    41     1.856     0.968     0.651     0.158     0.043     0.036
1947    42     1.861     0.969     0.652     0.159     0.044     0.037
1947    43     1.864     0.969     0.653     0.160     0.044     0.038
1947    44     1.865     0.969     0.653     0.160     0.044     0.038
1947    45     1.866     0.970     0.653     0.161     0.044     0.038
1947    46     1.867     0.970     0.653     0.161     0.044     0.039
1947    47     1.867     0.970     0.653     0.161     0.044     0.039
1947    48     1.867     0.970     0.653     0.161     0.044     0.039
1947    49     1.867     0.970     0.653     0.161     0.044     0.039
1947    50     1.867     0.970     0.653     0.161     0.044     0.039
1947    51     1.867     0.970     0.653     0.161     0.044     0.039
1947    52     1.867     0.970     0.653     0.161     0.044     0.039
