Ukraine, Cohort fertility tables, birth orders 1 to 5+
Last modified: 13/11/2015
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1955    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1955    15     6   10000   0.00064   0.00064      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1955    16    39    9994   0.00391   0.00391      6     0      6   0.00000   0.00000      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1955    17   188    9955   0.01906   0.01888     45     2     45   0.01141   0.03478      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1955    18   595    9767   0.06288   0.06096    233    11    232   0.02113   0.04776      2      0      2   0.04112   0.18133      0      0      0         .         .      0      0      0         .         .       0        .
1955    19  1053    9171   0.12180   0.11481    829    89    816   0.06836   0.10874     13      6     12   0.11058   0.48073      0      0      0   0.00000   0.00000      0      0      0         .         .       0        .
1955    20  1287    8118   0.17221   0.15856   1882   161   1780   0.06860   0.09030    101     12     95   0.06897   0.12298      6      0      6   0.00000   0.00000      0      0      0         .         .       0        .
1955    21  1369    6831   0.22277   0.20044   3169   294   2907   0.08532   0.10111    262     23    244   0.06085   0.09458     18      0     18   0.00001   0.00001      0      0      0         .         .       0        .
1955    22  1215    5462   0.25031   0.22246   4538   421   3982   0.09625   0.10584    556     43    515   0.06073   0.08306     41      3     41   0.04482   0.06669      0      0      0         .         .       0     4.00
1955    23   932    4247   0.24649   0.21944   5753   525   4776   0.10535   0.10985    978     66    894   0.05851   0.07354     84     10     81   0.08832   0.11887      3      2      3   0.21075   0.58185       0     4.00
1955    24   681    3315   0.22887   0.20537   6685   598   5183   0.11444   0.11536   1502     83   1353   0.05142   0.06122    150     16    137   0.09414   0.11705     12      4     12   0.17538   0.28915       2     4.13
1955    25   479    2634   0.20005   0.18186   7366   635   5266   0.12235   0.12054   2100    101   1868   0.04723   0.05398    232     21    204   0.08525   0.10198     28      7     28   0.17861   0.24393       5     4.18
1955    26   334    2155   0.16812   0.15508   7845   642   5110   0.12954   0.12563   2735    114   2402   0.04263   0.04732    333     26    284   0.07823   0.09035     49     10     49   0.15895   0.20037      12     4.25
1955    27   252    1821   0.14860   0.13832   8179   643   4802   0.13960   0.13391   3377    133   2930   0.04169   0.04532    447     31    372   0.07329   0.08332     75     15     75   0.17038   0.20564      22     4.29
1955    28   188    1569   0.12729   0.11968   8431   607   4411   0.14459   0.13771   4020    143   3440   0.03884   0.04146    580     35    474   0.06538   0.07284    106     20    106   0.16317   0.18976      37     4.35
1955    29   147    1381   0.11247   0.10648   8619   489   3991   0.12790   0.12243   4627    139   3905   0.03406   0.03558    722     35    582   0.05503   0.05995    140     24    140   0.15282   0.17181      57     4.41
1955    30   118    1234   0.10085   0.09600   8766   411   3650   0.11723   0.11254   5116    143   4255   0.03249   0.03352    861     37    686   0.05003   0.05388    175     28    175   0.14564   0.16099      82     4.47
1955    31    94    1116   0.08840   0.08466   8884   333   3358   0.10281   0.09916   5527    135   4523   0.02929   0.02993   1004     37    792   0.04458   0.04734    212     31    212   0.13597   0.14798     110     4.52
1955    32    79    1021   0.08033   0.07723   8979   256   3119   0.08437   0.08198   5860    111   4721   0.02323   0.02358   1139     34    889   0.03699   0.03859    250     32    250   0.12147   0.12982     141     4.57
1955    33    62     942   0.06772   0.06550   9058   186   2942   0.06470   0.06333   6115     89   4865   0.01805   0.01823   1251     27    966   0.02757   0.02844    284     33    284   0.11024   0.11558     174     4.61
