Ukraine, Cumulative period fertility rates (Lexis squares)
Last modified: 13/11/2015
Year    Age     CPFR
1959    12     0.000
1959    13     0.000
1959    14     0.000
1959    15     0.000
1959    16     0.001
1959    17     0.003
1959    18     0.014
1959    19     0.051
1959    20     0.126
1959    21     0.242
1959    22     0.390
1959    23     0.557
1959    24     0.729
1959    25     0.905
1959    26     1.073
1959    27     1.220
1959    28     1.351
1959    29     1.472
1959    30     1.590
1959    31     1.696
1959    32     1.787
1959    33     1.868
1959    34     1.942
1959    35     2.009
1959    36     2.068
1959    37     2.118
1959    38     2.159
1959    39     2.191
1959    40     2.216
1959    41     2.237
1959    42     2.252
1959    43     2.263
1959    44     2.269
1959    45     2.274
1959    46     2.276
1959    47     2.278
1959    48     2.279
1959    49     2.280
1959    50     2.280
1959    51     2.281
1959    52     2.281
1959    53     2.281
1959    54     2.281
1959    55     2.281
1960    12     0.000
1960    13     0.000
1960    14     0.000
1960    15     0.000
1960    16     0.000
1960    17     0.002
1960    18     0.013
1960    19     0.054
1960    20     0.136
1960    21     0.258
1960    22     0.406
1960    23     0.565
1960    24     0.728
1960    25     0.895
1960    26     1.059
1960    27     1.204
1960    28     1.333
1960    29     1.453
1960    30     1.568
1960    31     1.673
1960    32     1.763
1960    33     1.843
1960    34     1.916
1960    35     1.983
1960    36     2.040
1960    37     2.089
1960    38     2.129
1960    39     2.161
1960    40     2.187
1960    41     2.207
1960    42     2.222
1960    43     2.232
1960    44     2.238
1960    45     2.242
1960    46     2.244
1960    47     2.245
1960    48     2.246
1960    49     2.247
1960    50     2.247
1960    51     2.248
1960    52     2.248
1960    53     2.248
1960    54     2.248
1960    55     2.248
1961    12     0.000
1961    13     0.000
1961    14     0.000
1961    15     0.000
1961    16     0.000
1961    17     0.003
1961    18     0.014
1961    19     0.059
1961    20     0.150
1961    21     0.274
1961    22     0.422
1961    23     0.578
1961    24     0.735
1961    25     0.896
1961    26     1.051
1961    27     1.188
1961    28     1.310
1961    29     1.422
1961    30     1.529
1961    31     1.630
1961    32     1.716
1961    33     1.792
1961    34     1.860
1961    35     1.920
1961    36     1.970
1961    37     2.012
1961    38     2.047
1961    39     2.075
1961    40     2.099
1961    41     2.118
1961    42     2.133
1961    43     2.142
1961    44     2.147
1961    45     2.150
1961    46     2.152
1961    47     2.154
1961    48     2.154
1961    49     2.155
1961    50     2.155
1961    51     2.155
1961    52     2.155
1961    53     2.156
1961    54     2.156
1961    55     2.156
1962    12     0.000
1962    13     0.000
1962    14     0.000
1962    15     0.000
1962    16     0.000
1962    17     0.003
1962    18     0.015
1962    19     0.062
1962    20     0.155
1962    21     0.271
1962    22     0.410
1962    23     0.560
1962    24     0.714
1962    25     0.875
1962    26     1.031
1962    27     1.170
1962    28     1.294
1962    29     1.408
1962    30     1.515
1962    31     1.617
1962    32     1.703
1962    33     1.778
1962    34     1.844
1962    35     1.903
1962    36     1.951
1962    37     1.991
1962    38     2.024
1962    39     2.053
1962    40     2.077
1962    41     2.098
1962    42     2.113
1962    43     2.123
