Ukraine, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 13/11/2015
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1959    12     0.000     0.000     0.000     0.000     0.000     0.000
1959    13     0.000     0.000     0.000     0.000     0.000     0.000
1959    14     0.000     0.000     0.000     0.000     0.000     0.000
1959    15     0.000     0.000     0.000     0.000     0.000     0.000
1959    16     0.001     0.001     0.000     0.000     0.000     0.000
1959    17     0.003     0.003     0.000     0.000     0.000     0.000
1959    18     0.014     0.014     0.000     0.000     0.000     0.000
1959    19     0.051     0.051     0.000     0.000     0.000     0.000
1959    20     0.126     0.118     0.007     0.001     0.000     0.000
1959    21     0.242     0.220     0.021     0.002     0.000     0.000
1959    22     0.390     0.341     0.045     0.004     0.000     0.000
1959    23     0.557     0.466     0.082     0.008     0.000     0.000
1959    24     0.729     0.584     0.130     0.015     0.000     0.000
1959    25     0.905     0.683     0.192     0.025     0.004     0.001
1959    26     1.073     0.765     0.260     0.039     0.008     0.002
1959    27     1.220     0.824     0.324     0.056     0.012     0.004
1959    28     1.351     0.868     0.383     0.077     0.018     0.006
1959    29     1.472     0.903     0.438     0.100     0.024     0.008
1959    30     1.590     0.933     0.490     0.124     0.032     0.012
1959    31     1.696     0.956     0.536     0.148     0.041     0.016
1959    32     1.787     0.974     0.573     0.169     0.049     0.022
1959    33     1.868     0.988     0.605     0.189     0.058     0.028
1959    34     1.942     1.001     0.632     0.207     0.066     0.035
1959    35     2.009     1.011     0.655     0.224     0.075     0.044
1959    36     2.068     1.020     0.673     0.239     0.083     0.053
1959    37     2.118     1.027     0.687     0.251     0.090     0.063
1959    38     2.159     1.032     0.697     0.260     0.096     0.073
1959    39     2.191     1.036     0.704     0.268     0.101     0.083
1959    40     2.216     1.039     0.709     0.273     0.105     0.091
1959    41     2.237     1.041     0.712     0.277     0.108     0.099
1959    42     2.252     1.042     0.715     0.279     0.111     0.105
1959    43     2.263     1.043     0.716     0.281     0.112     0.110
1959    44     2.269     1.044     0.717     0.282     0.113     0.114
1959    45     2.274     1.044     0.717     0.282     0.114     0.116
1959    46     2.276     1.045     0.718     0.282     0.114     0.118
1959    47     2.278     1.045     0.718     0.283     0.114     0.119
1959    48     2.279     1.045     0.718     0.283     0.114     0.120
1959    49     2.280     1.045     0.718     0.283     0.114     0.120
1959    50     2.280     1.045     0.718     0.283     0.114     0.121
1959    51     2.281     1.045     0.718     0.283     0.114     0.121
1959    52     2.281     1.045     0.718     0.283     0.114     0.121
1959    53     2.281     1.045     0.718     0.283     0.114     0.121
1959    54     2.281     1.045     0.718     0.283     0.114     0.121
1959    55     2.281     1.045     0.718     0.283     0.114     0.121
1960    12     0.000     0.000     0.000     0.000     0.000     0.000
1960    13     0.000     0.000     0.000     0.000     0.000     0.000
1960    14     0.000     0.000     0.000     0.000     0.000     0.000
1960    15     0.000     0.000     0.000     0.000     0.000     0.000
1960    16     0.000     0.000     0.000     0.000     0.000     0.000
1960    17     0.002     0.002     0.000     0.000     0.000     0.000
1960    18     0.013     0.013     0.000     0.000     0.000     0.000
1960    19     0.054     0.053     0.001     0.000     0.000     0.000
1960    20     0.136     0.117     0.018     0.000     0.000     0.000
1960    21     0.258     0.216     0.041     0.001     0.000     0.000
1960    22     0.406     0.332     0.070     0.003     0.000     0.000
1960    23     0.565     0.454     0.104     0.007     0.000     0.000
1960    24     0.728     0.570     0.145     0.014     0.000     0.000
1960    25     0.895     0.670     0.198     0.024     0.003     0.001
1960    26     1.059     0.749     0.264     0.038     0.007     0.002
1960    27     1.204     0.806     0.328     0.056     0.011     0.003
1960    28     1.333     0.848     0.388     0.076     0.016     0.005
1960    29     1.453     0.882     0.444     0.097     0.022     0.007
1960    30     1.568     0.912     0.496     0.121     0.029     0.010
1960    31     1.673     0.936     0.540     0.145     0.037     0.015
1960    32     1.763     0.955     0.576     0.166     0.046     0.020
1960    33     1.843     0.971     0.607     0.186     0.054     0.026
1960    34     1.916     0.984     0.633     0.204     0.062     0.033
1960    35     1.983     0.995     0.654     0.222     0.070     0.041
1960    36     2.040     1.004     0.671     0.236     0.078     0.050
1960    37     2.089     1.011     0.685     0.249     0.085     0.059
1960    38     2.129     1.017     0.695     0.258     0.091     0.068
1960    39     2.161     1.021     0.702     0.265     0.096     0.077
1960    40     2.187     1.024     0.707     0.270     0.100     0.086
1960    41     2.207     1.027     0.711     0.274     0.103     0.093
1960    42     2.222     1.028     0.713     0.277     0.105     0.099
1960    43     2.232     1.029     0.715     0.278     0.106     0.104
1960    44     2.238     1.030     0.715     0.279     0.107     0.107
1960    45     2.242     1.030     0.716     0.279     0.108     0.109
1960    46     2.244     1.030     0.716     0.280     0.108     0.110
1960    47     2.245     1.030     0.716     0.280     0.108     0.111
1960    48     2.246     1.030     0.716     0.280     0.108     0.112
1960    49     2.247     1.030     0.716     0.280     0.108     0.112
1960    50     2.247     1.030     0.716     0.280     0.108     0.112
1960    51     2.248     1.030     0.716     0.280     0.108     0.112
1960    52     2.248     1.030     0.716     0.280     0.108     0.113
1960    53     2.248     1.030     0.716     0.280     0.108     0.113
1960    54     2.248     1.030     0.716     0.280     0.108     0.113
1960    55     2.248     1.030     0.716     0.280     0.109     0.113
1961    12     0.000     0.000     0.000     0.000     0.000     0.000
1961    13     0.000     0.000     0.000     0.000     0.000     0.000
1961    14     0.000     0.000     0.000     0.000     0.000     0.000
1961    15     0.000     0.000     0.000     0.000     0.000     0.000
1961    16     0.000     0.000     0.000     0.000     0.000     0.000
1961    17     0.003     0.003     0.000     0.000     0.000     0.000
1961    18     0.014     0.014     0.000     0.000     0.000     0.000
1961    19     0.059     0.059     0.000     0.000     0.000     0.000
1961    20     0.150     0.140     0.009     0.000     0.000     0.000
1961    21     0.274     0.245     0.027     0.001     0.000     0.000
1961    22     0.422     0.360     0.058     0.004     0.000     0.000
1961    23     0.578     0.470     0.100     0.008     0.000     0.000
1961    24     0.735     0.569     0.151     0.014     0.000     0.000
1961    25     0.896     0.656     0.212     0.024     0.003     0.001
1961    26     1.051     0.726     0.278     0.039     0.006     0.002
1961    27     1.188     0.780     0.339     0.056     0.011     0.003
1961    28     1.310     0.820     0.393     0.075     0.016     0.005
1961    29     1.422     0.852     0.444     0.097     0.022     0.007
1961    30     1.529     0.878     0.493     0.120     0.029     0.010
1961    31     1.630     0.899     0.537     0.142     0.037     0.015
1961    32     1.716     0.915     0.574     0.163     0.045     0.020
1961    33     1.792     0.928     0.605     0.181     0.052     0.026
1961    34     1.860     0.939     0.630     0.198     0.060     0.032
1961    35     1.920     0.948     0.651     0.214     0.067     0.040
1961    36     1.970     0.955     0.667     0.227     0.074     0.047
1961    37     2.012     0.961     0.679     0.237     0.080     0.055
1961    38     2.047     0.966     0.688     0.246     0.085     0.062
1961    39     2.075     0.969     0.695     0.252     0.089     0.069
1961    40     2.099     0.972     0.700     0.257     0.093     0.076
1961    41     2.118     0.975     0.704     0.261     0.096     0.083
1961    42     2.133     0.976     0.706     0.263     0.098     0.089
1961    43     2.142     0.977     0.708     0.265     0.099     0.093
1961    44     2.147     0.978     0.708     0.266     0.100     0.096
