Ukraine, Cumulative period fertility rates (vertical parallelograms)
Last modified: 13/11/2015
Year  ARDY  Cohort     CPFR
1959   12    1947     0.000
1959   13    1946     0.000
1959   14    1945     0.000
1959   15    1944     0.000
1959   16    1943     0.000
1959   17    1942     0.001
1959   18    1941     0.007
1959   19    1940     0.029
1959   20    1939     0.084
1959   21    1938     0.179
1959   22    1937     0.313
1959   23    1936     0.471
1959   24    1935     0.642
1959   25    1934     0.816
1959   26    1933     0.989
1959   27    1932     1.147
1959   28    1931     1.286
1959   29    1930     1.411
1959   30    1929     1.531
1959   31    1928     1.643
1959   32    1927     1.742
1959   33    1926     1.828
1959   34    1925     1.905
1959   35    1924     1.976
1959   36    1923     2.039
1959   37    1922     2.093
1959   38    1921     2.138
1959   39    1920     2.174
1959   40    1919     2.203
1959   41    1918     2.226
1959   42    1917     2.244
1959   43    1916     2.257
1959   44    1915     2.265
1959   45    1914     2.271
1959   46    1913     2.274
1959   47    1912     2.276
1959   48    1911     2.278
1959   49    1910     2.279
1959   50    1909     2.279
1959   51    1908     2.280
1959   52    1907     2.280
1959   53    1906     2.280
1959   54    1905     2.280
1959   55    1904     2.280
1960   12    1948     0.000
1960   13    1947     0.000
1960   14    1946     0.000
1960   15    1945     0.000
1960   16    1944     0.000
1960   17    1943     0.001
1960   18    1942     0.006
1960   19    1941     0.029
1960   20    1940     0.090
1960   21    1939     0.192
1960   22    1938     0.329
1960   23    1937     0.483
1960   24    1936     0.644
1960   25    1935     0.810
1960   26    1934     0.976
1960   27    1933     1.131
1960   28    1932     1.267
1960   29    1931     1.391
1960   30    1930     1.509
1960   31    1929     1.620
1960   32    1928     1.718
1960   33    1927     1.802
1960   34    1926     1.878
1960   35    1925     1.948
1960   36    1924     2.010
1960   37    1923     2.063
1960   38    1922     2.107
1960   39    1921     2.144
1960   40    1920     2.172
1960   41    1919     2.195
1960   42    1918     2.213
1960   43    1917     2.225
1960   44    1916     2.233
1960   45    1915     2.238
1960   46    1914     2.241
1960   47    1913     2.243
1960   48    1912     2.244
1960   49    1911     2.244
1960   50    1910     2.245
1960   51    1909     2.245
1960   52    1908     2.246
1960   53    1907     2.246
1960   54    1906     2.246
1960   55    1905     2.246
1961   12    1949     0.000
1961   13    1948     0.000
1961   14    1947     0.000
1961   15    1946     0.000
1961   16    1945     0.000
1961   17    1944     0.001
1961   18    1943     0.007
1961   19    1942     0.033
1961   20    1941     0.100
1961   21    1940     0.208
1961   22    1939     0.344
1961   23    1938     0.497
1961   24    1937     0.654
1961   25    1936     0.813
1961   26    1935     0.973
1961   27    1934     1.119
1961   28    1933     1.247
1961   29    1932     1.364
1961   30    1931     1.473
1961   31    1930     1.578
1961   32    1929     1.672
1961   33    1928     1.753
1961   34    1927     1.824
1961   35    1926     1.888
1961   36    1925     1.944
1961   37    1924     1.989
1961   38    1923     2.027
1961   39    1922     2.059
1961   40    1921     2.085
1961   41    1920     2.106
1961   42    1919     2.123
1961   43    1918     2.135
1961   44    1917     2.142
1961   45    1916     2.146
1961   46    1915     2.149
1961   47    1914     2.150
1961   48    1913     2.151
1961   49    1912     2.152
1961   50    1911     2.152
1961   51    1910     2.153
1961   52    1909     2.153
1961   53    1908     2.153
1961   54    1907     2.153
1961   55    1906     2.153
1962   12    1950     0.000
1962   13    1949     0.000
1962   14    1948     0.000
1962   15    1947     0.000
1962   16    1946     0.000
1962   17    1945     0.001
1962   18    1944     0.007
1962   19    1943     0.034
1962   20    1942     0.104
1962   21    1941     0.210
1962   22    1940     0.338
1962   23    1939     0.483
1962   24    1938     0.635
1962   25    1937     0.793
1962   26    1936     0.952
1962   27    1935     1.100
1962   28    1934     1.231
1962   29    1933     1.350
1962   30    1932     1.460
1962   31    1931     1.565
1962   32    1930     1.659
1962   33    1929     1.740
1962   34    1928     1.810
1962   35    1927     1.873
1962   36    1926     1.926
1962   37    1925     1.970
1962   38    1924     2.006
1962   39    1923     2.037
1962   40    1922     2.063
1962   41    1921     2.086
1962   42    1920     2.104
1962   43    1919     2.117
1962   44    1918     2.124
1962   45    1917     2.127
1962   46    1916     2.130
1962   47    1915     2.131
1962   48    1914     2.132
1962   49    1913     2.132
1962   50    1912     2.133
1962   51    1911     2.133
1962   52    1910     2.133
1962   53    1909     2.133
1962   54    1908     2.133
1962   55    1907     2.133
1963   12    1951     0.000
1963   13    1950     0.000
1963   14    1949     0.000
1963   15    1948     0.000
1963   16    1947     0.000
1963   17    1946     0.002
1963   18    1945     0.009
1963   19    1944     0.038
1963   20    1943     0.111
1963   21    1942     0.219
1963   22    1941     0.346
1963   23    1940     0.495
1963   24    1939     0.653
1963   25    1938     0.814
1963   26    1937     0.973
1963   27    1936     1.116
1963   28    1935     1.240
1963   29    1934     1.352
1963   30    1933     1.456
1963   31    1932     1.556
1963   32    1931     1.647
1963   33    1930     1.725
1963   34    1929     1.793
1963   35    1928     1.854
1963   36    1927     1.906
1963   37    1926     1.949
1963   38    1925     1.984
1963   39    1924     2.014
1963   40    1923     2.039
1963   41    1922     2.059
1963   42    1921     2.075
1963   43    1920     2.087
1963   44    1919     2.094
1963   45    1918     2.098
1963   46    1917     2.100
1963   47    1916     2.102
1963   48    1915     2.103
1963   49    1914     2.104
1963   50    1913     2.104
1963   51    1912     2.104
1963   52    1911     2.104
1963   53    1910     2.104
1963   54    1909     2.104
1963   55    1908     2.104
1964   12    1952     0.000
1964   13    1951     0.000
