Ukraine, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 13/11/2015
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1959   12    1947     0.000     0.000     0.000     0.000     0.000     0.000
1959   13    1946     0.000     0.000     0.000     0.000     0.000     0.000
1959   14    1945     0.000     0.000     0.000     0.000     0.000     0.000
1959   15    1944     0.000     0.000     0.000     0.000     0.000     0.000
1959   16    1943     0.000     0.000     0.000     0.000     0.000     0.000
1959   17    1942     0.001     0.001     0.000     0.000     0.000     0.000
1959   18    1941     0.007     0.007     0.000     0.000     0.000     0.000
1959   19    1940     0.029     0.029     0.000     0.000     0.000     0.000
1959   20    1939     0.084     0.081     0.003     0.000     0.000     0.000
1959   21    1938     0.179     0.165     0.013     0.001     0.000     0.000
1959   22    1937     0.313     0.278     0.032     0.003     0.000     0.000
1959   23    1936     0.471     0.403     0.063     0.006     0.000     0.000
1959   24    1935     0.642     0.525     0.105     0.011     0.000     0.000
1959   25    1934     0.816     0.634     0.161     0.020     0.002     0.001
1959   26    1933     0.989     0.724     0.226     0.032     0.006     0.002
1959   27    1932     1.147     0.794     0.293     0.047     0.010     0.003
1959   28    1931     1.286     0.845     0.354     0.066     0.015     0.005
1959   29    1930     1.411     0.884     0.411     0.088     0.021     0.007
1959   30    1929     1.531     0.917     0.465     0.112     0.028     0.010
1959   31    1928     1.643     0.943     0.514     0.136     0.036     0.014
1959   32    1927     1.742     0.964     0.556     0.159     0.045     0.019
1959   33    1926     1.828     0.980     0.590     0.179     0.054     0.025
1959   34    1925     1.905     0.993     0.620     0.198     0.062     0.032
1959   35    1924     1.976     1.005     0.645     0.216     0.071     0.040
1959   36    1923     2.039     1.014     0.665     0.232     0.079     0.049
1959   37    1922     2.093     1.022     0.681     0.245     0.087     0.058
1959   38    1921     2.138     1.028     0.692     0.256     0.094     0.068
1959   39    1920     2.174     1.032     0.701     0.264     0.099     0.078
1959   40    1919     2.203     1.036     0.707     0.270     0.103     0.087
1959   41    1918     2.226     1.038     0.711     0.275     0.107     0.095
1959   42    1917     2.244     1.040     0.714     0.278     0.110     0.102
1959   43    1916     2.257     1.041     0.716     0.280     0.111     0.108
1959   44    1915     2.265     1.042     0.717     0.281     0.113     0.112
1959   45    1914     2.271     1.043     0.718     0.282     0.113     0.115
1959   46    1913     2.274     1.043     0.718     0.282     0.114     0.117
1959   47    1912     2.276     1.043     0.718     0.283     0.114     0.119
1959   48    1911     2.278     1.043     0.718     0.283     0.114     0.119
1959   49    1910     2.279     1.043     0.718     0.283     0.114     0.120
1959   50    1909     2.279     1.043     0.718     0.283     0.114     0.121
1959   51    1908     2.280     1.043     0.718     0.283     0.114     0.121
1959   52    1907     2.280     1.043     0.719     0.283     0.114     0.121
1959   53    1906     2.280     1.043     0.719     0.283     0.114     0.121
1959   54    1905     2.280     1.043     0.719     0.283     0.114     0.121
1959   55    1904     2.280     1.043     0.719     0.283     0.114     0.121
1960   12    1948     0.000     0.000     0.000     0.000     0.000     0.000
1960   13    1947     0.000     0.000     0.000     0.000     0.000     0.000
1960   14    1946     0.000     0.000     0.000     0.000     0.000     0.000
1960   15    1945     0.000     0.000     0.000     0.000     0.000     0.000
1960   16    1944     0.000     0.000     0.000     0.000     0.000     0.000
1960   17    1943     0.001     0.001     0.000     0.000     0.000     0.000
1960   18    1942     0.006     0.006     0.000     0.000     0.000     0.000
1960   19    1941     0.029     0.029     0.000     0.000     0.000     0.000
1960   20    1940     0.090     0.082     0.007     0.000     0.000     0.000
1960   21    1939     0.192     0.162     0.029     0.001     0.000     0.000
1960   22    1938     0.329     0.271     0.055     0.002     0.000     0.000
1960   23    1937     0.483     0.392     0.087     0.005     0.000     0.000
1960   24    1936     0.644     0.511     0.123     0.010     0.000     0.000
