Ukraine, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 13/11/2015
Year    Age        Exposure
1959     12       313779.28
1959     13       266254.29
1959     14       227827.46
1959     15       239287.02
1959     16       264021.34
1959     17       337818.34
1959     18       406523.64
1959     19       433624.72
1959     20       476866.06
1959     21       499240.10
1959     22       465030.24
1959     23       396821.52
1959     24       322460.96
1959     25       276971.77
1959     26       295223.06
1959     27       326340.14
1959     28       381285.94
1959     29       414499.48
1959     30       439325.51
1959     31       438591.04
1959     32       422561.85
1959     33       426273.98
1959     34       410128.53
1959     35       397026.53
1959     36       369165.95
1959     37       324092.16
1959     38       294910.14
1959     39       275455.42
1959     40       283416.49
1959     41       245296.32
1959     42       207509.33
1959     43       248555.09
1959     44       316470.95
1959     45       357583.82
1959     46       365565.02
1959     47       346269.83
1959     48       348930.89
1959     49       334576.01
1959     50       309194.50
1959     51       302477.26
1959     52       284633.56
1959     53       279927.14
1959     54       268005.61
1959     55       280359.50
1960     12       339245.72
1960     13       313618.75
1960     14       265388.39
1960     15       227408.00
1960     16       238883.85
1960     17       263252.75
1960     18       337482.61
1960     19       405204.27
1960     20       433637.57
1960     21       476976.50
1960     22       498992.51
1960     23       465141.03
1960     24       395883.17
1960     25       322342.41
1960     26       276048.62
1960     27       294407.66
1960     28       326170.79
1960     29       380374.30
1960     30       414916.14
1960     31       438846.97
1960     32       438389.30
1960     33       423252.04
1960     34       425809.22
1960     35       410944.55
1960     36       397260.09
1960     37       368942.83
1960     38       324594.40
1960     39       294021.18
1960     40       274957.10
1960     41       283106.29
1960     42       244419.01
1960     43       206904.73
1960     44       247394.93
1960     45       316963.26
1960     46       358039.99
1960     47       365865.98
1960     48       347335.06
1960     49       348289.44
1960     50       335183.98
1960     51       309555.94
1960     52       302435.54
1960     53       285856.70
1960     54       280335.71
1960     55       268383.46
1961     12       382752.26
1961     13       338381.98
1961     14       313472.39
1961     15       264534.04
1961     16       226988.34
1961     17       238469.64
1961     18       262471.82
1961     19       337150.18
1961     20       403863.64
1961     21       433664.71
1961     22       477117.55
1961     23       498769.75
1961     24       465308.66
1961     25       394976.69
1961     26       322258.33
1961     27       275141.27
1961     28       293589.28
1961     29       326042.46
1961     30       379457.07
1961     31       415361.04
1961     32       438401.38
1961     33       438180.38
1961     34       423965.53
1961     35       425321.68
1961     36       411771.65
1961     37       397529.77
1961     38       368686.00
1961     39       325105.30
1961     40       293090.41
1961     41       274491.29
1961     42       282825.74
1961     43       243485.09
1961     44       206337.28
1961     45       246198.61
1961     46       317418.46
1961     47       358516.34
1961     48       366073.22
1961     49       348398.66
1961     50       347514.01
1961     51       335705.43
1961     52       309954.43
1961     53       302316.95
1961     54       287114.82
1961     55       280605.98
1962     12       389556.15
1962     13       382614.61
1962     14       337524.27
1962     15       313320.81
1962     16       263668.25
1962     17       226563.81
1962     18       238042.31
1962     19       261689.22
1962     20       336790.25
1962     21       402523.84
1962     22       433708.60
1962     23       477255.21
1962     24       498571.79
1962     25       465464.54
1962     26       394062.12
1962     27       322180.70
1962     28       274229.04
1962     29       292796.17
1962     30       325885.56
1962     31       378553.63
1962     32       415812.07
1962     33       437926.79
1962     34       438013.14
1962     35       424673.21
1962     36       424809.83
1962     37       412595.96
1962     38       397741.94
1962     39       368411.10
1962     40       325546.07
1962     41       292136.77
1962     42       273990.04
1962     43       282460.01
1962     44       242575.57
1962     45       205715.07
1962     46       244950.08
1962     47       317876.47
1962     48       358884.69
1962     49       366213.70
1962     50       349253.47
1962     51       346624.29
1962     52       336187.20
1962     53       310162.55
1962     54       302149.38
1962     55       288120.82
1963     12       381213.49
1963     13       389902.92
1963     14       382457.33
1963     15       336639.13
1963     16       313157.64
1963     17       262802.77
1963     18       226130.84
1963     19       237626.81
1963     20       260889.65
1963     21       336433.59
1963     22       401191.79
1963     23       433746.63
1963     24       477415.54
1963     25       498345.01
1963     26       465615.77
1963     27       393174.33
1963     28       322108.72
1963     29       273340.24
1963     30       291965.55
1963     31       325727.16
1963     32       377630.46
1963     33       416245.79
1963     34       437511.41
1963     35       437810.95
1963     36       425323.42
1963     37       424284.91
1963     38       413384.10
1963     39       397953.98
1963     40       368075.93
1963     41       325981.78
1963     42       291173.81
1963     43       273417.05
1963     44       282100.45
1963     45       241590.76
1963     46       205041.63
1963     47       243708.74
1963     48       318257.12
1963     49       359192.76
1963     50       366183.57
1963     51       350086.52
1963     52       345699.67
1963     53       336480.31
1963     54       310340.44
1963     55       301752.83
1964     12       379391.98
1964     13       380728.98
1964     14       390249.22
1964     15       382300.41
1964     16       335760.74
1964     17       312998.69
1964     18       261934.67
1964     19       225700.95
1964     20       237193.99
1964     21       260096.54
1964     22       336091.72
1964     23       399868.69
1964     24       433821.47
1964     25       477581.99
1964     26       498149.20
1964     27       465804.10
1964     28       392288.84
1964     29       322053.59
1964     30       272429.72
1964     31       291158.70
1964     32       325579.00
1964     33       376711.50
1964     34       416730.14
1964     35       437044.14
1964     36       437561.42
1964     37       425986.23
1964     38       423768.68
1964     39       414213.99
1964     40       398124.79
1964     41       367749.13
1964     42       326409.50
1964     43       290125.01
1964     44       272846.94
1964     45       281662.44
1964     46       240550.59
1964     47       204374.51
1964     48       242408.74
1964     49       318596.50
1964     50       359356.91
1964     51       366166.55
1964     52       350891.55
1964     53       344611.49
1964     54       336770.02
1964     55       310374.51
1965     12       377480.41
1965     13       379124.49
1965     14       380268.01
1965     15       390622.12
1965     16       382157.94
1965     17       334881.81
1965     18       312826.13
1965     19       261046.43
1965     20       225247.79
1965     21       236765.87
1965     22       259320.10
1965     23       335758.46
1965     24       398578.39
1965     25       433909.23
1965     26       477766.22
1965     27       497971.45
1965     28       465992.05
1965     29       391412.93
1965     30       321978.55
1965     31       271540.33
1965     32       290352.48
1965     33       325425.44
1965     34       375827.97
1965     35       417178.01
1965     36       436557.68
1965     37       437321.66
1965     38       426622.90
1965     39       423256.19
1965     40       414961.34
1965     41       398253.67
1965     42       367365.98
1965     43       326707.52
1965     44       289054.96
1965     45       272193.29
1965     46       281174.89
1965     47       239497.76
1965     48       203609.95
1965     49       241051.41
1965     50       318788.22
1965     51       359513.33
1965     52       366055.08
1965     53       351446.00
1965     54       343472.31
1965     55       336885.51
1966     12       383719.11
1966     13       376979.03
1966     14       378852.53
1966     15       379794.51
1966     16       390976.95
1966     17       381991.85
1966     18       333979.11
1966     19       312639.44
1966     20       260150.60
1966     21       224800.48
1966     22       236348.51
1966     23       258541.67
1966     24       335436.89
1966     25       397284.42
1966     26       433995.47
1966     27       477959.72
1966     28       497801.29
1966     29       466201.12
1966     30       390516.86
1966     31       321893.74
1966     32       270617.98
1966     33       289519.30
1966     34       325280.82
1966     35       374891.35
1966     36       417589.24
1966     37       436066.40
1966     38       437047.36
1966     39       427250.74
1966     40       422644.91
1966     41       415660.73
1966     42       398339.99
1966     43       366867.27
1966     44       326987.00
1966     45       287909.29
1966     46       271495.99
1966     47       280673.67
1966     48       238359.41
1966     49       202810.90
1966     50       239575.97
1966     51       318951.64
1966     52       359552.94
1966     53       365695.40
1966     54       351914.91
1966     55       342096.43
1967     12       390858.45
1967     13       383708.31
1967     14       376464.51
1967     15       378556.52
1967     16       379300.29
1967     17       391293.72
1967     18       381783.74
1967     19       333063.11
1967     20       312442.82
1967     21       259246.01
1967     22       224353.83
1967     23       235921.62
1967     24       257761.02
1967     25       335103.59
1967     26       395971.84
1967     27       434068.47
1967     28       478147.21
