Ukraine, Female exposure to risk by calendar year, age and parity
Last modified: 13/11/2015
Year   Age            E0x            E1x            E2x            E3x           E4px
1979    12      345586.52           0.00           0.00           0.00           0.00
1979    13      341113.33           3.12           0.01           0.00           0.00
1979    14      351760.32          55.72           0.08           0.00           0.00
1979    15      374464.10         704.65           7.27           0.07           0.00
1979    16      392390.84        2886.07         145.58           1.43           0.00
1979    17      390623.79        9729.06         525.00           9.69           0.00
1979    18      374180.41       28480.81        1467.48         110.94           0.15
1979    19      336438.70       62468.81        4255.62         330.10           8.67
1979    20      288267.66      106231.65       10299.07         642.61          88.21
1979    21      233872.12      148067.57       20174.96        1364.64         192.22
1979    22      181497.82      176942.66       32863.82        2629.09         339.57
1979    23      140184.55      192439.15       48865.09        4621.35         688.94
1979    24      109989.63      199731.14       67897.55        7060.09        1195.62
1979    25       87512.05      195501.53       85322.45        9445.37        1764.71
1979    26       72350.70      185674.19      103819.97       12556.77        2579.58
1979    27       61286.40      172659.15      123425.23       16498.41        3700.54
1979    28       53945.36      160462.81      140139.55       20322.01        4890.36
1979    29       49000.48      152608.97      158588.12       24832.80        6413.07
1979    30       43243.58      139409.17      165014.19       27722.54        7531.26
1979    31       34413.75      111779.70      146086.03       26205.13        7778.41
1979    32       31018.92      101817.06      148457.09       28747.43        9007.89
1979    33       23583.65       76742.07      121974.09       26340.04        8712.60
1979    34       19168.41       60331.19      108096.29       26647.10        9904.54
1979    35       19049.84       57955.67      115999.80       31046.26       11948.88
1979    36       20204.05       60845.88      126229.44       34747.73       13347.29
1979    37       25841.03       79921.65      165771.53       45911.22       17842.67
1979    38       30783.81       93643.65      192032.09       54568.43       21603.08
1979    39       34262.30      101807.19      206310.10       59579.52       24194.10
1979    40       39015.96      114731.14      229024.71       66115.50       27448.46
1979    41       41535.58      118987.35      236030.85       69689.37       29758.17
1979    42       40548.46      108928.81      217824.82       68126.98       30671.22
1979    43       35731.58       87248.25      178269.32       59077.08       28179.72
1979    44       31047.10       69490.24      141389.60       49259.46       25209.32
1979    45       28361.71       57546.29      113644.21       42895.03       23532.68
1979    46       31365.55       61076.94      119220.81       46695.03       26058.94
1979    47       35009.25       67884.32      134004.09       52448.95       28620.44
1979    48       41443.46       78230.03      151539.28       60481.96       33243.50
1979    49       47745.26       87402.08      162231.00       66288.86       37762.14
1979    50       52984.75       94373.32      168323.24       70687.90       40957.72
1979    51       54400.75       93319.48      161669.68       70329.27       41582.49
1979    52       56439.63       93259.95      155612.48       69872.79       42574.08
1979    53       58810.47       94111.11      145468.37       67844.66       43812.24
1979    54       59982.07       93859.66      135652.38       65657.54       45236.27
1979    55       59567.67       93002.82      131439.76       64498.31       45529.01
1980    12      345470.50           0.00           0.00           0.00           0.00
1980    13      341218.75           1.29           0.00           0.00           0.00
1980    14      341002.77          23.65           0.02           0.00           0.00
1980    15      353190.71         290.24           0.21           0.00           0.00
1980    16      375150.41        2196.29          34.22           0.20           0.00
1980    17      385885.12        8748.93         316.66           4.72           0.00
1980    18      368465.00       26691.30        1297.38          31.45           0.43
1980    19      333199.23       63487.10        3876.44         200.38           2.68
1980    20      281477.92      113011.53        9897.86         645.19          30.99
1980    21      229142.69      158624.02       20500.89        1367.54         162.54
1980    22      180198.47      187610.18       34576.41        2622.73         353.48
1980    23      140163.77      201221.90       50277.56        4509.82         639.59
1980    24      109690.66      202591.85       68125.03        7013.90        1192.21
1980    25       87588.14      199858.22       88460.32        9900.35        1913.68
1980    26       71794.20      190090.31      105964.79       12572.67        2634.29
1980    27       60365.55      174818.96      122169.35       15749.50        3542.92
1980    28       52478.75      161475.43      140842.49       19956.82        4847.78
1980    29       46919.35      149058.64      154647.18       23674.46        6152.27
1980    30       43311.01      142113.72      171171.53       28296.40        7769.38
1980    31       37757.61      127284.23      170162.89       29988.75        8581.49
1980    32       32102.61      108551.01      155965.01       29078.06        9021.52
1980    33       28636.35       97397.61      152980.76       30704.19        9985.57
1980    34       21987.73       73905.39      124001.46       27627.71        9467.37
1980    35       18098.10       58765.47      109475.79       27617.43       10622.91
1980    36       18073.39       56525.03      116518.16       31743.30       12608.61
1980    37       19407.26       59779.86      126689.32       35364.05       13942.54
1980    38       25030.02       78893.86      166197.30       46517.22       18477.97
1980    39       30010.65       92729.08      192123.16       55037.81       22162.32
1980    40       33597.36      101101.47      206225.77       59940.58       24649.88
1980    41       38069.90      113098.33      226567.55       65718.96       27547.38
1980    42       41314.52      119217.97      236922.63       70163.47       30157.48
1980    43       40165.30      108412.92      216989.64       67971.25       30745.15
1980    44       35445.48       86783.56      177380.46       58814.76       28159.68
1980    45       30865.56       69169.41      140770.17       49050.31       25162.61
1980    46       28189.71       57220.19      113028.23       42665.68       23431.45
1980    47       31293.86       60952.28      118988.85       46605.71       26022.17
1980    48       35080.21       68035.05      134304.33       52566.87       28690.58
1980    49       41385.68       78125.65      151343.16       60401.67       33204.41
1980    50       48299.39       88415.29      164117.33       67060.35       38204.72
1980    51       51753.27       92177.39      164411.27       69046.08       40006.94
1980    52       54536.12       93551.25      162071.88       70504.58       41686.19
1980    53       56244.19       92936.89      155073.31       69630.77       42427.19
1980    54       58572.54       93730.23      144879.52       67570.33       43635.29
1980    55       59243.41       92914.90      137299.32       65563.68       44066.19
1981    12      335775.90           0.00           0.00           0.00           0.00
1981    13      344733.56           1.29           0.01           0.00           0.00
1981    14      340559.31          23.70           0.03           0.00           0.00
1981    15      343108.63         269.14           0.37           0.00           0.00
1981    16      353561.29        1732.31          15.30           0.20           0.00
1981    17      369069.63        7875.10         221.62           2.70           0.00
1981    18      364043.59       25218.30        1120.77          23.78           0.49
1981    19      329086.58       60130.71        3720.50         118.83           2.96
1981    20      280183.52      112299.70        9620.41         525.36          21.43
1981    21      224014.89      164010.43       20247.26        1336.28         165.78
1981    22      175980.39      197696.89       35352.21        2600.41         390.75
1981    23      138608.65      210538.67       52831.99        4587.46         658.75
1981    24      110121.85      210094.87       70624.30        7031.60        1142.48
1981    25       88155.94      201688.02       89251.36        9946.84        1907.22
1981    26       71768.22      192061.76      109315.03       13097.18        2823.04
1981    27       60311.90      179192.28      125501.26       15813.51        3646.47
1981    28       51917.78      163170.13      139429.69       19019.07        4618.63
1981    29       45699.39      149776.52      155825.34       23240.43        6066.62
1981    30       41530.99      138521.15      167012.85       26866.09        7448.14
1981    31       38957.63      132917.54      181282.19       31433.46        9099.24
1981    32       34290.02      119888.69      176990.29       32530.57        9772.02
1981    33       29790.57      103936.97      161173.96       31138.14       10069.18
1981    34       26557.99       93179.59      155108.31       32143.73       10819.42
1981    35       20731.80       71685.73      125376.75       28681.03       10143.15
1981    36       17243.94       57297.69      109987.17       28308.44       11180.13
1981    37       17328.27       55292.97      116498.97       32244.48       13109.01
1981    38       18809.76       58974.19      126804.17       35774.50       14411.04
1981    39       24426.96       78194.01      166270.88       46893.59       18956.38
1981    40       29422.60       92051.96      191823.27       55302.42       22567.78
1981    41       33105.91      100600.61      205834.81       60120.12       24963.57
1981    42       37632.84      112571.73      225906.51       65735.02       27739.58
1981    43       40946.93      118667.60      236041.29       70026.90       30244.44
1981    44       39838.92      107809.57      215861.85       67681.75       30709.78
1981    45       35245.23       86426.89      176661.09       58605.29       28108.71
1981    46       30701.04       68854.93      140128.94       48837.27       25076.41
1981    47       28013.78       56878.48      112358.39       42413.47       23306.66
1981    48       31187.43       60753.19      118604.99       46454.49       25945.55
1981    49       35118.51       68116.43      134465.90       52631.33       28727.93
1981    50       41326.90       78015.02      151129.62       60319.11       33159.87
1981    51       48078.00       88007.98      163364.58       66754.54       38030.58
1981    52       51584.19       91875.50      163873.88       68821.21       39876.50
1981    53       54346.17       93225.04      161507.75       70258.74       41541.27
1981    54       55982.81       92504.62      154353.01       69307.17       42230.02
1981    55       56316.95       92046.69      148721.13       67803.36       42025.16
1982    12      339852.09           0.00           0.00           0.00           0.00
1982    13      334691.19           1.31           0.00           0.00           0.00
1982    14      343795.16          25.73           0.04           0.00           0.00
1982    15      341610.78         286.77           0.53           0.00           0.00
1982    16      344743.80        1745.08          19.88           0.34           0.00
1982    17      348112.22        7277.22         193.89           3.34           0.00
1982    18      347030.48       23679.73        1032.42          25.44           0.49
1982    19      323862.64       57035.87        3649.64         125.51           2.78
1982    20      277752.97      105815.77        9668.25         448.16          19.54
1982    21      222723.79      159718.10       20355.24        1252.80         129.52
1982    22      171569.20      200262.19       35984.64        2657.40         394.62
1982    23      133744.37      216831.19       54640.87        4706.88         733.44
1982    24      108117.02      215687.41       74076.29        7312.48        1179.90
1982    25       89026.17      206261.67       92501.28       10118.46        1874.24
1982    26       72987.73      192034.64      110348.17       13276.84        2823.17
1982    27       60285.76      178836.42      128641.56       16464.11        3889.40
1982    28       52169.69      166571.61      143293.91       19275.20        4796.13
1982    29       45416.47      150256.14      153408.96       22260.75        5761.00
1982    30       40786.38      139149.10      168777.01       26641.99        7382.61
1982    31       37576.72      129407.01      176760.08       30029.91        8769.61
1982    32       35537.08      124942.54      188311.95       34374.04       10400.48
1982    33       31777.86      114269.72      182680.59       35106.18       10983.38
1982    34       27827.41       99639.97      163955.23       32829.93       10964.83
1982    35       25043.07       90136.13      156875.52       33497.22       11592.21
1982    36       19769.22       69856.73      126020.73       29537.76       10721.39
1982    37       16595.24       56164.86      110136.06       28872.65       11648.16
1982    38       16780.97       54406.49      116317.28       32599.58       13533.33
1982    39       18389.25       58411.67      126775.30       36040.60       14796.03
1982    40       23999.83       77701.02      166163.93       47137.53       19331.80
1982    41       29012.89       91547.65      191414.49       55441.81       22850.62
1982    42       32815.04      100293.89      205652.30       60237.69       25183.37
1982    43       37354.99      112152.04      225317.98       65675.76       27856.66
1982    44       40701.36      118180.64      235208.12       69851.70       30263.62
1982    45       39645.65      107417.83      215109.35       67483.39       30668.22
1982    46       35081.31       86103.43      175979.17       58399.39       28030.94
1982    47       30557.48       68555.49      139517.24       48626.29       24981.32
1982    48       27821.75       56494.04      111601.83       42127.54       23156.02
1982    49       31133.48       60653.81      118407.02       46381.77       25904.42
1982    50       35159.45       68198.56      134623.79       52697.31       28762.94
1982    51       41246.33       77862.61      150835.03       60201.37       33095.59
