Ukraine, Female exposure to risk by calendar year, age and parity (based on parity distribution from population census)
Last modified: 13/11/2015
Year   Age            E0x            E1x            E2x            E3x           E4px
1979    12      345586.52           0.00           0.00           0.00           0.00
1979    13      341113.33           3.12           0.01           0.00           0.00
1979    14      351760.32          55.72           0.08           0.00           0.00
1979    15      374464.10         704.65           7.27           0.07           0.00
1979    16      392390.84        2886.07         145.58           1.43           0.00
1979    17      390623.79        9729.06         525.00           9.69           0.00
1979    18      374180.41       28480.81        1467.48         110.94           0.15
1979    19      336438.70       62468.81        4255.62         330.10           8.67
1979    20      288267.66      106231.65       10299.07         642.61          88.21
1979    21      233872.12      148067.57       20174.96        1364.64         192.22
1979    22      181497.82      176942.66       32863.82        2629.09         339.57
1979    23      140184.55      192439.15       48865.09        4621.35         688.94
1979    24      109989.63      199731.14       67897.55        7060.09        1195.62
1979    25       87512.05      195501.53       85322.45        9445.37        1764.71
1979    26       72350.70      185674.19      103819.97       12556.77        2579.58
1979    27       61286.40      172659.15      123425.23       16498.41        3700.54
1979    28       53945.36      160462.81      140139.55       20322.01        4890.36
1979    29       49000.48      152608.97      158588.12       24832.80        6413.07
1979    30       43243.58      139409.17      165014.19       27722.54        7531.26
1979    31       34413.75      111779.70      146086.03       26205.13        7778.41
1979    32       31018.92      101817.06      148457.09       28747.43        9007.89
1979    33       23583.65       76742.07      121974.09       26340.04        8712.60
1979    34       19168.41       60331.19      108096.29       26647.10        9904.54
1979    35       19049.84       57955.67      115999.80       31046.26       11948.88
1979    36       20204.05       60845.88      126229.44       34747.73       13347.29
1979    37       25841.03       79921.65      165771.53       45911.22       17842.67
1979    38       30783.81       93643.65      192032.09       54568.43       21603.08
1979    39       34262.30      101807.19      206310.10       59579.52       24194.10
1979    40       39015.96      114731.14      229024.71       66115.50       27448.46
1979    41       41535.58      118987.35      236030.85       69689.37       29758.17
1979    42       40548.46      108928.81      217824.82       68126.98       30671.22
1979    43       35731.58       87248.25      178269.32       59077.08       28179.72
1979    44       31047.10       69490.24      141389.60       49259.46       25209.32
1979    45       28361.71       57546.29      113644.21       42895.03       23532.68
1979    46       31365.55       61076.94      119220.81       46695.03       26058.94
1979    47       35009.25       67884.32      134004.09       52448.95       28620.44
1979    48       41443.46       78230.03      151539.28       60481.96       33243.50
1979    49       47745.26       87402.08      162231.00       66288.86       37762.14
1979    50       52984.75       94373.32      168323.24       70687.90       40957.72
1979    51       54400.75       93319.48      161669.68       70329.27       41582.49
1979    52       56439.63       93259.95      155612.48       69872.79       42574.08
1979    53       58810.47       94111.11      145468.37       67844.66       43812.24
1979    54       59982.07       93859.66      135652.38       65657.54       45236.27
1979    55       59567.67       93002.82      131439.76       64498.31       45529.01
2001    12      342320.40           0.00           0.00           0.00           0.00
2001    13      359114.26           7.47           0.04           0.11           0.00
2001    14      375576.79         100.01           8.44           0.38           0.00
2001    15      381650.40         557.37          28.40           0.39           0.00
2001    16      380858.49        2202.44          80.23           3.76           0.00
2001    17      382177.47        8209.87         282.62          13.31           0.19
2001    18      354682.15       21855.62         988.64          47.96           2.07
2001    19      308219.38       42228.75        2762.01         153.41           5.48
2001    20      278504.25       71292.25        6256.93         411.33          32.12
2001    21      237088.84      101138.76       11735.06         896.39          95.26
2001    22      195312.06      126142.00       19032.50        1642.68         219.14
2001    23      159989.42      145179.40       27883.47        2676.49         438.24
2001    24      135680.45      163565.21       39015.62        4026.61         801.05
2001    25      114936.71      175725.38       51183.44        5600.39        1271.08
2001    26       93497.71      176681.22       62407.17        7215.37        1827.79
2001    27       76628.30      173022.65       73400.25        8893.60        2464.59
2001    28       65910.35      171663.12       85284.85       10836.82        3106.74
2001    29       57456.95      169499.57       96809.73       12978.08        3906.93
2001    30       49503.42      160483.15      105460.51       14712.75        4746.38
2001    31       42130.29      148482.33      112948.87       16541.17        5575.96
2001    32       35691.47      136384.33      118861.69       18424.13        6490.91
2001    33       32561.33      132233.28      130344.32       21029.49        7580.16
2001    34       29698.43      124639.10      137522.17       23036.15        8423.36
2001    35       28695.87      119970.71      145333.43       25219.08        9451.08
2001    36       27226.71      116533.07      154941.48       27639.11       10602.18
2001    37       26596.82      117630.38      170820.89       31269.25       12171.26
2001    38       26591.37      117792.00      184884.65       34520.52       13790.79
2001    39       26040.20      116123.08      195444.28       37423.63       15448.00
2001    40       25932.47      116279.08      205626.34       40949.03       17147.83
2001    41       25157.66      112759.38      208498.96       42887.99       18299.30
2001    42       23885.03      107442.78      206243.69       43454.55       18973.22
2001    43       22928.69      103786.59      203262.71       44038.08       19331.78
2001    44       22578.98      101351.48      200281.92       43887.60       19104.41
2001    45       22255.44       97964.31      194858.16       43193.75       18814.85
2001    46       21657.61       96241.76      192635.74       43328.15       19294.53
2001    47       20946.44       94708.33      188247.13       42449.75       18957.52
2001    48       20700.26       93699.15      184648.18       42057.09       18723.75
2001    49       21242.43       96150.46      188016.58       43525.95       19742.55
2001    50       21637.02       96773.97      186305.73       43451.45       19970.45
2001    51       22346.29       99564.72      190671.26       44399.16       20539.54
2001    52       21261.01       94534.98      178831.20       41631.34       19179.71
2001    53       19061.84       82919.16      153265.97       35883.56       16787.19
2001    54       18099.29       75377.32      142102.89       35881.85       17512.33
2001    55       14904.65       59976.93      116384.21       31384.69       15627.38
