Ukraine, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 13/11/2015
Year   Age   Cohort      Exposure
1959    12    1947      152877.80
1959    12    1946      160901.47
1959    13    1946      160450.20
1959    13    1945      105804.09
1959    14    1945      105435.33
1959    14    1944      122392.13
1959    15    1944      122385.53
1959    15    1943      116901.50
1959    16    1943      116554.40
1959    16    1942      147466.95
1959    17    1942      147112.91
1959    17    1941      190705.43
1959    18    1941      190819.60
1959    18    1940      215704.04
1959    19    1940      214384.14
1959    19    1939      219240.58
1959    20    1939      220727.11
1959    20    1938      256138.95
1959    21    1938      254918.70
1959    21    1937      244321.40
1959    22    1937      245455.00
1959    22    1936      219575.24
1959    23    1936      218713.69
1959    23    1935      178107.83
1959    24    1935      178159.78
1959    24    1934      144301.17
1959    25    1934      144253.65
1959    25    1933      132718.12
1959    26    1933      131941.83
1959    26    1932      163281.23
1959    27    1932      163351.27
1959    27    1931      162988.86
1959    28    1931      162892.28
1959    28    1930      218393.65
1959    29    1930      217724.90
1959    29    1929      196774.59
1959    30    1929      198054.83
1959    30    1928      241270.69
1959    31    1928      239706.26
1959    31    1927      198884.78
1959    32    1927      200445.65
1959    32    1926      222116.20
1959    33    1926      221463.17
1959    33    1925      204810.80
1959    34    1925      205208.10
1959    34    1924      204920.43
1959    35    1924      205583.44
1959    35    1923      191443.09
1959    36    1923      191229.24
1959    36    1922      177936.71
1959    37    1922      178118.38
1959    37    1921      145973.79
1959    38    1921      146518.58
1959    38    1920      148391.56
1959    39    1920      147155.77
1959    39    1919      128299.65
1959    40    1919      129267.50
1959    40    1918      154149.00
1959    41    1918      153071.89
1959    41    1917       92224.43
1959    42    1917       92606.78
1959    42    1916      114902.55
1959    43    1916      114146.76
1959    43    1915      134408.33
1959    44    1915      134236.95
1959    44    1914      182234.00
1959    45    1914      183236.56
1959    45    1913      174347.25
1959    46    1913      174195.64
1959    46    1912      191369.39
1959    47    1912      192202.98
1959    47    1911      154066.85
1959    48    1911      154771.12
1959    48    1910      194159.77
1959    49    1910      193265.98
1959    49    1909      141310.03
1959    50    1909      143328.12
1959    50    1908      165866.38
1959    51    1908      164709.52
1959    51    1907      137767.74
1959    52    1907      139335.14
1959    52    1906      145298.43
1959    53    1906      145482.48
1959    53    1905      134444.66
1959    54    1905      135162.61
1959    54    1904      132843.00
1959    55    1904      133123.84
1959    55    1903      147235.66
1960    12    1948      186394.91
1960    12    1947      152850.82
1960    13    1947      153194.30
1960    13    1946      160424.45
1960    14    1946      159976.95
1960    14    1945      105411.44
1960    15    1945      105046.34
1960    15    1944      122361.66
1960    16    1944      122357.91
1960    16    1943      116525.93
1960    17    1943      116176.35
1960    17    1942      147076.39
1960    18    1942      146717.65
1960    18    1941      190764.97
1960    19    1941      190882.87
1960    19    1940      214321.40
1960    20    1940      212996.28
1960    20    1939      220641.29
1960    21    1939      222136.05
1960    21    1938      254840.45
1960    22    1938      253631.56
1960    22    1937      245360.95
1960    23    1937      246507.96
1960    23    1936      218633.07
1960    24    1936      217794.87
1960    24    1935      178088.30
1960    25    1935      178149.98
1960    25    1934      144192.43
1960    26    1934      144158.07
1960    26    1933      131890.55
1960    27    1933      131119.50
1960    27    1932      163288.15
1960    28    1932      163359.39
1960    28    1931      162811.40
1960    29    1931      162734.14
1960    29    1930      217640.15
1960    30    1930      216972.74
1960    30    1929      197943.40
1960    31    1929      199233.95
1960    31    1928      239613.02
1960    32    1928      238057.67
1960    32    1927      200331.63
1960    33    1927      201892.04
1960    33    1926      221360.00
1960    34    1926      220714.15
1960    34    1925      205095.07
1960    35    1925      205486.33
1960    35    1924      205458.22
1960    36    1924      206138.53
1960    36    1923      191121.57
1960    37    1923      190927.59
1960    37    1922      178015.24
1960    38    1922      178188.68
1960    38    1921      146405.72
1960    39    1921      146959.97
1960    39    1920      147061.21
1960    40    1920      145818.76
1960    40    1919      129138.34
1960    41    1919      130129.83
1960    41    1918      152976.46
1960    42    1918      151925.44
1960    42    1917       92493.57
1960    43    1917       92862.23
1960    43    1916      114042.49
1960    44    1916      113292.64
1960    44    1915      134102.29
1960    45    1915      133919.59
1960    45    1914      183043.67
1960    46    1914      184048.24
1960    46    1913      173991.75
1960    47    1913      173864.53
1960    47    1912      192001.45
1960    48    1912      192813.30
1960    48    1911      154521.76
1960    49    1911      155238.78
1960    49    1910      193050.65
1960    50    1910      192136.12
1960    50    1909      143047.86
1960    51    1909      145063.39
1960    51    1908      164492.55
1960    52    1908      163372.23
1960    52    1907      139063.31
1960    53    1907      140637.04
1960    53    1906      145219.67
1960    54    1906      145446.32
1960    54    1905      134889.39
1960    55    1905      135589.79
1960    55    1904      132793.67
1961    12    1949      196382.86
1961    12    1948      186369.40
1961    13    1948      185211.58
1961    13    1947      153170.40
1961    14    1947      153519.58
1961    14    1946      159952.81
1961    15    1946      159509.35
1961    15    1945      105024.70
1961    16    1945      104656.64
1961    16    1944      122331.70
1961    17    1944      122323.08
1961    17    1943      116146.56
1961    18    1943      115793.45
1961    18    1942      146678.37
1961    19    1942      146318.07
1961    19    1941      190832.11
1961    20    1941      190940.40
1961    20    1940      212923.24
1961    21    1940      211600.24
1961    21    1939      222064.47
1961    22    1939      223568.18
1961    22    1938      253549.38
1961    23    1938      252343.72
1961    23    1937      246426.03
1961    24    1937      247587.60
1961    24    1936      217721.06
1961    25    1936      216894.24
1961    25    1935      178082.44
1961    26    1935      178154.13
1961    26    1934      144104.20
1961    27    1934      144075.05
1961    27    1933      131066.22
1961    28    1933      130292.01
1961    28    1932      163297.27
1961    29    1932      163376.63
1961    29    1931      162665.84
1961    30    1931      162583.18
1961    30    1930      216873.89
1961    31    1930      216215.47
1961    31    1929      199145.57
1961    32    1929      200448.73
1961    32    1928      237952.65
1961    33    1928      236393.14
1961    33    1927      201787.23
1961    34    1927      203355.95
1961    34    1926      220609.58
1961    35    1926      219954.96
1961    35    1925      205366.73
1961    36    1925      205747.62
1961    36    1924      206024.03
1961    37    1924      206708.50
1961    37    1923      190821.27
1961    38    1923      190612.90
1961    38    1922      178073.10
1961    39    1922      178242.99
1961    39    1921      146862.30
1961    40    1921      147394.96
1961    40    1920      145695.45
1961    41    1920      144451.42
1961    41    1919      130039.87
1961    42    1919      131024.55
1961    42    1918      151801.19
1961    43    1918      150726.32
1961    43    1917       92758.78
1961    44    1917       93146.31
1961    44    1916      113190.96
1961    45    1916      112428.18
1961    45    1915      133770.42
1961    46    1915      133560.94
1961    46    1914      183857.52
1961    47    1914      184851.09
1961    47    1913      173665.26
1961    48    1913      173496.94
1961    48    1912      192576.28
1961    49    1912      193374.64
1961    49    1911      155024.02
1961    50    1911      155672.02
1961    50    1910      191841.99
1961    51    1910      190872.35
1961    51    1909      144833.08
1961    52    1909      146836.34
1961    52    1908      163118.09
1961    53    1908      161940.20
1961    53    1907      140376.75
1961    54    1907      141931.10
1961    54    1906      145183.73
1961    55    1906      145335.58
1961    55    1905      135270.41
1962    12    1950      193202.45
1962    12    1949      196353.70
1962    13    1949      197426.96
1962    13    1948      185187.65
1962    14    1948      184028.14
1962    14    1947      153496.12
1962    15    1947      153837.96
1962    15    1946      159482.84
1962    16    1946      159034.79
1962    16    1945      104633.46
1962    17    1945      104267.08
1962    17    1944      122296.73
1962    18    1944      122282.96
1962    18    1943      115759.34
1962    19    1943      115406.76
1962    19    1942      146282.45
1962    20    1942      145912.99
1962    20    1941      190877.26
1962    21    1941      190984.95
1962    21    1940      211538.89
1962    22    1940      210218.09
1962    22    1939      223490.51
1962    23    1939      224988.99
1962    23    1938      252266.22
1962    24    1938      251062.68
1962    24    1937      247509.10
1962    25    1937      248651.23
1962    25    1936      216813.30
1962    26    1936      215971.42
1962    26    1935      178090.70
1962    27    1935      178161.54
1962    27    1934      144019.16
1962    28    1934      143990.12
1962    28    1933      130238.93
1962    29    1933      129473.68
1962    29    1932      163322.49
1962    30    1932      163387.96
1962    30    1931      162497.60
1962    31    1931      162415.84
1962    31    1930      216137.78
1962    32    1930      215470.47
1962    32    1929      200341.60
1962    33    1929      201630.11
1962    33    1928      236296.68
1962    34    1928      234756.98
1962    34    1927      203256.16
1962    35    1927      204830.43
1962    35    1926      219842.78
1962    36    1926      219182.26
1962    36    1925      205627.58
1962    37    1925      206002.73
1962    37    1924      206593.23
1962    38    1924      207253.86
1962    38    1923      190488.08
1962    39    1923      190271.74
1962    39    1922      178139.36
1962    40    1922      178283.94
1962    40    1921      147262.13
1962    41    1921      147781.90
1962    41    1920      144354.86
1962    42    1920      143093.71
1962    42    1919      130896.33
1962    43    1919      131848.71
1962    43    1918      150611.30
1962    44    1918      149533.95
1962    44    1917       93041.62
1962    45    1917       93405.66
1962    45    1916      112309.41
1962    46    1916      111539.13
1962    46    1915      133410.95
1962    47    1915      133214.91
1962    47    1914      184661.56
1962    48    1914      185624.49
1962    48    1913      173260.20
1962    49    1913      173061.77
1962    49    1912      193151.93
1962    50    1912      193880.44
1962    50    1911      155373.04
1962    51    1911      156001.21
1962    51    1910      190623.08
1962    52    1910      189639.30
1962    52    1909      146547.90
1962    53    1909      148482.69
1962    53    1908      161679.86
1962    54    1908      160489.38
1962    54    1907      141660.01
1962    55    1907      143121.55
1962    55    1906      144999.27
1963    12    1951      188041.68
1963    12    1950      193171.81
1963    13    1950      192506.56
1963    13    1949      197396.36
1963    14    1949      198457.82
1963    14    1948      183999.51
1963    15    1948      182829.00
1963    15    1947      153810.13
1963    16    1947      154148.75
1963    16    1946      159008.89
1963    17    1946      158559.35
1963    17    1945      104243.41
1963    18    1945      103876.55
1963    18    1944      122254.29
1963    19    1944      122247.88
1963    19    1943      115378.93
1963    20    1943      115023.80
1963    20    1942      145865.85
1963    21    1942      145499.81
1963    21    1941      190933.78
1963    22    1941      191044.19
1963    22    1940      210147.60
1963    23    1940      208828.29
1963    23    1939      224918.35
1963    24    1939      226429.77
1963    24    1938      250985.78
1963    25    1938      249782.24
1963    25    1937      248562.76
1963    26    1937      249717.36
1963    26    1936      215898.41
1963    27    1936      215075.21
1963    27    1935      178099.11
1963    28    1935      178173.59
1963    28    1934      143935.13
1963    29    1934      143912.76
1963    29    1933      129427.48
1963    30    1933      128650.72
1963    30    1932      163314.83
1963    31    1932      163378.87
1963    31    1931      162348.29
1963    32    1931      162261.70
1963    32    1930      215368.76
1963    33    1930      214705.15
1963    33    1929      201540.64
1963    34    1929      202848.56
1963    34    1928      234662.86
1963    35    1928      233094.30
1963    35    1927      204716.66
1963    36    1927      206257.98
1963    36    1926      219065.43
1963    37    1926      218401.91
1963    37    1925      205883.00
1963    38    1925      206257.79
1963    38    1924      207126.31
1963    39    1924      207795.03
1963    39    1923      190158.95
1963    40    1923      189927.29
1963    40    1922      178148.64
1963    41    1922      178303.36
1963    41    1921      147678.43
