Ukraine, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 13/11/2015
Year    ARDY   Cohort       Exposure
1959     12     1947       152877.80
1959     13     1946       321351.67
1959     14     1945       211239.42
1959     15     1944       244777.66
1959     16     1943       233455.89
1959     17     1942       294579.85
1959     18     1941       381525.03
1959     19     1940       430088.18
1959     20     1939       439967.69
1959     21     1938       511057.65
1959     22     1937       489776.40
1959     23     1936       438288.93
1959     24     1935       356267.61
1959     25     1934       288554.82
1959     26     1933       264659.95
1959     27     1932       326632.50
1959     28     1931       325881.15
1959     29     1930       436118.55
1959     30     1929       394829.41
1959     31     1928       480976.95
1959     32     1927       399330.43
1959     33     1926       443579.38
1959     34     1925       410018.90
1959     35     1924       410503.87
1959     36     1923       382672.33
1959     37     1922       356055.09
1959     38     1921       292492.36
1959     39     1920       295547.34
1959     40     1919       257567.14
1959     41     1918       307220.89
1959     42     1917       184831.21
1959     43     1916       229049.31
1959     44     1915       268645.28
1959     45     1914       365470.56
1959     46     1913       348542.89
1959     47     1912       383572.36
1959     48     1911       308837.97
1959     49     1910       387425.75
1959     50     1909       284638.15
1959     51     1908       330575.90
1959     52     1907       277102.87
1959     53     1906       290780.91
1959     54     1905       269607.27
1959     55     1904       265966.84
1960     12     1948       186394.91
1960     13     1947       306045.12
1960     14     1946       320401.40
1960     15     1945       210457.78
1960     16     1944       244719.58
1960     17     1943       232702.29
1960     18     1942       293794.04
1960     19     1941       381647.84
1960     20     1940       427317.68
1960     21     1939       442777.34
1960     22     1938       508472.02
1960     23     1937       491868.90
1960     24     1936       436427.94
1960     25     1935       356238.28
1960     26     1934       288350.50
1960     27     1933       263010.05
1960     28     1932       326647.54
1960     29     1931       325545.54
1960     30     1930       434612.90
1960     31     1929       397177.34
1960     32     1928       477670.70
1960     33     1927       402223.67
1960     34     1926       442074.16
1960     35     1925       410581.40
1960     36     1924       411596.74
1960     37     1923       382049.15
1960     38     1922       356203.93
1960     39     1921       293365.69
