Ukraine, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 13/11/2015
Year       MAB     MAB40
1959     27.51     27.06
1960     27.45     27.03
1961     27.21     26.80
1962     27.23     26.81
1963     27.09     26.68
1964     27.08     26.68
1965     27.10     26.71
1966     27.04     26.67
1967     26.89     26.54
1968     26.73     26.40
1969     26.69     26.38
1970     26.51     26.22
1971     26.45     26.17
1972     26.35     26.07
1973     26.36     26.07
1974     26.20     25.93
1975     26.14     25.86
1976     25.94     25.68
1977     25.91     25.66
1978     25.69     25.45
1979     25.55     25.33
1980     25.42     25.22
1981     25.53     25.33
1982     25.43     25.24
1983     25.54     25.37
1984     25.39     25.22
1985     25.36     25.19
1986     25.47     25.30
1987     25.36     25.19
1988     25.23     25.06
1989     25.05     24.88
1990     24.80     24.64
1991     24.65     24.49
1992     24.52     24.37
1993     24.50     24.35
1994     24.44     24.29
1995     24.38     24.24
1996     24.39     24.26
1997     24.54     24.41
1998     24.67     24.53
1999     24.88     24.73
2000     25.00     24.86
2001     25.23     25.08
2002     25.41     25.27
2003     25.61     25.47
2004     25.77     25.61
2005     26.02     25.85
2006     26.24     26.07
2007     26.36     26.18
2008     26.52     26.33
2009     26.76     26.54
2010     26.98     26.74
2011     27.15     26.91
2012     27.22     26.97
2013     27.32     27.05
