Ukraine, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 13/11/2015
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1959     27.51     24.38     28.22     31.11     33.08     36.62     27.06     24.27     28.02     30.68     32.29     34.56
1960     27.45     24.45     28.01     31.13     33.21     36.56     27.03     24.35     27.81     30.74     32.42     34.62
1961     27.21     24.13     27.93     30.96     33.00     36.33     26.80     24.02     27.75     30.56     32.22     34.36
1962     27.23     24.17     28.29     31.09     33.08     36.47     26.81     24.04     28.09     30.66     32.31     34.42
1963     27.09     24.02     28.13     31.08     33.08     36.38     26.68     23.90     27.93     30.65     32.28     34.33
1964     27.08     24.16     28.20     31.09     33.13     36.28     26.68     24.02     28.00     30.65     32.32     34.26
1965     27.10     24.16     28.21     31.13     33.10     36.23     26.71     24.02     28.01     30.70     32.32     34.28
1966     27.04     24.09     28.21     31.15     33.15     36.13     26.67     23.97     28.02     30.71     32.34     34.25
1967     26.89     23.99     28.17     31.12     33.12     36.08     26.54     23.87     27.99     30.68     32.30     34.33
1968     26.73     23.84     28.11     31.05     32.95     35.97     26.40     23.73     27.93     30.60     32.20     34.29
1969     26.69     23.78     28.10     31.09     33.01     35.98     26.38     23.66     27.93     30.65     32.26     34.32
1970     26.51     23.58     28.09     30.87     32.80     35.65     26.22     23.47     27.94     30.47     32.04     34.07
1971     26.45     23.47     28.17     30.98     32.92     35.78     26.17     23.37     28.02     30.59     32.18     34.23
1972     26.35     23.41     28.09     30.99     32.76     35.69     26.07     23.31     27.94     30.59     32.01     34.09
1973     26.36     23.55     28.06     31.03     32.77     35.69     26.07     23.44     27.90     30.61     31.98     33.99
1974     26.20     23.33     27.85     30.89     32.78     35.66     25.93     23.23     27.71     30.49     32.03     33.97
1975     26.14     23.27     27.72     30.74     32.78     35.66     25.86     23.18     27.57     30.35     32.03     33.96
1976     25.94     23.09     27.59     30.68     32.55     35.44     25.68     23.00     27.45     30.28     31.82     33.84
1977     25.91     23.07     27.50     30.58     32.45     35.34     25.66     22.99     27.37     30.18     31.72     33.81
1978     25.69     22.92     27.39     30.42     32.44     35.29     25.45     22.85     27.26     30.02     31.72     33.77
1979     25.55     22.87     27.33     30.25     32.15     35.13     25.33     22.80     27.20     29.85     31.43     33.72
1980     25.42     22.80     27.27     30.16     32.10     34.96     25.22     22.74     27.15     29.76     31.39     33.65
1981     25.53     22.78     27.27     30.19     31.89     35.03     25.33     22.71     27.17     29.79     31.19     33.67
1982     25.43     22.68     27.11     30.04     31.92     34.87     25.24     22.63     27.01     29.69     31.26     33.59
1983     25.54     22.68     27.13     29.94     31.86     34.65     25.37     22.63     27.04     29.62     31.24     33.39
1984     25.39     22.57     27.03     29.94     31.67     34.52     25.22     22.53     26.94     29.62     31.06     33.24
1985     25.36     22.60     26.92     29.83     31.54     34.42     25.19     22.55     26.84     29.52     30.89     33.11
1986     25.47     22.59     26.94     29.99     31.70     34.40     25.30     22.54     26.86     29.68     31.04     33.15
1987     25.36     22.56     26.87     29.91     31.67     34.35     25.19     22.51     26.78     29.57     31.02     33.11
1988     25.23     22.54     26.86     29.80     31.48     34.18     25.06     22.49     26.77     29.49     30.88     33.00
1989     25.05     22.46     26.74     29.73     31.49     34.21     24.88     22.41     26.64     29.39     30.87     33.06
1990     24.80     22.34     26.60     29.54     31.35     34.10     24.64     22.29     26.51     29.23     30.76     33.00
1991     24.65     22.30     26.48     29.47     31.16     33.96     24.49     22.25     26.39     29.15     30.60     32.87
1992     24.52     22.23     26.38     29.42     31.20     33.85     24.37     22.18     26.30     29.10     30.62     32.74
1993     24.50     22.22     26.37     29.39     31.17     33.98     24.35     22.17     26.29     29.09     30.65     32.83
1994     24.44     22.23     26.41     29.41     31.23     33.97     24.29     22.18     26.32     29.10     30.63     32.88
1995     24.38     22.22     26.41     29.36     31.12     33.80     24.24     22.17     26.33     29.05     30.56     32.75
1996     24.39     22.26     26.46     29.40     31.16     33.76     24.26     22.22     26.38     29.09     30.60     32.76
1997     24.54     22.41     26.60     29.52     31.26     33.81     24.41     22.37     26.52     29.22     30.71     32.81
1998     24.67     22.54     26.71     29.67     31.39     33.88     24.53     22.49     26.63     29.31     30.79     32.83
1999     24.88     22.74     26.87     29.79     31.48     33.93     24.73     22.69     26.79     29.42     30.85     32.84
2000     25.00     22.89     27.09     29.99     31.52     34.09     24.86     22.84     27.00     29.61     30.90     33.03
2001     25.23     23.10     27.37     30.24     31.62     34.16     25.08     23.06     27.28     29.82     30.98     33.07
2002     25.41     23.20     27.62     30.33     31.83     34.15     25.27     23.16     27.53     29.92     31.21     33.14
2003     25.61     23.37     27.90     30.57     31.83     34.13     25.47     23.33     27.80     30.16     31.20     33.06
2004     25.77     23.53     28.16     30.77     32.01     34.22     25.61     23.48     28.06     30.31     31.34     33.14
2005     26.02     23.70     28.37     30.87     32.09     34.23     25.85     23.66     28.25     30.41     31.40     33.15
2006     26.24     23.82     28.46     30.95     32.15     34.26     26.07     23.77     28.34     30.52     31.52     33.17
2007     26.36     23.94     28.60     31.05     32.27     34.39     26.18     23.89     28.46     30.59     31.56     33.27
2008     26.52     24.01     28.72     31.10     32.28     34.28     26.33     23.97     28.57     30.64     31.58     33.17
2009     26.76     24.17     28.82     31.18     32.32     34.32     26.54     24.11     28.66     30.69     31.58     33.25
2010     26.98     24.37     28.82     31.18     32.34     34.32     26.74     24.30     28.64     30.70     31.57     33.20
2011     27.15     24.45     28.93     31.24     32.35     34.32     26.91     24.38     28.74     30.73     31.65     33.17
