Ukraine, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 13/11/2015
Cohort    CMAB    CMAB40
1944     26.19     26.00
1945     26.04     25.86
1946     26.01     25.84
1947     25.90     25.74
1948     25.82     25.68
1949     25.88     25.74
1950     25.78     25.66
1951     25.76     25.65
1952     25.67     25.57
1953     25.59     25.49
1954     25.53     25.44
1955     25.43     25.34
1956     25.30     25.21
1957     25.14     25.05
1958     25.00     24.91
1959     24.86     24.76
1960     24.71     24.62
1961     24.61     24.51
1962     24.53     24.41
1963     24.42     24.29
1964         .     24.22
1965         .     24.15
1966         .     24.11
1967         .     24.15
1968         .     24.19
1969         .     24.28
1970         .     24.40
1971         .     24.58
1972         .     24.83
1973         .     25.06
