Ukraine, Conditional fertility rates by calendar year, age and birth order
Last modified: 13/11/2015
Year  Age       m1x       m2x       m3x       m4x      m5px
1979   12-  0.00000         .         .         .         .
1979   13   0.00001         .         .         .         .
1979   14   0.00010   0.00126         .         .         .
1979   15   0.00114   0.00131   0.00000         .         .
1979   16   0.00686   0.01559   0.01374         .         .
1979   17   0.02355   0.02642   0.01714   0.00000         .
1979   18   0.07093   0.04768   0.02726   0.00000         .
1979   19   0.14320   0.05737   0.03901   0.01515   0.11535
1979   20   0.21758   0.07738   0.04855   0.08092   0.02267
1979   21   0.25305   0.08893   0.05095   0.08500   0.05202
1979   22   0.26291   0.09910   0.05553   0.08216   0.04417
1979   23   0.25757   0.10484   0.05159   0.08461   0.08419
1979   24   0.23564   0.11521   0.04798   0.08768   0.11040
1979   25   0.21918   0.12240   0.04320   0.08036   0.12920
1979   26   0.18998   0.12525   0.03812   0.06937   0.13413
1979   27   0.16761   0.13252   0.03748   0.06819   0.13890
1979   28   0.14730   0.12748   0.03362   0.05994   0.14600
1979   29   0.12753   0.11712   0.03049   0.05364   0.12147
1979   30   0.12173   0.11355   0.02939   0.04913   0.14102
1979   31   0.09805   0.08611   0.02154   0.03801   0.10093
1979   32   0.09439   0.08344   0.02187   0.03680   0.11235
1979   33   0.07009   0.06260   0.01835   0.02665   0.09010
1979   34   0.06276   0.05150   0.01627   0.02882   0.08643
1979   35   0.05795   0.04566   0.01509   0.02577   0.08587
1979   36   0.04578   0.03231   0.01100   0.01922   0.07275
1979   37   0.03533   0.02691   0.00929   0.01579   0.06030
1979   38   0.02787   0.01921   0.00701   0.01252   0.05393
1979   39   0.02099   0.01410   0.00529   0.00915   0.04563
1979   40   0.01604   0.00971   0.00411   0.00759   0.03701
1979   41   0.01081   0.00603   0.00267   0.00492   0.02732
1979   42   0.00758   0.00400   0.00180   0.00355   0.01928
1979   43   0.00395   0.00225   0.00111   0.00244   0.01267
1979   44   0.00200   0.00117   0.00059   0.00195   0.00873
1979   45   0.00088   0.00085   0.00038   0.00084   0.00591
1979   46   0.00045   0.00041   0.00017   0.00039   0.00184
1979   47   0.00040   0.00013   0.00009   0.00010   0.00115
1979   48   0.00012   0.00008   0.00001   0.00005   0.00030
1979   49   0.00006   0.00006   0.00002   0.00008   0.00011
1979   50   0.00000   0.00003   0.00001   0.00003   0.00046
1979   51   0.00000   0.00000   0.00000   0.00000   0.00002
1979   52   0.00000   0.00000   0.00000   0.00000   0.00005
1979   53   0.00000   0.00000   0.00001   0.00001   0.00000
1979   54   0.00000   0.00000   0.00000   0.00000   0.00004
1979   55+  0.00104   0.00017   0.00002   0.00000   0.00000
1980   12-  0.00000         .         .         .         .
1980   13   0.00001         .         .         .         .
1980   14   0.00012   0.00000         .         .         .
1980   15   0.00127   0.00000         .         .         .
1980   16   0.00700   0.02277   0.00000         .         .
1980   17   0.02489   0.03795   0.00947         .         .
1980   18   0.07228   0.04972   0.02853   0.03180         .
1980   19   0.14974   0.05988   0.03560   0.02994         .
1980   20   0.22609   0.07252   0.05345   0.04960   0.12906
1980   21   0.26617   0.08566   0.05239   0.06728   0.08614
1980   22   0.27766   0.09663   0.04949   0.07893   0.07355
1980   23   0.25827   0.10588   0.05081   0.08183   0.11573
1980   24   0.24431   0.11519   0.04618   0.08783   0.12164
1980   25   0.22175   0.12139   0.04374   0.08294   0.13642
1980   26   0.19060   0.12311   0.03804   0.07613   0.14809
1980   27   0.16931   0.12299   0.03451   0.06078   0.14201
1980   28   0.15052   0.12232   0.03121   0.05984   0.13824
1980   29   0.13961   0.11791   0.02881   0.05454   0.12943
1980   30   0.11516   0.10440   0.02577   0.04517   0.12321
1980   31   0.10897   0.09779   0.02402   0.04122   0.12274
1980   32   0.08173   0.06942   0.01745   0.03199   0.09391
1980   33   0.07895   0.06775   0.01825   0.03303   0.09477
1980   34   0.06525   0.04858   0.01523   0.02520   0.08116
1980   35   0.05256   0.04110   0.01279   0.02390   0.08088
1980   36   0.04306   0.03423   0.01111   0.01950   0.07718
1980   37   0.03325   0.02528   0.00801   0.01471   0.06364
1980   38   0.02721   0.01821   0.00625   0.01232   0.04790
1980   39   0.01958   0.01297   0.00500   0.00907   0.04453
1980   40   0.01563   0.00899   0.00377   0.00716   0.03653
1980   41   0.01062   0.00548   0.00262   0.00495   0.02423
1980   42   0.00654   0.00345   0.00165   0.00325   0.01881
1980   43   0.00418   0.00195   0.00102   0.00224   0.01278
1980   44   0.00234   0.00120   0.00067   0.00156   0.00703
1980   45   0.00097   0.00056   0.00034   0.00075   0.00445
1980   46   0.00039   0.00033   0.00018   0.00047   0.00239
1980   47   0.00013   0.00015   0.00008   0.00024   0.00077
1980   48   0.00014   0.00012   0.00002   0.00011   0.00035
1980   49   0.00002   0.00004   0.00003   0.00007   0.00018
1980   50   0.00000   0.00006   0.00004   0.00004   0.00005
1980   51   0.00000   0.00002   0.00002   0.00000   0.00002
1980   52   0.00000   0.00000   0.00000   0.00001   0.00002
1980   53   0.00000   0.00001   0.00000   0.00000   0.00000
1980   54   0.00000   0.00000   0.00000   0.00000   0.00000
1980   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1981   12-  0.00000         .         .         .         .
1981   13   0.00001         .         .         .         .
1981   14   0.00013   0.00295         .         .         .
1981   15   0.00134   0.00342         .         .         .
1981   16   0.00695   0.01905   0.06537         .         .
1981   17   0.02499   0.04368   0.03159         .         .
1981   18   0.06836   0.05179   0.03034   0.04206         .
1981   19   0.13748   0.06249   0.04005   0.02525         .
1981   20   0.21042   0.07499   0.05697   0.05903   0.04665
1981   21   0.25644   0.08382   0.05444   0.23806   0.27150
1981   22   0.26979   0.09520   0.05262   0.09770   0.04351
1981   23   0.25431   0.10741   0.05325   0.08875   0.10476
1981   24   0.22589   0.11740   0.04845   0.08606   0.11117
1981   25   0.20059   0.12448   0.04462   0.07974   0.14368
1981   26   0.18502   0.13150   0.03963   0.07691   0.12895
1981   27   0.16042   0.12849   0.03342   0.06788   0.12809
1981   28   0.13691   0.12465   0.03118   0.05596   0.12992
1981   29   0.13079   0.12227   0.02875   0.05428   0.12776
1981   30   0.11008   0.11098   0.02649   0.04855   0.12501
1981   31   0.09658   0.09226   0.02278   0.04099   0.11475
1981   32   0.09112   0.08722   0.02258   0.03991   0.11555
1981   33   0.06698   0.06048   0.01630   0.02911   0.09238
1981   34   0.06533   0.05685   0.01609   0.02695   0.09280
1981   35   0.04757   0.03961   0.01299   0.02152   0.07888
1981   36   0.03938   0.03203   0.01188   0.01894   0.07164
1981   37   0.03394   0.02571   0.00997   0.01682   0.06684
1981   38   0.02424   0.01619   0.00625   0.01166   0.05239
1981   39   0.02068   0.01273   0.00486   0.00939   0.04137
1981   40   0.01408   0.00773   0.00392   0.00744   0.03565
1981   41   0.01009   0.00570   0.00265   0.00483   0.02982
1981   42   0.00683   0.00339   0.00169   0.00359   0.02023
1981   43   0.00344   0.00210   0.00113   0.00234   0.01266
1981   44   0.00198   0.00104   0.00058   0.00120   0.00811
1981   45   0.00136   0.00050   0.00036   0.00068   0.00406
1981   46   0.00068   0.00025   0.00014   0.00031   0.00215
1981   47   0.00021   0.00014   0.00008   0.00028   0.00090
1981   48   0.00019   0.00008   0.00003   0.00004   0.00054
1981   49   0.00009   0.00001   0.00006   0.00000   0.00024
1981   50   0.00000   0.00000   0.00000   0.00000   0.00000
1981   51   0.00000   0.00001   0.00000   0.00000   0.00003
1981   52   0.00000   0.00000   0.00000   0.00000   0.00000
1981   53   0.00000   0.00000   0.00000   0.00000   0.00000
1981   54   0.00000   0.00000   0.00000   0.00000   0.00000
1981   55+  0.00000   0.00000   0.00000   0.00000   0.00000
1982   12-  0.00000         .         .         .         .
1982   13   0.00001         .         .         .         .
1982   14   0.00014   0.00272         .         .         .
1982   15   0.00145   0.00321         .         .         .
1982   16   0.00748   0.02349   0.05030         .         .
1982   17   0.02618   0.04576   0.02579         .         .
1982   18   0.07148   0.05895   0.04262   0.03931         .
1982   19   0.13930   0.07222   0.05069   0.03187         .
1982   20   0.21056   0.08389   0.05410   0.06917   0.05118
1982   21   0.26085   0.09295   0.05679   0.08860   0.08493
1982   22   0.28117   0.10513   0.05589   0.09483   0.06842
1982   23   0.26762   0.11462   0.05690   0.09093   0.06817
1982   24   0.23182   0.12236   0.04952   0.08752   0.12204
1982   25   0.19862   0.12659   0.04460   0.08588   0.13713
1982   26   0.17508   0.12957   0.04071   0.07487   0.13956
1982   27   0.15745   0.12977   0.03748   0.07331   0.14990
1982   28   0.13794   0.12177   0.03280   0.06091   0.13033
1982   29   0.11900   0.11361   0.02921   0.05319   0.14564
1982   30   0.11137   0.10944   0.02782   0.05052   0.13722
1982   31   0.09445   0.09228   0.02477   0.04309   0.12349
1982   32   0.08212   0.07813   0.02206   0.03570   0.11501
1982   33   0.07538   0.06954   0.02009   0.03467   0.11709
1982   34   0.05679   0.04759   0.01426   0.02440   0.08254
1982   35   0.05523   0.04368   0.01395   0.02400   0.08394
1982   36   0.03900   0.03003   0.01055   0.01896   0.07285
1982   37   0.03085   0.02345   0.00882   0.01545   0.06559
1982   38   0.02414   0.01879   0.00717   0.01460   0.05660
1982   39   0.01593   0.01149   0.00458   0.00979   0.04528
1982   40   0.01371   0.00860   0.00350   0.00726   0.03421
