Ukraine, Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population census)
Last modified: 13/11/2015
Year  Age       m1x       m2x       m3x       m4x      m5px
1979   12-  0.00000         .         .         .         .
1979   13   0.00001         .         .         .         .
1979   14   0.00010   0.00126         .         .         .
1979   15   0.00114   0.00131   0.00000         .         .
1979   16   0.00686   0.01559   0.01374         .         .
1979   17   0.02355   0.02642   0.01714   0.00000         .
1979   18   0.07093   0.04768   0.02726   0.00000         .
1979   19   0.14320   0.05737   0.03901   0.01515   0.11535
1979   20   0.21758   0.07738   0.04855   0.08092   0.02267
1979   21   0.25305   0.08893   0.05095   0.08500   0.05202
1979   22   0.26291   0.09910   0.05553   0.08216   0.04417
1979   23   0.25757   0.10484   0.05159   0.08461   0.08419
1979   24   0.23564   0.11521   0.04798   0.08768   0.11040
1979   25   0.21918   0.12240   0.04320   0.08036   0.12920
1979   26   0.18998   0.12525   0.03812   0.06937   0.13413
1979   27   0.16761   0.13252   0.03748   0.06819   0.13890
1979   28   0.14730   0.12748   0.03362   0.05994   0.14600
1979   29   0.12753   0.11712   0.03049   0.05364   0.12147
1979   30   0.12173   0.11355   0.02939   0.04913   0.14102
1979   31   0.09805   0.08611   0.02154   0.03801   0.10093
1979   32   0.09439   0.08344   0.02187   0.03680   0.11235
1979   33   0.07009   0.06260   0.01835   0.02665   0.09010
1979   34   0.06276   0.05150   0.01627   0.02882   0.08643
1979   35   0.05795   0.04566   0.01509   0.02577   0.08587
1979   36   0.04578   0.03231   0.01100   0.01922   0.07275
1979   37   0.03533   0.02691   0.00929   0.01579   0.06030
1979   38   0.02787   0.01921   0.00701   0.01252   0.05393
1979   39   0.02099   0.01410   0.00529   0.00915   0.04563
1979   40   0.01604   0.00971   0.00411   0.00759   0.03701
1979   41   0.01081   0.00603   0.00267   0.00492   0.02732
1979   42   0.00758   0.00400   0.00180   0.00355   0.01928
1979   43   0.00395   0.00225   0.00111   0.00244   0.01267
1979   44   0.00200   0.00117   0.00059   0.00195   0.00873
1979   45   0.00088   0.00085   0.00038   0.00084   0.00591
1979   46   0.00045   0.00041   0.00017   0.00039   0.00184
1979   47   0.00040   0.00013   0.00009   0.00010   0.00115
1979   48   0.00012   0.00008   0.00001   0.00005   0.00030
1979   49   0.00006   0.00006   0.00002   0.00008   0.00011
1979   50   0.00000   0.00003   0.00001   0.00003   0.00046
1979   51   0.00000   0.00000   0.00000   0.00000   0.00002
1979   52   0.00000   0.00000   0.00000   0.00000   0.00005
1979   53   0.00000   0.00000   0.00001   0.00001   0.00000
1979   54   0.00000   0.00000   0.00000   0.00000   0.00004
1979   55+  0.00104   0.00017   0.00002   0.00000   0.00000
2001   12-  0.00000         .         .         .         .
2001   13   0.00001   0.01739         .         .         .
2001   14   0.00025   0.01430   0.09958         .         .
2001   15   0.00227   0.02058   0.03698         .         .
2001   16   0.00833   0.02682   0.00000         .         .
2001   17   0.02210   0.03803   0.02834   0.00000         .
2001   18   0.04558   0.04537   0.03847   0.10425         .
2001   19   0.07366   0.04896   0.04347   0.03911   0.18252
2001   20   0.09879   0.05012   0.04621   0.07298   0.06226
2001   21   0.11651   0.05464   0.04348   0.07701   0.05249
2001   22   0.12656   0.05514   0.03775   0.06457   0.06393
2001   23   0.13574   0.05725   0.04025   0.07785   0.15158
2001   24   0.12665   0.05532   0.03110   0.06931   0.10240
2001   25   0.12083   0.05698   0.02784   0.06576   0.10550
2001   26   0.11541   0.05731   0.02530   0.06614   0.10672
2001   27   0.09985   0.05296   0.02212   0.05006   0.10148
2001   28   0.08583   0.04966   0.02027   0.04293   0.11142
2001   29   0.07772   0.04670   0.01842   0.04228   0.08944
2001   30   0.06509   0.04103   0.01563   0.03545   0.08668
2001   31   0.06101   0.03728   0.01387   0.03304   0.07791
2001   32   0.05267   0.03151   0.01251   0.02444   0.07106
2001   33   0.04606   0.02641   0.01039   0.02269   0.06719
2001   34   0.03517   0.02031   0.00878   0.01896   0.05993
2001   35   0.02998   0.01594   0.00710   0.01460   0.05207
2001   36   0.02701   0.01224   0.00555   0.01278   0.04841
2001   37   0.02034   0.00913   0.00426   0.01022   0.03958
2001   38   0.01630   0.00654   0.00330   0.00762   0.02816
2001   39   0.01157   0.00431   0.00230   0.00674   0.02623
2001   40   0.00848   0.00286   0.00184   0.00425   0.01738
2001   41   0.00572   0.00215   0.00128   0.00303   0.01465
2001   42   0.00461   0.00120   0.00083   0.00221   0.00849
2001   43   0.00179   0.00063   0.00050   0.00100   0.00652
2001   44   0.00137   0.00034   0.00020   0.00064   0.00319
2001   45   0.00049   0.00009   0.00009   0.00044   0.00154
2001   46   0.00037   0.00006   0.00005   0.00018   0.00098
2001   47   0.00005   0.00004   0.00002   0.00005   0.00042
2001   48   0.00005   0.00001   0.00001   0.00010   0.00011
2001   49   0.00005   0.00000   0.00000   0.00000   0.00005
2001   50   0.00000   0.00000   0.00000   0.00000   0.00000
2001   51   0.00000   0.00000   0.00001   0.00005   0.00000
2001   52   0.00000   0.00000   0.00000   0.00000   0.00000
2001   53   0.00000   0.00000   0.00000   0.00000   0.00000
2001   54   0.00000   0.00000   0.00001   0.00000   0.00000
2001   55+  0.00000   0.00002   0.00000   0.00000   0.00000
