Ukraine, Parity- and age-adjusted total fertility rate
Last modified: 13/11/2015
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1979    1.896    0.951    0.699    0.167    0.044    0.035
1980    1.885    0.954    0.697    0.159    0.042    0.034
1981    1.880    0.946    0.694    0.162    0.043    0.035
1982    1.902    0.946    0.697    0.170    0.047    0.042
1983    2.032    0.953    0.750    0.210    0.063    0.056
1984    2.015    0.954    0.745    0.204    0.059    0.053
1985    1.985    0.954    0.733    0.193    0.055    0.050
1986    2.072    0.959    0.763    0.219    0.067    0.064
1987    2.030    0.961    0.751    0.204    0.060    0.055
1988    2.004    0.966    0.750    0.189    0.051    0.047
1989    1.913    0.963    0.714    0.161    0.041    0.034
1990    1.842    0.963    0.676    0.140    0.034    0.029
1991    1.784    0.961    0.637    0.127    0.032    0.026
1992    1.707    0.955    0.592    0.111    0.027    0.021
1993    1.629    0.945    0.546    0.097    0.023    0.018
1994    1.552    0.937    0.498    0.082    0.019    0.015
1995    1.490    0.925    0.461    0.074    0.017    0.013
1996    1.432    0.911    0.427    0.067    0.016    0.012
1997    1.381    0.896    0.398    0.061    0.015    0.011
1998    1.325    0.877    0.368    0.056    0.014    0.011
1999    1.251    0.850    0.332    0.049    0.012    0.009
2000    1.224    0.834    0.324    0.048    0.011    0.008
2001    1.196    0.819    0.314    0.045    0.010    0.007
2002    1.211    0.810    0.329    0.051    0.012    0.009
2003    1.241    0.813    0.347    0.057    0.014    0.011
2004    1.273    0.823    0.362    0.061    0.015    0.012
2005    1.264    0.809    0.361    0.064    0.017    0.014
2006    1.339    0.812    0.400    0.082    0.023    0.021
2007    1.366    0.817    0.414    0.087    0.025    0.022
2008    1.465    0.829    0.454    0.112    0.035    0.035
2009    1.482    0.823    0.460    0.121    0.039    0.039
2010    1.457    0.805    0.447    0.121    0.041    0.042
2011    1.485    0.798    0.458    0.132    0.047    0.050
2012    1.553    0.807    0.484    0.150    0.054    0.058
2013    1.525    0.797    0.476    0.147    0.052    0.053
