Ukraine, Period fertility tables, birth orders 1 to 5+
Last modified: 13/11/2015
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1979    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    13   0.99999   0.00001   0.00001   10000      0   10000      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    14   0.99984   0.00010   0.00010   10000      1    9999      0   0.00016   0.00126   0.00126      0      0       1      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    15   0.99810   0.00114   0.00114    9999     11    9993      1   0.00188   0.00131   0.00130      1      0       7      0   0.00002   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    16   0.99233   0.00686   0.00683    9988     68    9953     12   0.00730   0.01559   0.01547     12      1      47      0   0.00037   0.01374   0.01364      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1979    17   0.97440   0.02355   0.02328    9919    231    9804     81   0.02427   0.02642   0.02607     80      5     194      1   0.00131   0.01714   0.01700      1      0       2      0   0.00002   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
1979    18   0.92564   0.07093   0.06850    9688    664    9357    312   0.07046   0.04768   0.04657    306     30     630      6   0.00363   0.02726   0.02689      6      0      13      0   0.00027   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
1979    19   0.83380   0.14320   0.13363    9025   1206    8422    975   0.15482   0.05737   0.05577    939     87    1516     36   0.01055   0.03901   0.03826     36      2      61      0   0.00082   0.01515   0.01503      0      0       1      0   0.00002   0.11535   0.10906      0      0       0      0
1979    20   0.71084   0.21758   0.19623    7819   1534    7052   2181   0.26196   0.07738   0.07450   2058    213    2749    123   0.02540   0.04855   0.04740    120      9     194      3   0.00158   0.08092   0.07777      3      0       5      0   0.00022   0.02267   0.02242      0      0       0      0
1979    21   0.57936   0.25305   0.22463    6284   1412    5579   3716   0.36680   0.08893   0.08514   3380    351    3942    336   0.04998   0.05095   0.04969    323     23     459     12   0.00338   0.08500   0.08154     12      2      19      0   0.00048   0.05202   0.05071      0      0       1      0
