Ukraine, Cohort parity progression ratios
Last modified: 13/11/2015
Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
1944      0.910     0.706     0.281     0.306
1945      0.919     0.700     0.268     0.299
1946      0.944     0.692     0.258     0.285
1947      0.970     0.674     0.246     0.276
1948      0.983     0.672     0.240     0.282
1949      0.985     0.688     0.244     0.283
1950      0.977     0.691     0.241     0.281
1951      0.973     0.706     0.240     0.280
1952      0.962     0.705     0.238     0.270
1953      0.951     0.696     0.238     0.261
1954      0.936     0.713     0.237     0.264
1955      0.930     0.716     0.236     0.264
1956      0.927     0.719     0.231     0.264
1957      0.942     0.714     0.228     0.267
1958      0.964     0.697     0.226     0.266
1959      0.968     0.693     0.220     0.267
1960      0.963     0.688     0.214     0.263
1961      0.957     0.678     0.210     0.260
1962      0.949     0.668     0.205     0.260
1963      0.943     0.650     0.203     0.263
