Ukraine, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 13/11/2015
Year      sdMAB    sdMAB40
1959       5.74       5.18
1960       5.74       5.23
1961       5.71       5.21
1962       5.71       5.19
1963       5.71       5.20
1964       5.67       5.16
1965       5.67       5.19
1966       5.63       5.16
1967       5.60       5.16
1968       5.59       5.16
1969       5.55       5.13
1970       5.53       5.15
1971       5.53       5.16
1972       5.51       5.14
1973       5.55       5.17
1974       5.49       5.12
1975       5.48       5.10
1976       5.42       5.06
1977       5.39       5.04
1978       5.36       5.02
1979       5.31       4.98
1980       5.26       4.95
1981       5.27       4.97
1982       5.24       4.95
1983       5.19       4.93
1984       5.18       4.93
1985       5.18       4.92
1986       5.25       5.00
1987       5.24       4.97
1988       5.21       4.96
1989       5.20       4.94
1990       5.15       4.91
1991       5.13       4.88
1992       5.11       4.87
1993       5.13       4.89
1994       5.14       4.90
1995       5.10       4.87
1996       5.08       4.87
1997       5.10       4.89
1998       5.13       4.90
1999       5.13       4.90
2000       5.11       4.88
2001       5.13       4.90
2002       5.14       4.92
2003       5.17       4.95
2004       5.23       5.00
2005       5.30       5.07
2006       5.32       5.09
2007       5.39       5.15
2008       5.46       5.22
2009       5.53       5.27
2010       5.57       5.29
2011       5.63       5.34
2012       5.64       5.34
2013       5.68       5.37
