Ukraine, Standard deviation in cohort mean ages at birth and standard deviation in cohort mean ages at birth by age 40
Last modified: 13/11/2015
Cohort   sdCMAB   sdCMAB40
1944       5.09       4.81
1945       5.01       4.74
1946       5.02       4.76
1947       4.99       4.75
1948       4.97       4.76
1949       5.02       4.82
1950       4.97       4.79
1951       4.96       4.79
1952       4.94       4.78
1953       4.92       4.77
1954       4.89       4.74
1955       4.83       4.68
1956       4.76       4.61
1957       4.70       4.54
1958       4.65       4.48
1959       4.59       4.42
1960       4.53       4.36
1961       4.51       4.32
1962       4.53       4.32
1963       4.57       4.33
1964          .       4.38
1965          .       4.44
1966          .       4.54
1967          .       4.67
1968          .       4.81
1969          .       4.97
1970          .       5.14
1971          .       5.33
1972          .       5.51
1973          .       5.65
