Ukraine, Standard deviation in cohort mean ages at birth by birth order and standard deviation in cohort mean ages at birth by birth order by age 40
Last modified: 13/11/2015
Cohort   sdCMAB     sdCMAB1     sdCMAB2     sdCMAB3     sdCMAB4    sdCMAB5p    sdCMAB40  sdCMAB40_1  sdCMAB40_2  sdCMAB40_3  sdCMAB40_4 sdCMAB40_5p
1944       5.09        3.85        4.23        4.64        4.63        4.63        4.81        3.73        4.08        4.26        4.04        3.82
1945       5.01        3.80        4.24        4.64        4.69        4.76        4.74        3.68        4.08        4.27        4.16        3.95
1946       5.02        3.81        4.29        4.70        4.74        4.74        4.76        3.69        4.13        4.33        4.19        3.95
1947       4.99        3.77        4.28        4.75        4.73        4.63        4.75        3.64        4.14        4.40        4.19        3.91
1948       4.97        3.72        4.26        4.73        4.76        4.54        4.76        3.60        4.13        4.43        4.30        3.87
1949       5.02        3.73        4.28        4.70        4.69        4.47        4.82        3.61        4.16        4.44        4.29        3.82
1950       4.97        3.70        4.22        4.63        4.60        4.43        4.79        3.59        4.12        4.39        4.20        3.82
1951       4.96        3.73        4.18        4.58        4.50        4.39        4.79        3.62        4.09        4.34        4.11        3.79
1952       4.94        3.73        4.16        4.54        4.47        4.37        4.78        3.63        4.07        4.31        4.07        3.76
1953       4.92        3.75        4.12        4.49        4.36        4.30        4.77        3.65        4.04        4.26        3.94        3.67
1954       4.89        3.77        4.08        4.38        4.31        4.28        4.74        3.68        4.00        4.16        3.88        3.66
1955       4.83        3.78        3.98        4.31        4.40        4.33        4.68        3.69        3.90        4.07        3.95        3.69
1956       4.76        3.77        3.93        4.27        4.43        4.37        4.61        3.68        3.85        4.02        3.98        3.70
1957       4.70        3.72        3.86        4.27        4.46        4.44        4.54        3.63        3.77        4.00        4.02        3.74
1958       4.65        3.68        3.78        4.31        4.54        4.52        4.48        3.60        3.69        4.01        4.09        3.79
1959       4.59        3.65        3.76        4.38        4.68        4.62        4.42        3.57        3.66        4.06        4.20        3.90
1960       4.53        3.60        3.76        4.45        4.71        4.70        4.36        3.51        3.65        4.11        4.22        3.96
1961       4.51        3.57        3.79        4.57        4.82        4.77        4.32        3.48        3.66        4.18        4.25        4.01
1962       4.53        3.56        3.86        4.74        4.87        4.86        4.32        3.47        3.72        4.28        4.29        4.08
1963       4.57        3.55        3.96        4.89        5.02        4.94        4.33        3.45        3.79        4.39        4.36        4.10
1964          .           .           .           .           .           .        4.38        3.45        3.90        4.50        4.47        4.12
1965          .           .           .           .           .           .        4.44        3.46        4.04        4.63        4.54        4.17
1966          .           .           .           .           .           .        4.54        3.47        4.20        4.75        4.62        4.21
1967          .           .           .           .           .           .        4.67        3.52        4.39        4.91        4.72        4.25
1968          .           .           .           .           .           .        4.81        3.58        4.57        5.06        4.80        4.34
1969          .           .           .           .           .           .        4.97        3.66        4.77        5.18        4.86        4.39
1970          .           .           .           .           .           .        5.14        3.76        4.95        5.26        4.93        4.34
1971          .           .           .           .           .           .        5.33        3.89        5.10        5.33        4.99        4.27
1972          .           .           .           .           .           .        5.51        4.05        5.19        5.34        4.96        4.22
1973          .           .           .           .           .           .        5.65        4.19        5.23        5.31        4.90        4.16
