Ukraine, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 13/11/2015
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1959     2.282     1.045     0.718     0.283     0.114     0.121     2.216     1.039     0.709     0.273     0.105     0.091
1960     2.248     1.030     0.716     0.280     0.109     0.113     2.187     1.024     0.707     0.270     0.100     0.086
1961     2.156     0.979     0.709     0.267     0.101     0.100     2.099     0.972     0.700     0.257     0.093     0.076
1962     2.135     1.018     0.673     0.257     0.095     0.092     2.077     1.011     0.663     0.247     0.088     0.069
1963     2.105     1.000     0.675     0.251     0.091     0.088     2.050     0.993     0.665     0.242     0.084     0.066
1964     2.015     0.980     0.644     0.229     0.083     0.079     1.963     0.973     0.635     0.220     0.076     0.060
1965     1.942     0.931     0.639     0.219     0.078     0.074     1.893     0.924     0.630     0.211     0.072     0.056
1966     2.054     0.995     0.669     0.231     0.082     0.077     2.006     0.988     0.660     0.222     0.076     0.060
1967     2.058     1.013     0.674     0.223     0.077     0.071     2.013     1.007     0.666     0.214     0.070     0.056
1968     2.048     1.016     0.680     0.211     0.073     0.068     2.005     1.009     0.671     0.203     0.068     0.054
1969     2.034     0.995     0.703     0.203     0.069     0.063     1.993     0.988     0.695     0.196     0.064     0.050
1970     2.106     1.043     0.721     0.211     0.068     0.062     2.068     1.037     0.713     0.204     0.062     0.051
1971     2.123     1.066     0.722     0.210     0.065     0.059     2.086     1.060     0.714     0.203     0.061     0.048
1972     2.125     1.073     0.724     0.208     0.064     0.056     2.087     1.067     0.716     0.200     0.059     0.045
1973     2.030     1.043     0.686     0.190     0.059     0.052     1.994     1.036     0.678     0.183     0.054     0.041
1974     2.062     1.041     0.712     0.193     0.060     0.055     2.027     1.036     0.705     0.187     0.056     0.044
1975     2.051     1.030     0.710     0.195     0.060     0.056     2.016     1.025     0.703     0.188     0.055     0.045
1976     2.047     1.039     0.706     0.187     0.059     0.056     2.014     1.035     0.700     0.181     0.054     0.045
1977     1.972     0.986     0.700     0.180     0.055     0.052     1.942     0.981     0.693     0.174     0.051     0.042
1978     1.962     1.008     0.684     0.167     0.053     0.051     1.934     1.004     0.678     0.161     0.049     0.042
1979     1.944     1.014     0.676     0.159     0.048     0.047     1.918     1.010     0.670     0.154     0.045     0.039
1980     1.938     1.026     0.670     0.151     0.046     0.045     1.914     1.023     0.665     0.146     0.043     0.038
1981     1.899     0.959     0.694     0.156     0.046     0.044     1.876     0.955     0.689     0.151     0.043     0.037
1982     1.927     0.966     0.708     0.163     0.046     0.044     1.905     0.964     0.703     0.158     0.043     0.038
1983     2.097     0.998     0.815     0.189     0.050     0.045     2.075     0.995     0.810     0.185     0.047     0.038
1984     2.076     1.008     0.789     0.186     0.049     0.044     2.055     1.006     0.784     0.181     0.046     0.037
1985     2.021     0.979     0.769     0.181     0.049     0.043     2.000     0.976     0.765     0.177     0.046     0.037
1986     2.128     1.002     0.824     0.201     0.054     0.048     2.106     1.000     0.819     0.196     0.050     0.041
1987     2.074     0.997     0.787     0.192     0.052     0.046     2.052     0.995     0.782     0.186     0.049     0.040
1988     2.058     1.026     0.762     0.178     0.048     0.045     2.038     1.023     0.757     0.174     0.045     0.039
1989     1.933     0.992     0.698     0.158     0.043     0.041     1.914     0.990     0.694     0.154     0.041     0.036
1990     1.848     0.993     0.633     0.144     0.040     0.038     1.831     0.991     0.629     0.140     0.038     0.033
1991     1.774     0.981     0.582     0.136     0.039     0.035     1.758     0.979     0.579     0.132     0.037     0.031
1992     1.673     0.944     0.535     0.125     0.036     0.033     1.658     0.942     0.532     0.122     0.034     0.029
1993     1.561     0.883     0.499     0.115     0.034     0.031     1.548     0.880     0.496     0.112     0.032     0.027
1994     1.467     0.853     0.450     0.104     0.031     0.029     1.455     0.851     0.448     0.102     0.030     0.025
1995     1.398     0.824     0.422     0.096     0.029     0.026     1.387     0.822     0.420     0.094     0.027     0.023
1996     1.335     0.795     0.397     0.090     0.027     0.025     1.325     0.793     0.395     0.088     0.026     0.022
1997     1.272     0.756     0.379     0.086     0.027     0.025     1.263     0.754     0.377     0.084     0.025     0.022
1998     1.211     0.719     0.360     0.082     0.026     0.024     1.201     0.718     0.358     0.080     0.024     0.021
1999     1.127     0.665     0.337     0.077     0.025     0.023     1.117     0.664     0.335     0.075     0.023     0.020
2000     1.116     0.665     0.332     0.074     0.023     0.021     1.106     0.663     0.330     0.072     0.022     0.019
2001     1.089     0.647     0.328     0.071     0.022     0.020     1.079     0.646     0.326     0.068     0.021     0.018
2002     1.125     0.659     0.348     0.075     0.022     0.021     1.115     0.658     0.346     0.072     0.021     0.018
2003     1.169     0.683     0.365     0.077     0.022     0.021     1.159     0.682     0.363     0.075     0.021     0.018
2004     1.215     0.719     0.373     0.079     0.023     0.021     1.203     0.717     0.370     0.076     0.022     0.018
2005     1.207     0.697     0.381     0.083     0.024     0.021     1.194     0.696     0.378     0.079     0.022     0.019
2006     1.300     0.723     0.433     0.094     0.026     0.023     1.287     0.722     0.429     0.091     0.025     0.020
2007     1.334     0.743     0.444     0.097     0.027     0.023     1.319     0.741     0.440     0.093     0.026     0.020
2008     1.446     0.788     0.486     0.115     0.031     0.026     1.428     0.786     0.481     0.110     0.029     0.023
2009     1.460     0.771     0.502     0.126     0.034     0.028     1.440     0.769     0.495     0.120     0.031     0.024
2010     1.429     0.729     0.499     0.133     0.037     0.030     1.407     0.727     0.492     0.128     0.035     0.026
2011     1.459     0.725     0.515     0.145     0.041     0.033     1.435     0.722     0.507     0.139     0.038     0.029
2012     1.531     0.758     0.536     0.157     0.045     0.035     1.505     0.755     0.528     0.150     0.042     0.031
2013     1.506     0.739     0.527     0.158     0.046     0.036     1.479     0.736     0.518     0.151     0.043     0.031
