Ukraine, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 13/11/2015
Cohort     CCF     CCF40
1944     1.839     1.816
1945     1.831     1.811
1946     1.856     1.836
1947     1.867     1.848
1948     1.886     1.869
1949     1.916     1.900
1950     1.901     1.887
1951     1.911     1.897
1952     1.883     1.871
1953     1.848     1.837
1954     1.839     1.829
1955     1.831     1.821
1956     1.824     1.814
1957     1.842     1.832
1958     1.862     1.851
1959     1.857     1.847
1960     1.834     1.824
1961     1.806     1.795
1962     1.774     1.762
1963     1.739     1.727
1964         .     1.686
1965         .     1.663
1966         .     1.656
1967         .     1.604
1968         .     1.579
1969         .     1.575
1970         .     1.544
1971         .     1.517
1972         .     1.496
1973         .     1.496
