Ukraine, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 13/11/2015
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1944     1.839     0.910     0.642     0.180     0.055     0.051     1.816     0.908     0.638     0.175     0.052     0.044
1945     1.831     0.919     0.643     0.172     0.051     0.045     1.811     0.916     0.639     0.167     0.049     0.039
1946     1.856     0.944     0.653     0.169     0.048     0.042     1.836     0.941     0.649     0.164     0.046     0.036
1947     1.867     0.970     0.653     0.161     0.044     0.039     1.848     0.967     0.649     0.156     0.042     0.034
1948     1.886     0.983     0.661     0.159     0.045     0.039     1.869     0.980     0.657     0.155     0.043     0.034
1949     1.916     0.985     0.678     0.165     0.047     0.041     1.900     0.983     0.674     0.162     0.045     0.037
1950     1.901     0.977     0.675     0.163     0.046     0.040     1.887     0.975     0.672     0.160     0.044     0.036
1951     1.911     0.973     0.687     0.165     0.046     0.040     1.897     0.970     0.684     0.162     0.044     0.037
1952     1.883     0.962     0.678     0.161     0.043     0.038     1.871     0.960     0.675     0.158     0.042     0.035
1953     1.848     0.951     0.662     0.157     0.041     0.036     1.837     0.949     0.660     0.155     0.040     0.033
1954     1.839     0.936     0.667     0.158     0.042     0.036     1.829     0.934     0.665     0.156     0.040     0.033
1955     1.831     0.930     0.666     0.157     0.041     0.036     1.821     0.928     0.664     0.155     0.040     0.033
1956     1.824     0.927     0.667     0.154     0.041     0.034     1.814     0.926     0.665     0.152     0.039     0.032
1957     1.842     0.942     0.672     0.153     0.041     0.034     1.832     0.940     0.670     0.151     0.040     0.031
1958     1.862     0.964     0.672     0.152     0.040     0.033     1.851     0.963     0.670     0.149     0.039     0.031
1959     1.857     0.968     0.671     0.147     0.039     0.031     1.847     0.966     0.669     0.145     0.038     0.029
1960     1.834     0.963     0.662     0.142     0.037     0.030     1.824     0.961     0.660     0.139     0.036     0.027
1961     1.806     0.957     0.649     0.136     0.035     0.029     1.795     0.955     0.646     0.134     0.034     0.026
1962     1.774     0.949     0.634     0.130     0.034     0.027     1.762     0.947     0.631     0.127     0.032     0.025
1963     1.739     0.943     0.613     0.124     0.033     0.026     1.727     0.941     0.610     0.121     0.031     0.023
1964         .         .         .         .         .         .     1.686     0.932     0.585     0.116     0.030     0.023
1965         .         .         .         .         .         .     1.663     0.932     0.567     0.112     0.029     0.023
1966         .         .         .         .         .         .     1.656     0.944     0.553     0.109     0.029     0.022
1967         .         .         .         .         .         .     1.604     0.926     0.524     0.104     0.028     0.022
1968         .         .         .         .         .         .     1.579     0.924     0.505     0.101     0.027     0.022
1969         .         .         .         .         .         .     1.575     0.931     0.496     0.099     0.027     0.021
1970         .         .         .         .         .         .     1.544     0.921     0.480     0.096     0.026     0.021
1971         .         .         .         .         .         .     1.517     0.903     0.471     0.096     0.026     0.021
1972         .         .         .         .         .         .     1.496     0.881     0.467     0.099     0.027     0.021
1973         .         .         .         .         .         .     1.496     0.874     0.469     0.102     0.028     0.023
