Ukraine, Total live births
Last modified: 13/11/2015
Year         Total
1959     880552.00
1960     878768.01
1961     843482.01
1962     823151.04
1963     794969.03
1964     741668.05
1965     692153.01
1966     713492.01
1967     699381.02
1968     693064.00
1969     687991.00
1970     719213.03
1971     736690.96
1972     745696.01
1973     719559.90
1974     736615.96
1975     738857.02
1976     747068.98
1977     726217.02
1978     732186.96
1979     735188.00
1980     742488.99
1981     733183.02
1982     745591.00
1983     807111.01
1984     792035.01
1985     762774.98
1986     792574.02
1987     760851.02
1988     744055.97
1989     690981.00
1990     657202.00
1991     630813.01
1992     596785.05
1993     557466.99
1994     521544.98
1995     492861.00
1996     467211.07
1997     442581.01
1998     419237.98
1999     389208.06
2000     385126.01
2001     376477.99
2002     390687.99
2003     408588.96
2004     427259.01
2005     426086.05
2006     460367.99
2007     472657.01
2008     510589.03
2009     512525.02
2010     497688.97
2011     502594.98
2012     520705.02
2013     503657.03
