United States, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 24/03/2023
Year    adjTFR
1934     2.101
1935     2.098
1936     2.011
1937     2.060
1938     2.170
1939     2.107
1940     2.158
1941     2.331
1942     2.615
1943     2.814
1944     3.071
1945     2.638
1946     2.507
1947     2.493
1948     2.400
1949     2.646
1950     2.737
1951     2.988
1952     3.066
1953     3.038
1954     3.150
1955     3.125
1956     3.259
1957     3.390
1958     3.353
1959     3.423
1960     3.496
1961     3.490
1962     3.483
1963     3.644
1964     3.640
1965     3.298
1966     2.958
1967     2.822
1968     2.662
1969     2.507
1970     2.535
1971     2.460
1972     2.230
1973     2.065
1974     2.026
1975     1.995
1976     1.957
1977     1.967
1978     1.930
1979     1.939
1980     1.999
1981     2.009
1982     1.998
1983     1.991
1984     1.961
1985     1.970
1986     1.994
1987     1.989
1988     1.952
1989     1.998
1990     2.038
1991     2.067
1992     2.181
1993     2.224
1994     2.252
1995     2.215
1996     2.178
1997     2.141
1998     2.187
1999     2.260
2000     2.335
2001     2.328
2002     2.387
2003     2.309
2004     2.148
2005     2.065
2006     2.119
2007     2.242
2008     2.295
2009     2.355
2010     2.335
2011     2.209
2012     2.173
2013     2.197
2014     2.166
2015     2.141
2016     2.078
2017     1.990
2018     1.914
2019     1.837
2020     1.864
