United States, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 24/03/2023
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1934     2.101     0.654     0.477     0.304     0.197     0.469
1935     2.098     0.741     0.444     0.289     0.187     0.437
1936     2.011     0.740     0.435     0.262     0.176     0.398
1937     2.060     0.762     0.478     0.258     0.172     0.391
1938     2.170     0.831     0.522     0.272     0.170     0.375
1939     2.107     0.844     0.520     0.262     0.151     0.329
1940     2.158     0.828     0.563     0.283     0.157     0.327
1941     2.331     0.887     0.609     0.322     0.177     0.336
1942     2.615     1.012     0.704     0.373     0.192     0.334
1943     2.814     0.907     0.873     0.456     0.226     0.353
1944     3.071     0.840     0.997     0.582     0.265     0.387
1945     2.638     0.894     0.654     0.475     0.245     0.369
1946     2.507     0.964     0.603     0.370     0.227     0.343
1947     2.493     0.959     0.637     0.357     0.213     0.327
1948     2.400     0.917     0.649     0.347     0.186     0.301
1949     2.646     0.932     0.798     0.394     0.204     0.318
1950     2.737     0.851     0.870     0.466     0.227     0.322
1951     2.988     0.946     0.889     0.563     0.262     0.328
1952     3.066     0.939     0.862     0.614     0.309     0.342
1953     3.038     0.892     0.850     0.594     0.334     0.368
1954     3.150     0.935     0.848     0.610     0.352     0.405
1955     3.125     0.905     0.816     0.610     0.356     0.437
1956     3.259     0.930     0.843     0.625     0.382     0.479
1957     3.390     0.987     0.854     0.645     0.399     0.505
1958     3.353     0.948     0.839     0.634     0.398     0.534
1959     3.423     0.924     0.864     0.642     0.417     0.577
1960     3.496     0.906     0.883     0.677     0.429     0.602
1961     3.490     0.888     0.846     0.682     0.441     0.633
1962     3.483     0.865     0.825     0.673     0.457     0.662
1963     3.644     0.927     0.841     0.694     0.476     0.705
1964     3.640     0.926     0.828     0.687     0.470     0.729
1965     3.298     0.819     0.755     0.614     0.426     0.685
1966     2.958     0.821     0.688     0.518     0.360     0.571
1967     2.822     0.860     0.706     0.465     0.303     0.487
1968     2.662     0.871     0.711     0.428     0.258     0.393
1969     2.507     0.803     0.692     0.422     0.247     0.342
1970     2.535     0.858     0.691     0.412     0.237     0.336
1971     2.460     0.800     0.709     0.400     0.223     0.329
1972     2.230     0.756     0.674     0.349     0.188     0.264
1973     2.065     0.811     0.613     0.295     0.152     0.194
1974     2.026     0.835     0.618     0.283     0.131     0.160
1975     1.995     0.826     0.629     0.286     0.120     0.135
1976     1.957     0.823     0.620     0.285     0.116     0.114
1977     1.967     0.828     0.638     0.288     0.111     0.102
1978     1.930     0.814     0.632     0.285     0.106     0.091
1979     1.939     0.813     0.635     0.295     0.110     0.086
1980     1.999     0.867     0.644     0.299     0.109     0.081
1981     2.009     0.876     0.645     0.300     0.110     0.077
1982     1.998     0.858     0.662     0.295     0.109     0.074
1983     1.991     0.854     0.675     0.290     0.101     0.070
1984     1.961     0.835     0.667     0.290     0.103     0.067
1985     1.970     0.840     0.664     0.296     0.104     0.065
1986     1.994     0.867     0.661     0.300     0.102     0.064
1987     1.989     0.864     0.654     0.304     0.104     0.063
1988     1.952     0.831     0.645     0.306     0.106     0.063
1989     1.998     0.846     0.656     0.315     0.113     0.068
1990     2.038     0.853     0.665     0.324     0.122     0.074
1991     2.067     0.871     0.663     0.327     0.126     0.079
1992     2.181     0.891     0.712     0.357     0.135     0.086
1993     2.224     0.872     0.737     0.380     0.145     0.090
1994     2.252     0.919     0.729     0.368     0.142     0.095
1995     2.215     0.982     0.691     0.330     0.127     0.085
1996     2.178     0.987     0.674     0.317     0.121     0.079
1997     2.141     0.940     0.679     0.321     0.121     0.080
1998     2.187     0.928     0.716     0.336     0.126     0.082
1999     2.260     0.956     0.737     0.353     0.132     0.082
2000     2.335     0.973     0.756     0.377     0.140     0.087
2001     2.328     0.953     0.769     0.378     0.141     0.087
2002     2.387     0.994     0.778     0.384     0.145     0.087
2003     2.309     0.938     0.747     0.388     0.147     0.089
2004     2.148     0.823     0.709     0.376     0.149     0.091
2005     2.065     0.783     0.677     0.363     0.149     0.093
2006     2.119     0.818     0.680     0.372     0.152     0.097
2007     2.242     0.884     0.710     0.388     0.159     0.101
2008     2.295     0.921     0.721     0.388     0.161     0.104
2009     2.355     0.960     0.745     0.382     0.160     0.108
2010     2.335     0.968     0.730     0.374     0.157     0.106
2011     2.209     0.911     0.689     0.354     0.152     0.103
2012     2.173     0.898     0.679     0.345     0.148     0.103
2013     2.197     0.923     0.674     0.347     0.147     0.105
2014     2.166     0.882     0.671     0.352     0.153     0.108
2015     2.141     0.839     0.681     0.359     0.154     0.108
2016     2.078     0.805     0.667     0.347     0.149     0.109
2017     1.990     0.754     0.644     0.337     0.147     0.107
2018     1.914     0.718     0.623     0.329     0.143     0.101
2019     1.837     0.696     0.587     0.315     0.137     0.102
2020     1.864     0.738     0.581     0.310     0.135     0.099
