United States, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 24/03/2023
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1933     12-    0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
1933     13     0.00044     0.00044     0.00000     0.00000     0.00000     0.00000
1933     14     0.00177     0.00176     0.00001     0.00000     0.00000     0.00000
1933     15     0.00672     0.00647     0.00025     0.00000     0.00000     0.00000
1933     16     0.01875     0.01744     0.00121     0.00009     0.00000     0.00000
1933     17     0.03846     0.03337     0.00464     0.00038     0.00005     0.00002
1933     18     0.06586     0.05150     0.01256     0.00154     0.00021     0.00004
1933     19     0.08719     0.05946     0.02249     0.00446     0.00064     0.00014
1933     20     0.10136     0.05831     0.03104     0.00945     0.00198     0.00058
1933     21     0.10639     0.05319     0.03431     0.01414     0.00370     0.00104
1933     22     0.11349     0.04829     0.03657     0.01922     0.00688     0.00252
1933     23     0.11785     0.04382     0.03643     0.02249     0.01045     0.00466
1933     24     0.11476     0.03782     0.03401     0.02249     0.01281     0.00764
1933     25     0.11388     0.03340     0.03231     0.02241     0.01422     0.01153
1933     26     0.10873     0.02867     0.02955     0.02107     0.01465     0.01478
1933     27     0.10118     0.02333     0.02604     0.01955     0.01444     0.01782
1933     28     0.10283     0.02031     0.02462     0.01937     0.01524     0.02330
1933     29     0.09094     0.01571     0.02073     0.01677     0.01354     0.02419
1933     30     0.09009     0.01376     0.01834     0.01650     0.01303     0.02846
1933     31     0.06941     0.00917     0.01369     0.01256     0.01019     0.02379
1933     32     0.07813     0.00860     0.01312     0.01310     0.01136     0.03195
1933     33     0.07614     0.00716     0.01115     0.01196     0.01092     0.03495
1933     34     0.06013     0.00523     0.00809     0.00897     0.00830     0.02953
1933     35     0.06009     0.00447     0.00707     0.00822     0.00805     0.03229
1933     36     0.05416     0.00342     0.00548     0.00685     0.00698     0.03142
1933     37     0.04748     0.00275     0.00424     0.00531     0.00576     0.02941
1933     38     0.04755     0.00228     0.00353     0.00464     0.00521     0.03188
1933     39     0.03724     0.00162     0.00246     0.00330     0.00375     0.02611
1933     40     0.03078     0.00120     0.00174     0.00240     0.00286     0.02259
1933     41     0.01967     0.00068     0.00103     0.00142     0.00162     0.01492
1933     42     0.01877     0.00057     0.00078     0.00107     0.00138     0.01497
1933     43     0.01283     0.00036     0.00047     0.00063     0.00084     0.01053
1933     44     0.00808     0.00019     0.00028     0.00036     0.00052     0.00674
1933     45     0.00526     0.00011     0.00014     0.00020     0.00028     0.00452
1933     46     0.00245     0.00005     0.00005     0.00009     0.00011     0.00215
1933     47     0.00127     0.00003     0.00003     0.00005     0.00005     0.00110
1933     48     0.00081     0.00001     0.00001     0.00002     0.00004     0.00072
1933     49     0.00037     0.00001     0.00001     0.00002     0.00002     0.00031
1933     50     0.00009     0.00001     0.00001     0.00001     0.00000     0.00007
1933     51     0.00003     0.00000     0.00000     0.00000     0.00000     0.00002
1933     52     0.00003     0.00000     0.00000     0.00000     0.00000     0.00002
1933     53     0.00003     0.00000     0.00000     0.00001     0.00000     0.00003
1933     54     0.00002     0.00000     0.00001     0.00000     0.00000     0.00002
1933     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1934     12-    0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1934     13     0.00040     0.00040     0.00000     0.00000     0.00000     0.00000
1934     14     0.00198     0.00197     0.00001     0.00000     0.00000     0.00000
1934     15     0.00715     0.00689     0.00026     0.00001     0.00000     0.00000
1934     16     0.01991     0.01855     0.00126     0.00009     0.00001     0.00000
1934     17     0.04062     0.03559     0.00458     0.00040     0.00005     0.00001
1934     18     0.06957     0.05527     0.01245     0.00158     0.00022     0.00005
1934     19     0.09155     0.06424     0.02215     0.00444     0.00061     0.00012
1934     20     0.10749     0.06401     0.03144     0.00951     0.00200     0.00052
1934     21     0.11296     0.05841     0.03534     0.01427     0.00384     0.00111
1934     22     0.11807     0.05263     0.03702     0.01907     0.00695     0.00241
1934     23     0.12034     0.04650     0.03660     0.02216     0.01033     0.00476
1934     24     0.12208     0.04146     0.03543     0.02347     0.01357     0.00816
1934     25     0.11536     0.03526     0.03216     0.02202     0.01441     0.01151
1934     26     0.11399     0.03099     0.03088     0.02167     0.01509     0.01537
1934     27     0.10487     0.02537     0.02738     0.01998     0.01428     0.01786
1934     28     0.10554     0.02224     0.02548     0.01959     0.01505     0.02318
1934     29     0.09483     0.01756     0.02197     0.01735     0.01332     0.02463
1934     30     0.09330     0.01476     0.01982     0.01659     0.01336     0.02876
1934     31     0.07239     0.01039     0.01479     0.01281     0.01036     0.02404
1934     32     0.07541     0.00874     0.01321     0.01262     0.01075     0.03009
1934     33     0.06993     0.00707     0.01095     0.01125     0.00983     0.03083
1934     34     0.07248     0.00619     0.00969     0.01057     0.00985     0.03618
1934     35     0.05676     0.00446     0.00708     0.00802     0.00752     0.02969
1934     36     0.05401     0.00353     0.00556     0.00675     0.00695     0.03121
1934     37     0.04670     0.00280     0.00422     0.00533     0.00560     0.02876
1934     38     0.04769     0.00230     0.00374     0.00472     0.00522     0.03172
1934     39     0.03752     0.00159     0.00258     0.00327     0.00390     0.02618
1934     40     0.03024     0.00116     0.00163     0.00239     0.00275     0.02230
1934     41     0.01963     0.00071     0.00090     0.00138     0.00176     0.01489
1934     42     0.01874     0.00057     0.00076     0.00109     0.00143     0.01490
1934     43     0.01235     0.00032     0.00040     0.00065     0.00079     0.01018
1934     44     0.00789     0.00020     0.00020     0.00035     0.00044     0.00670
1934     45     0.00491     0.00010     0.00011     0.00018     0.00026     0.00424
1934     46     0.00242     0.00003     0.00006     0.00009     0.00012     0.00211
1934     47     0.00122     0.00003     0.00002     0.00004     0.00006     0.00108
1934     48     0.00087     0.00002     0.00001     0.00004     0.00004     0.00077
1934     49     0.00037     0.00002     0.00000     0.00001     0.00003     0.00031
1934     50     0.00011     0.00000     0.00000     0.00001     0.00000     0.00010
1934     51     0.00002     0.00000     0.00000     0.00000     0.00000     0.00002
1934     52     0.00002     0.00000     0.00000     0.00000     0.00000     0.00002
1934     53     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1934     54     0.00001     0.00000     0.00000     0.00000     0.00000     0.00001
1934     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1935     12-    0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1935     13     0.00044     0.00044     0.00000     0.00000     0.00000     0.00000
1935     14     0.00209     0.00207     0.00002     0.00000     0.00000     0.00000
1935     15     0.00772     0.00742     0.00029     0.00001     0.00000     0.00000
1935     16     0.02046     0.01904     0.00133     0.00008     0.00001     0.00000
1935     17     0.04108     0.03603     0.00463     0.00036     0.00005     0.00001
1935     18     0.06953     0.05580     0.01200     0.00151     0.00018     0.00004
1935     19     0.09187     0.06526     0.02172     0.00416     0.00063     0.00011
1935     20     0.10786     0.06606     0.03020     0.00907     0.00197     0.00057
1935     21     0.11421     0.06124     0.03431     0.01374     0.00384     0.00109
1935     22     0.11915     0.05604     0.03587     0.01799     0.00673     0.00252
1935     23     0.12022     0.04951     0.03532     0.02098     0.00984     0.00458
1935     24     0.11778     0.04280     0.03347     0.02140     0.01241     0.00770
1935     25     0.11656     0.03776     0.03211     0.02130     0.01385     0.01154
1935     26     0.10936     0.03239     0.02928     0.01991     0.01374     0.01404
1935     27     0.10507     0.02770     0.02734     0.01905     0.01363     0.01734
1935     28     0.10411     0.02379     0.02566     0.01874     0.01408     0.02184
1935     29     0.09276     0.01860     0.02178     0.01660     0.01266     0.02313
1935     30     0.09212     0.01619     0.01986     0.01599     0.01266     0.02742
1935     31     0.07185     0.01122     0.01500     0.01277     0.01005     0.02282
1935     32     0.07388     0.00981     0.01364     0.01235     0.01034     0.02774
1935     33     0.06342     0.00693     0.01052     0.01018     0.00874     0.02704
1935     34     0.06336     0.00608     0.00907     0.00948     0.00864     0.03009
1935     35     0.06493     0.00534     0.00799     0.00911     0.00826     0.03423
