United States, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 24/03/2023
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1933     12-    1921+     0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
1933     13     1920      0.00019     0.00019     0.00000     0.00000     0.00000     0.00000
1933     14     1919      0.00098     0.00098     0.00000     0.00000     0.00000     0.00000
1933     15     1918      0.00377     0.00369     0.00008     0.00000     0.00000     0.00000
1933     16     1917      0.01204     0.01138     0.00065     0.00001     0.00000     0.00000
1933     17     1916      0.02800     0.02512     0.00260     0.00024     0.00002     0.00000
1933     18     1915      0.05187     0.04268     0.00821     0.00083     0.00012     0.00003
1933     19     1914      0.07729     0.05647     0.01754     0.00282     0.00039     0.00008
1933     20     1913      0.09499     0.05951     0.02709     0.00685     0.00122     0.00032
1933     21     1912      0.10423     0.05580     0.03296     0.01185     0.00281     0.00081
1933     22     1911      0.10991     0.05074     0.03559     0.01673     0.00518     0.00168
1933     23     1910      0.11608     0.04609     0.03669     0.02108     0.00869     0.00354
1933     24     1909      0.11654     0.04079     0.03528     0.02265     0.01174     0.00608
1933     25     1908      0.11440     0.03557     0.03318     0.02250     0.01360     0.00955
1933     26     1907      0.11158     0.03107     0.03100     0.02180     0.01450     0.01322
1933     27     1906      0.10465     0.02590     0.02772     0.02026     0.01453     0.01624
1933     28     1905      0.10223     0.02184     0.02538     0.01952     0.01491     0.02058
1933     29     1904      0.09691     0.01790     0.02268     0.01804     0.01443     0.02387
1933     30     1903      0.09104     0.01481     0.01962     0.01673     0.01336     0.02653
1933     31     1902      0.07909     0.01130     0.01585     0.01442     0.01150     0.02601
1933     32     1901      0.07309     0.00881     0.01335     0.01276     0.01070     0.02747
1933     33     1900      0.07829     0.00794     0.01225     0.01270     0.01132     0.03409
1933     34     1899      0.06783     0.00614     0.00953     0.01039     0.00956     0.03221
1933     35     1898      0.05982     0.00483     0.00755     0.00855     0.00814     0.03074
1933     36     1897      0.05739     0.00393     0.00627     0.00757     0.00755     0.03207
1933     37     1896      0.05051     0.00307     0.00482     0.00604     0.00634     0.03025
1933     38     1895      0.04781     0.00252     0.00390     0.00500     0.00552     0.03087
1933     39     1894      0.04255     0.00194     0.00298     0.00397     0.00447     0.02918
1933     40     1893      0.03422     0.00141     0.00209     0.00285     0.00332     0.02454
1933     41     1892      0.02473     0.00092     0.00135     0.00186     0.00218     0.01842
1933     42     1891      0.01922     0.00063     0.00090     0.00124     0.00149     0.01496
1933     43     1890      0.01589     0.00047     0.00061     0.00084     0.00110     0.01286
1933     44     1889      0.01029     0.00027     0.00036     0.00048     0.00067     0.00850
1933     45     1888      0.00665     0.00015     0.00020     0.00027     0.00039     0.00563
1933     46     1887      0.00372     0.00008     0.00009     0.00014     0.00018     0.00323
1933     47     1886      0.00177     0.00004     0.00004     0.00007     0.00007     0.00154
1933     48     1885      0.00103     0.00002     0.00002     0.00003     0.00004     0.00090
1933     49     1884      0.00058     0.00001     0.00001     0.00002     0.00003     0.00051
1933     50     1883      0.00020     0.00001     0.00001     0.00001     0.00001     0.00016
1933     51     1882      0.00005     0.00000     0.00000     0.00000     0.00000     0.00004
1933     52     1881      0.00003     0.00000     0.00000     0.00000     0.00000     0.00002
1933     53     1880      0.00003     0.00000     0.00000     0.00000     0.00000     0.00002
1933     54     1879      0.00003     0.00000     0.00000     0.00000     0.00000     0.00003
1933     55+    1878-     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000
1934     12-    1922+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1934     13     1921      0.00014     0.00014     0.00000     0.00000     0.00000     0.00000
1934     14     1920      0.00106     0.00105     0.00000     0.00000     0.00000     0.00000
1934     15     1919      0.00411     0.00401     0.00010     0.00000     0.00000     0.00000
1934     16     1918      0.01277     0.01207     0.00066     0.00004     0.00000     0.00000
1934     17     1917      0.02965     0.02677     0.00263     0.00022     0.00003     0.00000
