United States, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 24/03/2023
Year   Age    Cohort           Total
1933    12-        .           46.85
1933    13      1920          198.40
1933    13      1919          333.29
1933    14      1919          850.05
1933    14      1918         1270.58
1933    15      1918         3209.90
1933    15      1917         4735.29
1933    16      1917         9420.69
1933    16      1916        12577.47
1933    17      1916        20176.73
1933    17      1915        24754.31
1933    18      1915        35753.33
1933    18      1914        40919.16
1933    19      1914        48867.81
1933    19      1913        52136.55
1933    20      1913        57595.07
1933    20      1912        59063.45
1933    21      1912        60438.54
1933    21      1911        60941.76
1933    22      1911        63810.38
1933    22      1910        64266.61
1933    23      1910        65957.95
1933    23      1909        65468.43
1933    24      1909        63689.16
1933    24      1908        62695.35
1933    25      1908        62438.40
1933    25      1907        61175.07
1933    26      1907        58994.42
1933    26      1906        57042.80
1933    27      1906        53629.96
1933    27      1905        52321.73
1933    28      1905        53691.36
1933    28      1904        51872.67
1933    29      1904        46632.16
1933    29      1903        44859.12
1933    30      1903        45829.83
1933    30      1902        43006.67
1933    31      1902        34208.24
1933    31      1901        32893.73
1933    32      1901        37081.81
1933    32      1900        36991.29
1933    33      1900        36498.89
1933    33      1899        34237.84
1933    34      1899        28119.67
1933    34      1898        26626.18
1933    35      1898        27300.05
1933    35      1897        26554.08
1933    36      1897        24561.50
1933    36      1896        23607.98
1933    37      1896        21240.36
1933    37      1895        20940.97
1933    38      1895        21545.28
1933    38      1894        20758.71
1933    39      1894        17119.10
1933    39      1893        16018.16
1933    40      1893        14397.73
1933    40      1892        12796.78
1933    41      1892         8904.50
1933    41      1891         8126.86
1933    42      1891         8294.33
1933    42      1890         7469.67
1933    43      1890         5643.45
1933    43      1889         4751.66
1933    44      1889         3430.00
1933    44      1888         2877.29
1933    45      1888         2214.52
1933    45      1887         1741.84
1933    46      1887         1006.60
1933    46      1886          778.52
1933    47      1886          492.11
1933    47      1885          405.68
1933    48      1885          309.38
1933    48      1884          245.20
1933    49      1884          149.97
1933    49      1883           98.02
1933    50      1883           34.30
1933    50      1882           22.32
1933    51      1882            9.13
1933    51      1881            7.65
1933    52      1881            8.28
1933    52      1880            8.49
1933    53      1880            9.64
1933    53      1879            9.23
1933    54      1879            9.91
1933    54      1878            3.73
1933    55+        .            0.00
1934    12-        .           19.23
1934    13      1921          161.55
1934    13      1920          337.46
1934    14      1920          957.41
1934    14      1919         1449.62
1934    15      1919         3502.48
1934    15      1918         5048.68
1934    16      1918        10116.12
1934    16      1917        13408.76
1934    17      1917        21431.69
1934    17      1916        26183.74
1934    18      1916        37879.73
1934    18      1915        43316.38
1934    19      1915        51478.19
1934    19      1914        54955.09
1934    20      1914        61280.22
1934    20      1913        63038.41
1934    21      1913        64660.92
1934    21      1912        65090.31
1934    22      1912        67141.68
1934    22      1911        67199.26
1934    23      1911        67815.64
1934    23      1910        67510.89
1934    24      1910        68309.74
1934    24      1909        67226.73
1934    25      1909        63814.04
1934    25      1908        62523.89
1934    26      1908        62273.98
1934    26      1907        60688.18
1934    27      1907        56286.31
1934    27      1906        54916.96
1934    28      1906        55775.89
1934    28      1905        54089.80
1934    29      1905        49279.69
1934    29      1904        47567.71
1934    30      1904        48194.80
1934    30      1903        45274.23
1934    31      1903        36479.46
1934    31      1902        34653.69
1934    32      1902        36782.48
1934    32      1901        35905.18
1934    33      1901        33443.09
1934    33      1900        32660.11
1934    34      1900        34515.91
1934    34      1899        32610.03
1934    35      1899        26594.62
1934    35      1898        24918.34
1934    36      1898        24648.55
1934    36      1897        23587.25
1934    37      1897        20871.38
1934    37      1896        20485.70
1934    38      1896        21442.81
1934    38      1895        20695.88
1934    39      1895        17138.25
1934    39      1894        16014.37
1934    40      1894        14053.97
1934    40      1893        12628.00
1934    41      1893         8899.91
1934    41      1892         8274.17
1934    42      1892         8439.04
1934    42      1891         7625.86
1934    43      1891         5564.64
1934    43      1890         4701.83
1934    44      1890         3451.98
1934    44      1889         2881.74
1934    45      1889         2120.15
1934    45      1888         1675.54
1934    46      1888         1019.84
1934    46      1887          786.80
1934    47      1887          480.50
1934    47      1886          403.64
1934    48      1886          339.25
1934    48      1885          269.19
1934    49      1885          150.80
1934    49      1884          103.15
1934    50      1884           46.00
1934    50      1883           28.27
1934    51      1883            8.68
1934    51      1882            6.80
1934    52      1882            6.85
1934    52      1881            5.53
1934    53      1881            2.68
1934    53      1880            2.48
1934    54      1880            4.42
1934    54      1879            1.76
1934    55+        .            0.00
1935    12-        .           29.30
1935    13      1922          185.46
1935    13      1921          362.17
1935    14      1921         1022.66
1935    14      1920         1560.89
1935    15      1920         3842.39
1935    15      1919         5535.28
1935    16      1919        10627.65
1935    16      1918        13838.57
1935    17      1918        21948.74
1935    17      1917        26561.19
1935    18      1917        38073.30
1935    18      1916        43375.31
1935    19      1916        51765.94
1935    19      1915        55360.26
1935    20      1915        61663.41
1935    20      1914        63575.46
1935    21      1914        65637.37
1935    21      1913        66249.63
1935    22      1913        68265.41
