United States, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 24/03/2023
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1933    12-        .           46.85          46.85           0.00           0.00           0.00           0.00
1933    13      1920          198.40         198.40           0.00           0.00           0.00           0.00
1933    13      1919          333.29         333.29           0.00           0.00           0.00           0.00
1933    14      1919          850.05         848.88           1.18           0.00           0.00           0.00
1933    14      1918         1270.58        1262.63           7.95           0.00           0.00           0.00
1933    15      1918         3209.90        3117.61          92.30           0.00           0.00           0.00
1933    15      1917         4735.29        4535.21         200.08           0.00           0.00           0.00
1933    16      1917         9420.69        8844.36         561.52          14.12           0.70           0.00
1933    16      1916        12577.47       11618.80         860.44          93.80           4.44           0.00
1933    17      1916        20176.73       17771.14        2187.08         192.35          23.38           2.78
1933    17      1915        24754.31       21212.58        3230.88         254.90          40.28          15.66
1933    18      1915        35753.33       28567.18        6347.87         716.21          99.66          22.42
1933    18      1914        40919.16       31386.44        8279.05        1081.98         144.88          26.81
1933    19      1914        48867.81       34209.10       12090.74        2199.56         304.95          63.46
1933    19      1913        52136.55       34672.13       13962.29        2971.36         435.21          95.57
1933    20      1913        57595.07       34079.56       17338.68        4936.93         969.35         270.55
1933    20      1912        59063.45       33034.89       18381.92        5943.65        1311.21         391.78
1933    21      1912        60438.54       30944.47       19406.09        7641.01        1913.30         533.67
1933    21      1911        60941.76       29740.45       19733.09        8496.78        2313.45         657.99
1933    22      1911        63810.38       27847.39       20661.00       10490.17        3564.01        1247.81
1933    22      1910        64266.61       26648.82       20611.93       11201.81        4204.22        1599.83
1933    23      1910        65957.95       25052.73       20542.39       12440.76        5548.02        2374.04
1933    23      1909        65468.43       23814.26       20084.77       12638.75        6103.12        2827.53
1933    24      1909        63689.16       21393.80       19011.27       12459.26        6913.59        3911.24
1933    24      1908        62695.35       20252.36       18442.93       12305.61        7193.09        4501.36
1933    25      1908        62438.40       18654.90       17848.14       12308.03        7680.50        5946.83
1933    25      1907        61175.07       17602.47       17225.42       12023.25        7750.93        6573.00
1933    26      1907        58994.42       15862.38       16158.89       11450.55        7862.76        7659.83
1933    26      1906        57042.80       14737.82       15378.56       11038.30        7770.73        8117.38
1933    27      1906        53629.96       12652.37       13941.60       10385.95        7593.32        9056.72
1933    27      1905        52321.73       11779.35       13329.98       10088.08        7523.90        9600.43
1933    28      1905        53691.36       10867.46       12991.54       10156.86        7934.15       11741.34
1933    28      1904        51872.67        9982.47       12279.39        9722.61        7712.57       12175.63
1933    29      1904        46632.16        8215.00       10767.81        8612.55        6955.90       12080.90
1933    29      1903        44859.12        7588.10       10092.11        8255.41        6664.53       12258.97
1933    30      1903        45829.83        7161.91        9447.68        8412.79        6640.73       14166.71
1933    30      1902        43006.67        6403.27        8637.14        7855.81        6210.56       13899.89
1933    31      1902        34208.24        4630.53        6842.63        6225.29        5013.42       11496.36
1933    31      1901        32893.73        4238.81        6395.36        5916.86        4834.89       11507.81
1933    32      1901        37081.81        4199.28        6389.12        6295.02        5405.14       14793.24
1933    32      1900        36991.29        3949.37        6052.51        6123.78        5364.49       15501.14
1933    33      1900        36498.89        3501.40        5446.25        5793.43        5258.57       16499.24
1933    33      1899        34237.84        3153.86        4914.07        5319.36        4882.66       15967.90
1933    34      1899        28119.67        2492.57        3847.04        4236.37        3901.55       13642.15
1933    34      1898        26626.18        2273.50        3520.31        3927.29        3658.74       13246.34
1933    35      1898        27300.05        2083.20        3288.80        3784.42        3677.63       14466.00
1933    35      1897        26554.08        1918.77        3046.34        3579.91        3535.06       14473.99
1933    36      1897        24561.50        1583.78        2539.73        3159.17        3192.21       14086.62
1933    36      1896        23607.98        1462.36        2332.59        2933.70        3017.05       13862.27
1933    37      1896        21240.36        1259.87        1946.70        2425.31        2610.85       12997.63
1933    37      1895        20940.97        1185.91        1824.16        2294.00        2507.90       13129.00
1933    38      1895        21545.28        1057.73        1639.34        2145.82        2399.88       14302.50
1933    38      1894        20758.71         970.86        1500.14        1985.82        2237.53       14064.36
1933    39      1894        17119.10         757.28        1156.47        1545.19        1745.98       11914.18
1933    39      1893        16018.16         685.11        1033.60        1392.95        1591.15       11315.35
1933    40      1893        14397.73         571.83         826.26        1140.84        1360.93       10497.87
1933    40      1892        12796.78         488.58         707.28         978.76        1166.09        9456.07
1933    41      1892         8904.50         315.06         479.82         656.63         744.66        6708.33
1933    41      1891         8126.86         277.18         415.69         568.83         655.73        6209.44
1933    42      1891         8294.33         258.57         353.47         487.57         619.45        6575.27
1933    42      1890         7469.67         224.19         299.36         412.17         536.38        5997.57
1933    43      1890         5643.45         160.47         207.73         284.10         374.13        4617.01
1933    43      1889         4751.66         129.01         169.79         229.51         309.30        3914.05
1933    44      1889         3430.00          82.93         119.89         155.36         224.02        2847.80
1933    44      1888         2877.29          66.52          94.79         124.62         180.48        2410.87
1933    45      1888         2214.52          47.51          61.39          85.60         121.35        1898.67
1933    45      1887         1741.84          36.21          44.11          66.02          88.94        1506.56
1933    46      1887         1006.60          19.39          20.03          38.38          44.02         884.78
1933    46      1886          778.52          15.61          15.88          30.13          32.82         684.08
1933    47      1886          492.11          12.74          13.64          20.98          20.03         424.72
1933    47      1885          405.68           9.52          10.64          15.88          16.78         352.86
1933    48      1885          309.38           4.15           5.23           7.92          13.63         278.45
1933    48      1884          245.20           3.32           4.33           6.91          11.77         218.88
1933    49      1884          149.97           2.83           3.85           7.87           9.08         126.34
1933    49      1883           98.02           2.45           3.51           5.77           5.59          80.70
1933    50      1883           34.30           1.78           3.39           1.97           1.29          25.87
1933    50      1882           22.32           1.51           2.08           1.30           0.88          16.56
1933    51      1882            9.13           1.15           0.00           0.66           0.54           6.77
1933    51      1881            7.65           0.96           0.00           0.39           0.51           5.80
1933    52      1881            8.28           0.65           0.94           0.00           0.74           5.95
1933    52      1880            8.49           0.40           1.17           0.00           0.31           6.61
1933    53      1880            9.64           0.00           0.47           2.05           0.00           7.12
1933    53      1879            9.23           0.00           0.58           1.10           0.00           7.55
1933    54      1879            9.91           0.73           2.23           0.00           0.00           6.95
1933    54      1878            3.73           0.33           0.92           0.00           0.00           2.47
1933    55+        .            0.00           0.00           0.00           0.00           0.00           0.00
1934    12-        .           19.23          19.23           0.00           0.00           0.00           0.00
1934    13      1921          161.55         161.55           0.00           0.00           0.00           0.00
1934    13      1920          337.46         337.46           0.00           0.00           0.00           0.00
1934    14      1920          957.41         955.57           1.84           0.00           0.00           0.00
1934    14      1919         1449.62        1437.32          12.30           0.00           0.00           0.00
1934    15      1919         3502.48        3399.01         102.50           0.97           0.00           0.00
1934    15      1918         5048.68        4839.78         202.73           6.18           0.00           0.00
1934    16      1918        10116.12        9490.15         585.87          38.38           1.72           0.00
1934    16      1917        13408.76       12426.72         901.73          69.80          10.52           0.00
1934    17      1917        21431.69       19034.75        2187.47         183.70          24.74           1.03
1934    17      1916        26183.74       22679.21        3183.31         280.66          34.45           6.11
1934    18      1916        37879.73       30712.57        6304.31         738.25         100.47          24.14
1934    18      1915        43316.38       33795.05        8224.12        1108.49         152.67          36.05
1934    19      1915        51478.19       37002.39       11923.80        2200.01         291.86          60.14
1934    19      1914        54955.09       37679.98       13822.53        2959.36         411.52          81.70
1934    20      1914        61280.22       37520.83       17566.85        4979.28         973.20         240.07
1934    20      1913        63038.41       36512.44       18801.80        6023.20        1344.57         356.40
1934    21      1913        64660.92       34220.57       20115.82        7767.97        1995.94         560.62
1934    21      1912        65090.31       32866.33       20470.80        8626.43        2417.73         709.02
1934    22      1912        67141.68       30665.46       21116.70       10507.56        3642.71        1209.25
1934    22      1911        67199.26       29217.61       21003.04       11186.99        4264.04        1527.58
1934    23      1911        67815.64       26799.12       20772.76       12315.12        5514.60        2414.05
1934    23      1910        67510.89       25486.73       20390.11       12600.77        6098.09        2935.20
1934    24      1910        68309.74       23659.41       19979.89       13102.97        7355.79        4211.68
1934    24      1909        67226.73       22367.77       19354.57       12951.19        7707.43        4845.77
1934    25      1909        63814.04       19855.26       17891.17       12198.64        7866.61        6002.36
1934    25      1908        62523.89       18759.86       17332.22       11915.94        7916.68        6599.19
1934    26      1908        62273.98       17262.72       16962.54       11840.12        8186.68        8021.92
1934    26      1907        60688.18       16170.46       16345.65       11530.87        8087.66        8553.55
1934    27      1907        56286.31       13891.11       14824.81       10741.86        7617.34        9211.20
1934    27      1906        54916.96       13013.97       14207.51       10447.64        7522.86        9724.98
1934    28      1906        55775.89       12020.33       13607.26       10395.20        7936.52       11816.58
1934    28      1905        54089.80       11126.38       12918.15       10000.55        7729.41       12315.32
1934    29      1905        49279.69        9334.15       11528.50        9044.43        6916.71       12455.90
1934    29      1904        47567.71        8602.53       10904.88        8675.18        6682.94       12702.19
1934    30      1904        48194.80        7794.03       10354.78        8602.95        6897.49       14545.55
1934    30      1903        45274.23        6996.38        9501.91        8021.98        6491.40       14262.56
1934    31      1903        36479.46        5357.06        7555.77        6477.65        5216.27       11872.71
1934    31      1902        34653.69        4850.03        6974.67        6110.90        4963.24       11754.85
1934    32      1902        36782.48        4387.84        6591.85        6211.85        5255.69       14335.26
1934    32      1901        35905.18        4033.56        6142.83        5956.66        5105.42       14666.71
1934    33      1901        33443.09        3465.72        5349.57        5438.59        4715.03       14474.17
1934    33      1900        32660.11        3221.42        5001.12        5195.49        4573.10       14668.99
