United States, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 24/03/2023
Year  ARDY   Cohort       Total
1933    12-   1921+        6.51
1933    13    1920       238.74
1933    14    1919      1183.34
1933    15    1918      4480.48
1933    16    1917     14155.98
1933    17    1916     32754.20
1933    18    1915     60507.64
1933    19    1914     89786.97
1933    20    1913    109731.62
1933    21    1912    119501.99
1933    22    1911    124752.14
1933    23    1910    130224.56
1933    24    1909    129157.59
1933    25    1908    125133.75
1933    26    1907    120169.49
1933    27    1906    110672.76
1933    28    1905    106013.09
1933    29    1904     98504.83
1933    30    1903     90688.95
1933    31    1902     77214.91
1933    32    1901     69975.54
1933    33    1900     73490.18
1933    34    1899     62357.51
1933    35    1898     53926.23
1933    36    1897     51115.58
1933    37    1896     44848.34
1933    38    1895     42486.25
1933    39    1894     37877.81
1933    40    1893     30415.89
1933    41    1892     21701.28
1933    42    1891     16421.19
1933    43    1890     13113.12
1933    44    1889      8181.66
1933    45    1888      5091.81
1933    46    1887      2748.44
1933    47    1886      1270.63
1933    48    1885       715.06
1933    49    1884       395.17
1933    50    1883       132.32
1933    51    1882        31.45
1933    52    1881        15.93
1933    53    1880        18.13
1933    54    1879        19.14
1933    55+   1878-        3.73
1934    12-   1922+        2.62
1934    13    1921       178.16
1934    14    1920      1294.87
1934    15    1919      4952.10
1934    16    1918     15164.80
1934    17    1917     34840.45
1934    18    1916     64063.47
1934    19    1915     94794.57
1934    20    1914    116235.31
1934    21    1913    127699.33
1934    22    1912    132231.99
1934    23    1911    135014.90
1934    24    1910    135820.63
1934    25    1909    131040.77
1934    26    1908    124797.87
1934    27    1907    116974.49
1934    28    1906    110692.85
1934    29    1905    103369.49
1934    30    1904     95762.51
1934    31    1903     81753.69
1934    32    1902     71436.17
1934    33    1901     69348.27
1934    34    1900     67176.02
1934    35    1899     59204.65
1934    36    1898     49566.89
1934    37    1897     44458.63
1934    38    1896     41928.51
1934    39    1895     37834.13
1934    40    1894     30068.34
1934    41    1893     21527.91
1934    42    1892     16713.21
1934    43    1891     13190.50
1934    44    1890      8153.81
1934    45    1889      5001.89
1934    46    1888      2695.38
1934    47    1887      1267.30
1934    48    1886       742.89
1934    49    1885       419.99
1934    50    1884       149.15
1934    51    1883        36.95
1934    52    1882        13.65
1934    53    1881         8.21
1934    54    1880         6.90
1934    55+   1879-        1.76
1935    12-   1923+        3.95
1935    13    1922       210.81
1935    14    1921      1384.83
1935    15    1920      5403.28
1935    16    1919     16162.93
1935    17    1918     35787.31
1935    18    1917     64634.49
1935    19    1916     95141.25
1935    20    1915    117023.67
1935    21    1914    129212.83
1935    22    1913    134515.04
1935    23    1912    136884.64
1935    24    1911    134251.98
1935    25    1910    130497.08
1935    26    1909    123932.69
1935    27    1908    115455.98
1935    28    1907    111430.01
1935    29    1906    102670.67
1935    30    1905     95335.37
1935    31    1904     82191.55
1935    32    1903     71816.53
1935    33    1902     66606.51
1935    34    1901     59902.59
1935    35    1900     60614.66
1935    36    1899     52169.72
1935    37    1898     41326.24
1935    38    1897     39625.20
1935    39    1896     35541.73
1935    40    1895     28726.24
1935    41    1894     20558.13
1935    42    1893     15799.24
1935    43    1892     12624.63
1935    44    1891      7740.42
1935    45    1890      4759.39
1935    46    1889      2579.63
1935    47    1888      1251.03
1935    48    1887       687.37
1935    49    1886       380.33
1935    50    1885       156.14
1935    51    1884        43.13
1935    52    1883        20.78
1935    53    1882        21.65
1935    54    1881        19.70
1935    55+   1880-        3.66
1936    12-   1924+        7.15
1936    13    1923       212.69
1936    14    1922      1205.01
1936    15    1921      5188.95
1936    16    1920     16306.19
1936    17    1919     36194.48
1936    18    1918     64126.72
1936    19    1917     94736.35
1936    20    1916    115859.41
1936    21    1915    129959.30
1936    22    1914    136160.04
1936    23    1913    138484.82
1936    24    1912    136597.54
1936    25    1911    130961.88
1936    26    1910    125563.98
1936    27    1909    115929.73
1936    28    1908    110299.28
1936    29    1907    103194.82
1936    30    1906     94911.74
1936    31    1905     81937.82
1936    32    1904     71923.26
1936    33    1903     67444.60
1936    34    1902     58470.97
1936    35    1901     53722.78
1936    36    1900     52931.42
1936    37    1899     43523.95
1936    38    1898     36342.00
1936    39    1897     33082.59
1936    40    1896     26796.38
1936    41    1895     19379.74
1936    42    1894     14788.78
1936    43    1893     11763.84
1936    44    1892      7367.95
1936    45    1891      4481.94
1936    46    1890      2494.24
1936    47    1889      1184.10
1936    48    1888       625.66
1936    49    1887       361.34
1936    50    1886       150.06
1936    51    1885        43.76
1936    52    1884        24.10
1936    53    1883        21.47
1936    54    1882        17.61
1936    55+   1881-        9.56
1937    12-   1925+        9.77
1937    13    1924       260.16
1937    14    1923      1288.85
