United States, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 24/03/2023
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1933    12-   1921+        6.51        6.51        0.00        0.00        0.00        0.00
1933    13    1920       238.74      238.74        0.00        0.00        0.00        0.00
1933    14    1919      1183.34     1182.17        1.18        0.00        0.00        0.00
1933    15    1918      4480.48     4380.24      100.25        0.00        0.00        0.00
1933    16    1917     14155.98    13379.57      761.60       14.12        0.70        0.00
1933    17    1916     32754.20    29389.94     3047.52      286.15       27.82        2.78
1933    18    1915     60507.64    49779.76     9578.75      971.11      139.94       38.08
1933    19    1914     89786.97    65595.54    20369.79     3281.54      449.83       90.27
1933    20    1913    109731.62    68751.69    31300.97     7908.29     1404.56      366.12
1933    21    1912    119501.99    63979.36    37788.01    13584.66     3224.51      925.45
1933    22    1911    124752.14    57587.84    40394.09    18986.95     5877.46     1905.80
1933    23    1910    130224.56    51701.55    41154.32    23642.57     9752.24     3973.87
1933    24    1909    129157.59    45208.06    39096.04    25098.01    13016.71     6738.77
1933    25    1908    125133.75    38907.26    36291.07    24613.64    14873.59    10448.19
1933    26    1907    120169.49    33464.85    33384.31    23473.80    15613.69    14232.83
1933    27    1906    110672.76    27390.19    29320.16    21424.25    15364.05    17174.10
1933    28    1905    106013.09    22646.81    26321.52    20244.94    15458.05    21341.77
1933    29    1904     98504.83    18197.47    23047.20    18335.16    14668.47    24256.53
1933    30    1903     90688.95    14750.01    19539.79    16668.20    13305.26    26425.68
1933    31    1902     77214.91    11033.80    15479.77    14081.10    11223.98    25396.25
1933    32    1901     69975.54     8438.09    12784.48    12211.88    10240.03    26301.05
1933    33    1900     73490.18     7450.77    11498.76    11917.21    10623.06    32000.38
1933    34    1899     62357.51     5646.43     8761.11     9555.73     8784.21    29610.05
1933    35    1898     53926.23     4356.70     6809.11     7711.71     7336.37    27712.34
1933    36    1897     51115.58     3502.55     5586.07     6739.08     6727.27    28560.61
1933    37    1896     44848.34     2722.23     4279.29     5359.01     5627.90    26859.90
1933    38    1895     42486.25     2243.64     3463.50     4439.82     4907.78    27431.50
1933    39    1894     37877.81     1728.14     2656.61     3531.01     3983.51    25978.54
1933    40    1893     30415.89     1256.94     1859.86     2533.79     2952.08    21813.22
1933    41    1892     21701.28      803.64     1187.10     1635.39     1910.75    16164.40
1933    42    1891     16421.19      535.75      769.16     1056.40     1275.18    12784.71
1933    43    1890     13113.12      384.66      507.09      696.27      910.51    10614.58
1933    44    1889      8181.66      211.94      289.68      384.87      533.32     6761.85
1933    45    1888      5091.81      114.03      156.18      210.22      301.83     4309.54
1933    46    1887      2748.44       55.60       64.14      104.40      132.96     2391.34
1933    47    1886      1270.63       28.35       29.52       51.11       52.85     1108.80
1933    48    1885       715.06       13.67       15.87       23.80       30.41      631.31
1933    49    1884       395.17        6.15        8.18       14.78       20.85      345.22
1933    50    1883       132.32        4.23        6.90        7.74        6.88      106.57
1933    51    1882        31.45        2.66        2.08        1.96        1.42       23.33
1933    52    1881        15.93        1.61        0.94        0.39        1.25       11.75
1933    53    1880        18.13        0.40        1.64        2.05        0.31       13.73
1933    54    1879        19.14        0.73        2.81        1.10        0.00       14.50
1933    55+   1878-        3.73        0.33        0.92        0.00        0.00        2.47
1934    12-   1922+        2.62        2.62        0.00        0.00        0.00        0.00
1934    13    1921       178.16      178.16        0.00        0.00        0.00        0.00
1934    14    1920      1294.87     1293.03        1.84        0.00        0.00        0.00
1934    15    1919      4952.10     4836.33      114.80        0.97        0.00        0.00
1934    16    1918     15164.80    14329.93      788.60       44.56        1.72        0.00
1934    17    1917     34840.45    31461.47     3089.20      253.50       35.26        1.03
1934    18    1916     64063.47    53391.78     9487.62     1018.91      134.92       30.25
1934    19    1915     94794.57    70797.44    20147.92     3308.50      444.53       96.19
1934    20    1914    116235.31    75200.81    31389.38     7938.64     1384.72      321.77
1934    21    1913    127699.33    70733.01    38917.62    13791.17     3340.51      917.02
1934    22    1912    132231.99    63531.79    41587.50    19133.99     6060.44     1918.27
1934    23    1911    135014.90    56016.73    41775.80    23502.11     9778.64     3941.63
1934    24    1910    135820.63    49146.14    40370.00    25703.74    13453.88     7146.88
1934    25    1909    131040.77    42223.03    37245.74    25149.83    15574.04    10848.13
1934    26    1908    124797.87    36022.58    34294.76    23756.06    16103.36    14621.11
1934    27    1907    116974.49    30061.57    31170.46    22272.73    15705.00    17764.75
1934    28    1906    110692.85    25034.30    27814.77    20842.84    15459.38    21541.56
1934    29    1905    103369.49    20460.53    24446.65    19044.98    14646.12    24771.22
1934    30    1904     95762.51    16396.56    21259.66    17278.13    13580.43    27247.74
1934    31    1903     81753.69    12353.44    17057.68    14499.63    11707.67    26135.27
1934    32    1902     71436.17     9237.87    13566.52    12322.75    10218.93    26090.11
1934    33    1901     69348.27     7499.28    11492.40    11395.25     9820.45    29140.88
1934    34    1900     67176.02     6232.68     9708.79    10287.48     9292.11    31654.98
1934    35    1899     59204.65     4850.45     7653.69     8496.60     7942.01    30261.89
1934    36    1898     49566.89     3559.91     5644.21     6613.62     6493.43    27255.73
1934    37    1897     44458.63     2788.15     4286.37     5320.25     5542.48    26521.37
1934    38    1896     41928.51     2258.49     3529.86     4463.97     4798.67    26877.52
1934    39    1895     37834.13     1704.95     2796.29     3519.16     4046.20    25767.53
1934    40    1894     30068.34     1212.37     1847.95     2501.92     2932.85    21573.25
1934    41    1893     21527.91      809.79     1072.04     1618.53     1943.46    16084.10
1934    42    1892     16713.21      556.56      722.10     1069.47     1389.16    12975.93
1934    43    1891     13190.50      370.87      488.61      734.94      927.19    10668.88
1934    44    1890      8153.81      210.80      236.55      400.04      488.78     6817.64
1934    45    1889      5001.89      117.62      120.46      204.80      271.94     4287.06
1934    46    1888      2695.38       47.64       64.81      100.46      140.57     2341.90
1934    47    1887      1267.30       21.67       25.49       42.12       64.34     1113.67
1934    48    1886       742.89       14.64       12.05       25.95       32.64      657.60
1934    49    1885       419.99       11.89        6.60       16.46       23.53      361.50
1934    50    1884       149.15        4.70        1.02        7.54        8.32      127.57
1934    51    1883        36.95        0.97        0.69        1.84        1.48       31.97
1934    52    1882        13.65        1.01        0.34        1.32        0.40       10.58
1934    53    1881         8.21        1.02        0.00        0.74        1.29        5.16
1934    54    1880         6.90        1.33        0.00        0.00        0.77        4.80
1934    55+   1879-        1.76        0.28        0.00        0.00        0.00        1.48
1935    12-   1923+        3.95        3.95        0.00        0.00        0.00        0.00
1935    13    1922       210.81      210.81        0.00        0.00        0.00        0.00
1935    14    1921      1384.83     1380.98        3.85        0.00        0.00        0.00
1935    15    1920      5403.28     5246.23      155.07        1.98        0.00        0.00
1935    16    1919     16162.93    15258.09      851.03       52.23        1.58        0.00
1935    17    1918     35787.31    32313.26     3211.82      226.38       33.70        2.15
1935    18    1917     64634.49    54178.82     9340.06      964.07      117.39       34.15
1935    19    1916     95141.25    71858.88    19641.07     3140.55      420.93       79.82
1935    20    1915    117023.67    77203.30    30554.29     7526.54     1402.62      336.91
1935    21    1914    129212.83    73915.07    37715.43    13297.34     3321.62      963.37
1935    22    1913    134515.04    67582.27    40618.27    18342.74     5996.91     1974.87
1935    23    1912    136884.64    60256.24    40760.39    22412.87     9467.96     3987.16
1935    24    1911    134251.98    51944.18    38803.89    24051.75    12629.57     6822.58
1935    25    1910    130497.08    44741.02    36503.23    23819.58    14732.81    10700.43
1935    26    1909    123932.69    38406.00    33642.06    22605.57    15192.38    14086.67
1935    27    1908    115455.98    32373.59    30511.06    20980.17    14745.74    16845.43
1935    28    1907    111430.01    27404.68    28255.67    20136.44    14777.08    20856.14
1935    29    1906    102670.67    22003.79    24731.12    18438.69    13964.38    23532.69
1935    30    1905     95335.37    17908.99    21445.55    16789.74    13052.45    26138.64
1935    31    1904     82191.55    13661.47    17440.93    14421.28    11382.20    25285.68
1935    32    1903     71816.53    10383.82    14148.14    12416.29    10066.48    24801.79
1935    33    1902     66606.51     8051.61    11687.93    10917.39     9257.57    26692.02
1935    34    1901     59902.59     6127.44     9251.89     9291.78     8234.95    26996.52
1935    35    1900     60614.66     5380.95     8035.92     8794.05     7983.34    30420.39
1935    36    1899     52169.72     4068.68     6062.16     7033.20     6602.53    28403.14
1935    37    1898     41326.24     2846.69     4348.17     5134.13     5094.26    23902.98
1935    38    1897     39625.20     2257.48     3524.10     4307.36     4577.30    24958.95
1935    39    1896     35541.73     1732.57     2584.04     3446.94     3794.77    23983.40
1935    40    1895     28726.24     1200.64     1785.57     2502.62     2775.67    20461.76
1935    41    1894     20558.13      776.77     1093.23     1587.36     1852.15    15248.60
1935    42    1893     15799.24      544.33      715.36     1088.76     1306.44    12144.35
1935    43    1892     12624.63      373.44      473.66      711.03      889.76    10176.75
1935    44    1891      7740.42      181.56      243.57      351.71      511.76     6451.83
1935    45    1890      4759.39      115.28      128.00      187.17      283.14     4045.80
