United States, Crude birth rate
Last modified: 24/03/2023
Year      CBR
1933    16.57
1934    17.15
1935    16.93
1936    16.75
1937    17.09
1938    17.61
1939    17.30
1940    17.88
1941    18.89
1942    20.99
1943    21.92
1944    20.99
1945    20.33
1946    23.67
1947    25.82
1948    24.20
1949    23.94
1950    23.52
1951    24.45
1952    24.70
1953    24.65
1954    24.92
1955    24.64
1956    24.88
1957    24.97
1958    24.25
1959    23.96
1960    23.65
1961    23.33
1962    22.43
1963    21.74
1964    21.07
1965    19.43
1966    18.44
1967    17.83
1968    17.56
1969    17.86
1970    18.29
1971    17.20
1972    15.58
1973    14.85
1974    14.82
1975    14.60
1976    14.57
1977    15.14
1978    15.01
1979    15.57
1980    15.91
1981    15.82
1982    15.90
1983    15.57
1984    15.56
1985    15.81
1986    15.65
1987    15.73
1988    16.00
1989    16.37
1990    16.66
1991    16.26
1992    15.86
1993    15.40
1994    15.04
1995    14.66
1996    14.46
1997    14.25
1998    14.31
1999    14.21
2000    14.41
2001    14.15
2002    14.01
2003    14.12
2004    14.07
2005    14.02
2006    14.32
2007    14.35
2008    13.99
2009    13.49
2010    12.95
2011    12.71
2012    12.62
2013    12.46
2014    12.55
2015    12.42
2016    12.24
2017    11.88
2018    11.62
2019    11.41
2020    10.93
2021    11.04
