United States, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 24/03/2023
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1918    12         .         .         .         .         .         .
1918    13         .         .         .         .         .         .
1918    14         .         .         .         .         .         .
1918    15     0.000     0.000     0.000     0.000     0.000     0.000
1918    16     0.007     0.007     0.000     0.000     0.000     0.000
1918    17     0.027     0.025     0.002     0.000     0.000     0.000
1918    18     0.068     0.061     0.006     0.000     0.000     0.000
1918    19     0.137     0.115     0.019     0.002     0.000     0.000
1918    20     0.231     0.181     0.043     0.007     0.001     0.000
1918    21     0.344     0.250     0.075     0.016     0.003     0.001
1918    22     0.466     0.313     0.112     0.031     0.007     0.002
1918    23     0.598     0.376     0.152     0.050     0.015     0.005
1918    24     0.748     0.446     0.195     0.072     0.025     0.011
1918    25     0.914     0.514     0.246     0.097     0.037     0.019
1918    26     1.072     0.567     0.298     0.125     0.052     0.030
1918    27     1.206     0.605     0.341     0.150     0.066     0.044
1918    28     1.342     0.643     0.384     0.175     0.079     0.060
1918    29     1.494     0.685     0.433     0.202     0.094     0.079
1918    30     1.632     0.719     0.476     0.230     0.108     0.099
1918    31     1.757     0.743     0.514     0.257     0.123     0.121
1918    32     1.865     0.760     0.545     0.281     0.137     0.142
1918    33     1.968     0.773     0.571     0.306     0.152     0.166
1918    34     2.061     0.784     0.593     0.328     0.166     0.190
1918    35     2.145     0.793     0.610     0.348     0.180     0.215
1918    36     2.221     0.800     0.624     0.365     0.193     0.239
1918    37     2.286     0.805     0.634     0.379     0.205     0.263
1918    38     2.342     0.809     0.642     0.390     0.215     0.286
1918    39     2.391     0.812     0.648     0.399     0.223     0.308
1918    40     2.429     0.815     0.653     0.405     0.230     0.327
1918    41     2.457     0.816     0.656     0.410     0.234     0.341
1918    42     2.476     0.817     0.657     0.412     0.237     0.352
1918    43     2.490     0.818     0.658     0.414     0.239     0.361
1918    44     2.499     0.818     0.659     0.415     0.241     0.366
1918    45     2.504     0.818     0.659     0.416     0.241     0.369
1918    46     2.506     0.818     0.659     0.416     0.241     0.370
1918    47     2.507     0.819     0.660     0.416     0.242     0.371
1918    48     2.507     0.819     0.660     0.416     0.242     0.371
1918    49     2.507     0.819     0.660     0.416     0.242     0.372
1918    50     2.507     0.819     0.660     0.416     0.242     0.372
1918    51     2.507     0.819     0.660     0.416     0.242     0.372
1918    52     2.507     0.819     0.660     0.416     0.242     0.372
1918    53     2.507     0.819     0.660     0.416     0.242     0.372
1918    54     2.507     0.819     0.660     0.416     0.242     0.372
1918    55     2.507     0.819     0.660     0.416     0.242     0.372
1919    12         .         .         .         .         .         .
1919    13         .         .         .         .         .         .
1919    14     0.000     0.000     0.000     0.000     0.000     0.000
1919    15     0.002     0.002     0.000     0.000     0.000     0.000
1919    16     0.009     0.009     0.000     0.000     0.000     0.000
1919    17     0.030     0.028     0.002     0.000     0.000     0.000
1919    18     0.073     0.065     0.007     0.001     0.000     0.000
1919    19     0.146     0.123     0.021     0.002     0.000     0.000
1919    20     0.241     0.186     0.045     0.009     0.001     0.000
1919    21     0.354     0.253     0.077     0.019     0.003     0.001
1919    22     0.483     0.322     0.115     0.035     0.008     0.002
1919    23     0.632     0.397     0.158     0.055     0.016     0.006
1919    24     0.793     0.469     0.207     0.079     0.027     0.011
1919    25     0.954     0.530     0.258     0.106     0.040     0.020
1919    26     1.102     0.577     0.306     0.133     0.055     0.032
1919    27     1.252     0.624     0.354     0.159     0.069     0.046
1919    28     1.412     0.673     0.406     0.186     0.083     0.063
1919    29     1.566     0.714     0.456     0.216     0.099     0.082
1919    30     1.700     0.741     0.498     0.244     0.114     0.103
1919    31     1.826     0.763     0.535     0.272     0.129     0.126
1919    32     1.937     0.779     0.566     0.299     0.145     0.149
1919    33     2.047     0.792     0.593     0.325     0.161     0.175
1919    34     2.144     0.802     0.614     0.348     0.177     0.201
1919    35     2.231     0.811     0.631     0.369     0.192     0.228
1919    36     2.308     0.817     0.644     0.386     0.206     0.254
1919    37     2.374     0.822     0.655     0.400     0.218     0.279
1919    38     2.430     0.826     0.662     0.411     0.228     0.303
1919    39     2.479     0.829     0.668     0.419     0.236     0.326
1919    40     2.517     0.831     0.672     0.426     0.243     0.345
1919    41     2.545     0.833     0.675     0.430     0.247     0.361
1919    42     2.565     0.834     0.676     0.432     0.250     0.372
1919    43     2.579     0.834     0.677     0.434     0.252     0.381
1919    44     2.587     0.835     0.678     0.435     0.253     0.386
1919    45     2.591     0.835     0.678     0.435     0.254     0.389
1919    46     2.593     0.835     0.678     0.436     0.254     0.390
1919    47     2.594     0.835     0.678     0.436     0.254     0.391
1919    48     2.595     0.835     0.678     0.436     0.254     0.391
1919    49     2.595     0.835     0.678     0.436     0.254     0.391
1919    50     2.595     0.835     0.678     0.436     0.254     0.392
1919    51     2.595     0.835     0.678     0.436     0.254     0.392
1919    52     2.595     0.835     0.678     0.436     0.254     0.392
1919    53     2.595     0.835     0.678     0.436     0.254     0.392
1919    54     2.595     0.835     0.678     0.436     0.254     0.392
1919    55     2.595     0.835     0.678     0.436     0.254     0.392
1920    12         .         .         .         .         .         .
1920    13     0.000     0.000     0.000     0.000     0.000     0.000
1920    14     0.000     0.000     0.000     0.000     0.000     0.000
1920    15     0.002     0.002     0.000     0.000     0.000     0.000
1920    16     0.010     0.010     0.000     0.000     0.000     0.000
1920    17     0.032     0.030     0.002     0.000     0.000     0.000
