United States, Cumulative period fertility rates (Lexis squares)
Last modified: 24/03/2023
Year    Age     CPFR
1933    12     0.000
1933    13     0.000
1933    14     0.000
1933    15     0.002
1933    16     0.009
1933    17     0.028
1933    18     0.066
1933    19     0.132
1933    20     0.219
1933    21     0.321
1933    22     0.427
1933    23     0.540
1933    24     0.658
1933    25     0.773
1933    26     0.887
1933    27     0.996
1933    28     1.097
1933    29     1.200
1933    30     1.291
1933    31     1.381
1933    32     1.450
1933    33     1.528
1933    34     1.604
1933    35     1.665
1933    36     1.725
1933    37     1.779
1933    38     1.826
1933    39     1.874
1933    40     1.911
1933    41     1.942
1933    42     1.962
1933    43     1.980
1933    44     1.993
1933    45     2.001
1933    46     2.006
1933    47     2.009
1933    48     2.010
1933    49     2.011
1933    50     2.011
1933    51     2.011
1933    52     2.011
1933    53     2.011
1933    54     2.012
1933    55     2.012
1934    12     0.000
1934    13     0.000
1934    14     0.000
1934    15     0.002
1934    16     0.010
1934    17     0.029
1934    18     0.070
1934    19     0.140
1934    20     0.231
1934    21     0.339
1934    22     0.452
1934    23     0.570
1934    24     0.690
1934    25     0.812
1934    26     0.928
1934    27     1.041
1934    28     1.146
1934    29     1.252
1934    30     1.347
1934    31     1.440
1934    32     1.512
1934    33     1.588
1934    34     1.658
1934    35     1.730
1934    36     1.787
1934    37     1.841
1934    38     1.888
1934    39     1.935
1934    40     1.973
1934    41     2.003
1934    42     2.023
1934    43     2.042
1934    44     2.054
1934    45     2.062
1934    46     2.067
1934    47     2.069
1934    48     2.070
1934    49     2.071
1934    50     2.072
1934    51     2.072
1934    52     2.072
1934    53     2.072
1934    54     2.072
1934    55     2.072
1935    12     0.000
1935    13     0.000
1935    14     0.000
1935    15     0.003
1935    16     0.010
1935    17     0.031
1935    18     0.072
1935    19     0.141
1935    20     0.233
1935    21     0.341
1935    22     0.455
1935    23     0.574
1935    24     0.695
1935    25     0.812
1935    26     0.929
1935    27     1.038
1935    28     1.143
1935    29     1.248
1935    30     1.340
1935    31     1.432
1935    32     1.504
1935    33     1.578
1935    34     1.642
1935    35     1.705
1935    36     1.770
1935    37     1.819
1935    38     1.863
1935    39     1.908
1935    40     1.944
1935    41     1.973
1935    42     1.992
1935    43     2.010
1935    44     2.021
1935    45     2.028
1935    46     2.033
1935    47     2.035
1935    48     2.036
1935    49     2.037
1935    50     2.038
1935    51     2.038
1935    52     2.038
1935    53     2.038
1935    54     2.038
1935    55     2.038
1936    12     0.000
1936    13     0.000
1936    14     0.000
1936    15     0.002
1936    16     0.010
1936    17     0.031
1936    18     0.071
1936    19     0.140
1936    20     0.230
1936    21     0.337
1936    22     0.453
1936    23     0.572
1936    24     0.694
1936    25     0.812
1936    26     0.927
1936    27     1.038
1936    28     1.140
1936    29     1.244
1936    30     1.336
1936    31     1.426
1936    32     1.497
1936    33     1.570
1936    34     1.634
1936    35     1.692
1936    36     1.747
1936    37     1.804
1936    38     1.844
1936    39     1.885
1936    40     1.919
1936    41     1.946
1936    42     1.964
1936    43     1.980
1936    44     1.991
1936    45     1.998
1936    46     2.002
1936    47     2.004
1936    48     2.006
1936    49     2.006
1936    50     2.007
1936    51     2.007
1936    52     2.007
1936    53     2.007
1936    54     2.007
1936    55     2.007
1937    12     0.000
1937    13     0.000
1937    14     0.000
1937    15     0.003
1937    16     0.010
1937    17     0.032
1937    18     0.077
1937    19     0.147
1937    20     0.241
1937    21     0.351
1937    22     0.469
1937    23     0.592
1937    24     0.719
1937    25     0.841
1937    26     0.959
1937    27     1.071
1937    28     1.178
1937    29     1.281
1937    30     1.376
1937    31     1.467
1937    32     1.540
1937    33     1.614
1937    34     1.678
1937    35     1.736
1937    36     1.788
1937    37     1.837
1937    38     1.885
1937    39     1.923
1937    40     1.955
1937    41     1.981
1937    42     1.998
1937    43     2.014
1937    44     2.024
1937    45     2.030
1937    46     2.034
1937    47     2.036
1937    48     2.037
1937    49     2.038
1937    50     2.038
1937    51     2.038
1937    52     2.038
1937    53     2.038
1937    54     2.038
