United States, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 24/03/2023
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1933    12     0.000     0.000     0.000     0.000     0.000     0.000
1933    13     0.000     0.000     0.000     0.000     0.000     0.000
1933    14     0.000     0.000     0.000     0.000     0.000     0.000
1933    15     0.002     0.002     0.000     0.000     0.000     0.000
1933    16     0.009     0.009     0.000     0.000     0.000     0.000
1933    17     0.028     0.026     0.001     0.000     0.000     0.000
1933    18     0.066     0.060     0.006     0.000     0.000     0.000
1933    19     0.132     0.111     0.019     0.002     0.000     0.000
1933    20     0.219     0.170     0.041     0.006     0.001     0.000
1933    21     0.321     0.229     0.072     0.016     0.003     0.001
1933    22     0.427     0.282     0.106     0.030     0.007     0.002
1933    23     0.540     0.330     0.143     0.049     0.013     0.004
1933    24     0.658     0.374     0.180     0.072     0.024     0.009
1933    25     0.773     0.412     0.214     0.094     0.037     0.017
1933    26     0.887     0.445     0.246     0.117     0.051     0.028
1933    27     0.996     0.474     0.275     0.138     0.066     0.043
1933    28     1.097     0.497     0.301     0.157     0.080     0.061
1933    29     1.200     0.518     0.326     0.177     0.095     0.084
1933    30     1.291     0.533     0.347     0.193     0.109     0.108
1933    31     1.381     0.547     0.365     0.210     0.122     0.137
1933    32     1.450     0.556     0.379     0.223     0.132     0.161
1933    33     1.528     0.565     0.392     0.236     0.143     0.192
1933    34     1.604     0.572     0.403     0.248     0.154     0.227
1933    35     1.665     0.577     0.411     0.257     0.163     0.257
1933    36     1.725     0.582     0.418     0.265     0.171     0.289
1933    37     1.779     0.585     0.424     0.272     0.178     0.321
1933    38     1.826     0.588     0.428     0.277     0.183     0.350
1933    39     1.874     0.590     0.431     0.282     0.189     0.382
1933    40     1.911     0.592     0.434     0.285     0.192     0.408
1933    41     1.942     0.593     0.436     0.287     0.195     0.431
1933    42     1.962     0.594     0.437     0.289     0.197     0.446
1933    43     1.980     0.594     0.437     0.290     0.198     0.461
1933    44     1.993     0.595     0.438     0.290     0.199     0.471
1933    45     2.001     0.595     0.438     0.291     0.200     0.478
