United States, Cumulative period fertility rates (vertical parallelograms)
Last modified: 24/03/2023
Year  ARDY  Cohort     CPFR
1933   12    1921     0.000
1933   13    1920     0.000
1933   14    1919     0.000
1933   15    1918     0.001
1933   16    1917     0.005
1933   17    1916     0.017
1933   18    1915     0.045
1933   19    1914     0.097
1933   20    1913     0.174
1933   21    1912     0.269
1933   22    1911     0.373
1933   23    1910     0.483
1933   24    1909     0.599
1933   25    1908     0.716
1933   26    1907     0.830
1933   27    1906     0.942
1933   28    1905     1.047
1933   29    1904     1.149
1933   30    1903     1.246
1933   31    1902     1.337
1933   32    1901     1.416
1933   33    1900     1.489
1933   34    1899     1.567
1933   35    1898     1.635
1933   36    1897     1.695
1933   37    1896     1.752
1933   38    1895     1.803
1933   39    1894     1.851
1933   40    1893     1.893
1933   41    1892     1.927
1933   42    1891     1.952
1933   43    1890     1.971
1933   44    1889     1.987
1933   45    1888     1.997
1933   46    1887     2.004
1933   47    1886     2.008
1933   48    1885     2.010
1933   49    1884     2.011
1933   50    1883     2.011
1933   51    1882     2.011
1933   52    1881     2.011
1933   53    1880     2.011
1933   54    1879     2.011
1933   55    1878     2.012
1934   12    1922     0.000
1934   13    1921     0.000
1934   14    1920     0.000
1934   15    1919     0.001
1934   16    1918     0.005
1934   17    1917     0.018
1934   18    1916     0.048
1934   19    1915     0.103
1934   20    1914     0.184
1934   21    1913     0.284
1934   22    1912     0.395
1934   23    1911     0.510
1934   24    1910     0.630
1934   25    1909     0.751
1934   26    1908     0.870
1934   27    1907     0.985
1934   28    1906     1.094
1934   29    1905     1.200
1934   30    1904     1.300
1934   31    1903     1.395
1934   32    1902     1.477
1934   33    1901     1.550
1934   34    1900     1.623
1934   35    1899     1.695
1934   36    1898     1.759
1934   37    1897     1.814
1934   38    1896     1.865
1934   39    1895     1.912
1934   40    1894     1.955
1934   41    1893     1.989
1934   42    1892     2.013
1934   43    1891     2.033
1934   44    1890     2.048
1934   45    1889     2.058
1934   46    1888     2.065
1934   47    1887     2.068
1934   48    1886     2.070
1934   49    1885     2.071
1934   50    1884     2.071
1934   51    1883     2.072
1934   52    1882     2.072
1934   53    1881     2.072
1934   54    1880     2.072
1934   55    1879     2.072
1935   12    1923     0.000
1935   13    1922     0.000
1935   14    1921     0.000
1935   15    1920     0.001
1935   16    1919     0.006
1935   17    1918     0.019
1935   18    1917     0.049
1935   19    1916     0.104
1935   20    1915     0.186
1935   21    1914     0.286
1935   22    1913     0.398
1935   23    1912     0.515
1935   24    1911     0.635
1935   25    1910     0.754
1935   26    1909     0.871
1935   27    1908     0.984
1935   28    1907     1.091
1935   29    1906     1.196
1935   30    1905     1.294
1935   31    1904     1.387
1935   32    1903     1.469
1935   33    1902     1.542
1935   34    1901     1.610
1935   35    1900     1.673
1935   36    1899     1.738
1935   37    1898     1.795
1935   38    1897     1.841
1935   39    1896     1.886
1935   40    1895     1.927
1935   41    1894     1.959
1935   42    1893     1.983
1935   43    1892     2.001
1935   44    1891     2.016
1935   45    1890     2.025
1935   46    1889     2.031
1935   47    1888     2.034
1935   48    1887     2.036
1935   49    1886     2.037
1935   50    1885     2.037
1935   51    1884     2.038
1935   52    1883     2.038
1935   53    1882     2.038
1935   54    1881     2.038
1935   55    1880     2.038
1936   12    1924     0.000
1936   13    1923     0.000
1936   14    1922     0.000
1936   15    1921     0.001
1936   16    1920     0.005
1936   17    1919     0.019
1936   18    1918     0.049
1936   19    1917     0.103
1936   20    1916     0.184
1936   21    1915     0.283
1936   22    1914     0.395
1936   23    1913     0.512
1936   24    1912     0.633
1936   25    1911     0.753
1936   26    1910     0.870
1936   27    1909     0.983
1936   28    1908     1.090
1936   29    1907     1.192
1936   30    1906     1.290
1936   31    1905     1.382
1936   32    1904     1.462
1936   33    1903     1.534
1936   34    1902     1.603
1936   35    1901     1.663
1936   36    1900     1.720
1936   37    1899     1.777
1936   38    1898     1.824
1936   39    1897     1.865
1936   40    1896     1.903
1936   41    1895     1.933
1936   42    1894     1.956
1936   43    1893     1.973
1936   44    1892     1.986
1936   45    1891     1.995
1936   46    1890     2.000
1936   47    1889     2.004
1936   48    1888     2.005
1936   49    1887     2.006
1936   50    1886     2.006
1936   51    1885     2.007
1936   52    1884     2.007
1936   53    1883     2.007
1936   54    1882     2.007
1936   55    1881     2.007
1937   12    1925     0.000
1937   13    1924     0.000
1937   14    1923     0.000
1937   15    1922     0.001
1937   16    1921     0.006
1937   17    1920     0.020
1937   18    1919     0.052
1937   19    1918     0.110
1937   20    1917     0.193
1937   21    1916     0.295
1937   22    1915     0.409
1937   23    1914     0.530
1937   24    1913     0.656
1937   25    1912     0.781
1937   26    1911     0.901
1937   27    1910     1.015
1937   28    1909     1.125
1937   29    1908     1.230
1937   30    1907     1.329
1937   31    1906     1.423
1937   32    1905     1.504
1937   33    1904     1.578
1937   34    1903     1.646
1937   35    1902     1.707
1937   36    1901     1.762
1937   37    1900     1.813
1937   38    1899     1.862
1937   39    1898     1.904
1937   40    1897     1.939
1937   41    1896     1.968
1937   42    1895     1.990
1937   43    1894     2.006
1937   44    1893     2.019
1937   45    1892     2.027
1937   46    1891     2.032
1937   47    1890     2.035
1937   48    1889     2.037
1937   49    1888     2.038
1937   50    1887     2.038
1937   51    1886     2.038
1937   52    1885     2.038
1937   53    1884     2.038
1937   54    1883     2.038
1937   55    1882     2.038
1938   12    1926     0.000
1938   13    1925     0.000
1938   14    1924     0.000
1938   15    1923     0.001
1938   16    1922     0.006
1938   17    1921     0.020
1938   18    1920     0.053
1938   19    1919     0.114
1938   20    1918     0.201
1938   21    1917     0.305
1938   22    1916     0.423
1938   23    1915     0.547
1938   24    1914     0.677
1938   25    1913     0.806
1938   26    1912     0.932
1938   27    1911     1.051
1938   28    1910     1.164
1938   29    1909     1.273
1938   30    1908     1.376
1938   31    1907     1.471
1938   32    1906     1.557
1938   33    1905     1.632
1938   34    1904     1.702
1938   35    1903     1.764
1938   36    1902     1.821
1938   37    1901     1.871
1938   38    1900     1.915
1938   39    1899     1.959
1938   40    1898     1.996
1938   41    1897     2.024
1938   42    1896     2.045
1938   43    1895     2.061
1938   44    1894     2.074
1938   45    1893     2.082
1938   46    1892     2.087
1938   47    1891     2.089
1938   48    1890     2.091
1938   49    1889     2.092
1938   50    1888     2.092
1938   51    1887     2.092
1938   52    1886     2.092
1938   53    1885     2.092
1938   54    1884     2.092
1938   55    1883     2.092
1939   12    1927     0.000
1939   13    1926     0.000
1939   14    1925     0.000
1939   15    1924     0.001
1939   16    1923     0.007
1939   17    1922     0.022
1939   18    1921     0.056
1939   19    1920     0.114
1939   20    1919     0.196
1939   21    1918     0.299
1939   22    1917     0.415
1939   23    1916     0.536
1939   24    1915     0.658
1939   25    1914     0.783
1939   26    1913     0.911
1939   27    1912     1.032
1939   28    1911     1.143
1939   29    1910     1.247
1939   30    1909     1.346
1939   31    1908     1.440
1939   32    1907     1.525
1939   33    1906     1.601
1939   34    1905     1.670
1939   35    1904     1.734
1939   36    1903     1.793
1939   37    1902     1.845
1939   38    1901     1.890
1939   39    1900     1.928
1939   40    1899     1.960
1939   41    1898     1.987
1939   42    1897     2.007
1939   43    1896     2.023
1939   44    1895     2.034
1939   45    1894     2.040
1939   46    1893     2.045
1939   47    1892     2.047
1939   48    1891     2.049
1939   49    1890     2.049
1939   50    1889     2.050
1939   51    1888     2.050
1939   52    1887     2.050
1939   53    1886     2.050
1939   54    1885     2.050
1939   55    1884     2.050
1940   12    1928     0.000
1940   13    1927     0.000
1940   14    1926     0.000
1940   15    1925     0.001
1940   16    1924     0.006
1940   17    1923     0.022
1940   18    1922     0.056
1940   19    1921     0.115
1940   20    1920     0.198
1940   21    1919     0.304
1940   22    1918     0.425
1940   23    1917     0.550
1940   24    1916     0.678
1940   25    1915     0.808
1940   26    1914     0.941
1940   27    1913     1.067
1940   28    1912     1.183
1940   29    1911     1.291
1940   30    1910     1.395
1940   31    1909     1.493
1940   32    1908     1.582
1940   33    1907     1.661
1940   34    1906     1.732
1940   35    1905     1.798
1940   36    1904     1.858
1940   37    1903     1.910
1940   38    1902     1.954
1940   39    1901     1.991
1940   40    1900     2.023
1940   41    1899     2.050
1940   42    1898     2.071
1940   43    1897     2.087
1940   44    1896     2.097
1940   45    1895     2.104
1940   46    1894     2.108
1940   47    1893     2.110
1940   48    1892     2.111
1940   49    1891     2.112
1940   50    1890     2.112
1940   51    1889     2.112
1940   52    1888     2.113
1940   53    1887     2.113
1940   54    1886     2.113
1940   55    1885     2.113
1941   12    1929     0.000
1941   13    1928     0.000
1941   14    1927     0.000
1941   15    1926     0.001
1941   16    1925     0.007
1941   17    1924     0.023
1941   18    1923     0.059
1941   19    1922     0.121
1941   20    1921     0.209
1941   21    1920     0.322
1941   22    1919     0.452
1941   23    1918     0.588
1941   24    1917     0.727
1941   25    1916     0.868
1941   26    1915     1.011
1941   27    1914     1.146
1941   28    1913     1.269
1941   29    1912     1.383
1941   30    1911     1.491
1941   31    1910     1.595
1941   32    1909     1.687
1941   33    1908     1.769
1941   34    1907     1.842
1941   35    1906     1.910
1941   36    1905     1.971
1941   37    1904     2.024
1941   38    1903     2.068
1941   39    1902     2.106
1941   40    1901     2.138
1941   41    1900     2.164
1941   42    1899     2.185
1941   43    1898     2.200
1941   44    1897     2.210
1941   45    1896     2.217
1941   46    1895     2.221
1941   47    1894     2.223
1941   48    1893     2.224
1941   49    1892     2.225
1941   50    1891     2.225
1941   51    1890     2.225
1941   52    1889     2.225
1941   53    1888     2.225
1941   54    1887     2.225
1941   55    1886     2.225
1942   12    1930     0.000
1942   13    1929     0.000
1942   14    1928     0.000
1942   15    1927     0.001
1942   16    1926     0.007
1942   17    1925     0.025
1942   18    1924     0.063
1942   19    1923     0.129
1942   20    1922     0.226
1942   21    1921     0.352
1942   22    1920     0.499
1942   23    1919     0.657
1942   24    1918     0.817
1942   25    1917     0.980
1942   26    1916     1.143
1942   27    1915     1.296
1942   28    1914     1.433
1942   29    1913     1.560
1942   30    1912     1.681
1942   31    1911     1.794
1942   32    1910     1.895
1942   33    1909     1.984
1942   34    1908     2.064
1942   35    1907     2.137
1942   36    1906     2.202
1942   37    1905     2.258
1942   38    1904     2.305
1942   39    1903     2.345
1942   40    1902     2.378
1942   41    1901     2.404
1942   42    1900     2.425
1942   43    1899     2.440
1942   44    1898     2.450
1942   45    1897     2.456
1942   46    1896     2.460
1942   47    1895     2.462
1942   48    1894     2.463
1942   49    1893     2.464
1942   50    1892     2.464
1942   51    1891     2.464
1942   52    1890     2.464
1942   53    1889     2.464
1942   54    1888     2.464
1942   55    1887     2.464
1943   12    1931     0.000
1943   13    1930     0.000
1943   14    1929     0.000
1943   15    1928     0.001
1943   16    1927     0.008
1943   17    1926     0.026
1943   18    1925     0.066
1943   19    1924     0.133
1943   20    1923     0.230
1943   21    1922     0.357
1943   22    1921     0.504
1943   23    1920     0.660
1943   24    1919     0.820
1943   25    1918     0.984
1943   26    1917     1.150
1943   27    1916     1.307
1943   28    1915     1.449
1943   29    1914     1.582
1943   30    1913     1.710
1943   31    1912     1.832
1943   32    1911     1.941
1943   33    1910     2.038
1943   34    1909     2.125
1943   35    1908     2.206
1943   36    1907     2.278
1943   37    1906     2.340
1943   38    1905     2.393
1943   39    1904     2.437
1943   40    1903     2.473
1943   41    1902     2.502
1943   42    1901     2.525
1943   43    1900     2.542
1943   44    1899     2.552
1943   45    1898     2.558
1943   46    1897     2.561
1943   47    1896     2.563
1943   48    1895     2.565
1943   49    1894     2.565
1943   50    1893     2.565
1943   51    1892     2.565
1943   52    1891     2.566
1943   53    1890     2.566
1943   54    1889     2.566
1943   55    1888     2.566
1944   12    1932     0.000
1944   13    1931     0.000
1944   14    1930     0.000
1944   15    1929     0.001
1944   16    1928     0.007
1944   17    1927     0.024
1944   18    1926     0.059
1944   19    1925     0.119
1944   20    1924     0.204
1944   21    1923     0.317
1944   22    1922     0.453
1944   23    1921     0.598
1944   24    1920     0.749
1944   25    1919     0.904
1944   26    1918     1.058
1944   27    1917     1.202
1944   28    1916     1.333
1944   29    1915     1.456
1944   30    1914     1.576
1944   31    1913     1.693
1944   32    1912     1.799
1944   33    1911     1.895
1944   34    1910     1.983
1944   35    1909     2.064
1944   36    1908     2.139
1944   37    1907     2.203
1944   38    1906     2.258
1944   39    1905     2.304
1944   40    1904     2.342
1944   41    1903     2.373
1944   42    1902     2.397
1944   43    1901     2.414
1944   44    1900     2.424
1944   45    1899     2.431
1944   46    1898     2.434
1944   47    1897     2.436
1944   48    1896     2.437
1944   49    1895     2.438
1944   50    1894     2.438
1944   51    1893     2.438
1944   52    1892     2.438
1944   53    1891     2.438
1944   54    1890     2.438
1944   55    1889     2.438
1945   12    1933     0.000
1945   13    1932     0.000
1945   14    1931     0.000
1945   15    1930     0.001
1945   16    1929     0.007
1945   17    1928     0.024
1945   18    1927     0.058
1945   19    1926     0.114
1945   20    1925     0.194
1945   21    1924     0.299
1945   22    1923     0.423
1945   23    1922     0.556
1945   24    1921     0.694
1945   25    1920     0.837
1945   26    1919     0.982
1945   27    1918     1.120
1945   28    1917     1.247
