United States, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 24/03/2023
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1933   12    1921     0.000     0.000     0.000     0.000     0.000     0.000
1933   13    1920     0.000     0.000     0.000     0.000     0.000     0.000
1933   14    1919     0.000     0.000     0.000     0.000     0.000     0.000
1933   15    1918     0.001     0.001     0.000     0.000     0.000     0.000
1933   16    1917     0.005     0.005     0.000     0.000     0.000     0.000
1933   17    1916     0.017     0.016     0.001     0.000     0.000     0.000
1933   18    1915     0.045     0.041     0.003     0.000     0.000     0.000
1933   19    1914     0.097     0.084     0.012     0.001     0.000     0.000
1933   20    1913     0.174     0.141     0.029     0.004     0.001     0.000
1933   21    1912     0.269     0.200     0.056     0.011     0.002     0.000
1933   22    1911     0.373     0.256     0.089     0.023     0.005     0.001
1933   23    1910     0.483     0.307     0.125     0.039     0.010     0.003
1933   24    1909     0.599     0.353     0.161     0.060     0.018     0.006
1933   25    1908     0.716     0.393     0.197     0.083     0.030     0.013
1933   26    1907     0.830     0.429     0.230     0.106     0.044     0.022
1933   27    1906     0.942     0.460     0.261     0.127     0.058     0.035
1933   28    1905     1.047     0.486     0.289     0.148     0.073     0.052
1933   29    1904     1.149     0.508     0.314     0.167     0.088     0.072
1933   30    1903     1.246     0.526     0.337     0.185     0.102     0.096
1933   31    1902     1.337     0.541     0.356     0.202     0.115     0.123
1933   32    1901     1.416     0.552     0.372     0.216     0.127     0.149
1933   33    1900     1.489     0.561     0.385     0.229     0.138     0.176
1933   34    1899     1.567     0.569     0.398     0.242     0.149     0.210
1933   35    1898     1.635     0.575     0.407     0.252     0.159     0.242
1933   36    1897     1.695     0.580     0.415     0.261     0.167     0.273
1933   37    1896     1.752     0.583     0.421     0.268     0.174     0.305
1933   38    1895     1.803     0.587     0.426     0.274     0.181     0.335
1933   39    1894     1.851     0.589     0.430     0.279     0.186     0.366
1933   40    1893     1.893     0.591     0.433     0.283     0.191     0.395
1933   41    1892     1.927     0.592     0.435     0.286     0.194     0.420
1933   42    1891     1.952     0.593     0.436     0.288     0.196     0.438
1933   43    1890     1.971     0.594     0.437     0.289     0.198     0.453
1933   44    1889     1.987     0.594     0.438     0.290     0.199     0.466
1933   45    1888     1.997     0.595     0.438     0.291     0.199     0.475
1933   46    1887     2.004     0.595     0.438     0.291     0.200     0.480
1933   47    1886     2.008     0.595     0.438     0.291     0.200     0.484
1933   48    1885     2.010     0.595     0.438     0.291     0.200     0.485
1933   49    1884     2.011     0.595     0.438     0.291     0.200     0.486
1933   50    1883     2.011     0.595     0.438     0.291     0.200     0.487
1933   51    1882     2.011     0.595     0.438     0.291     0.200     0.487
1933   52    1881     2.011     0.595     0.438     0.291     0.200     0.487
1933   53    1880     2.011     0.595     0.438     0.291     0.200     0.487
1933   54    1879     2.011     0.595     0.438     0.291     0.200     0.487
1933   55    1878     2.012     0.595     0.438     0.291     0.200     0.487
1934   12    1922     0.000     0.000     0.000     0.000     0.000     0.000
1934   13    1921     0.000     0.000     0.000     0.000     0.000     0.000
1934   14    1920     0.000     0.000     0.000     0.000     0.000     0.000
1934   15    1919     0.001     0.001     0.000     0.000     0.000     0.000
1934   16    1918     0.005     0.005     0.000     0.000     0.000     0.000
1934   17    1917     0.018     0.017     0.001     0.000     0.000     0.000
