United States, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 24/03/2023
Year    Age        Exposure
1933     12      1237992.00
1933     13      1216487.07
1933     14      1197058.10
1933     15      1182135.76
1933     16      1173010.92
1933     17      1168279.78
1933     18      1164102.04
1933     19      1158501.89
1933     20      1150966.11
1933     21      1140890.65
1933     22      1128567.58
1933     23      1115220.55
1933     24      1101246.21
1933     25      1085512.98
1933     26      1067247.70
1933     27      1047143.96
1933     28      1026540.44
1933     29      1006095.68
1933     30       986088.03
1933     31       966775.97
1933     32       948038.58
1933     33       929037.77
1933     34       910424.36
1933     35       896154.55
1933     36       889404.66
1933     37       888491.11
1933     38       889694.74
1933     39       889792.60
1933     40       883394.69
1933     41       866011.89
1933     42       839715.73
1933     43       810068.61
1933     44       780283.29
1933     45       752576.72
1933     46       728735.59
1933     47       707847.45
1933     48       687336.78
1933     49       666255.53
1933     50       645113.02
1933     51       624381.29
1933     52       604183.77
1933     53       584526.65
1933     54       565069.05
1933     55       544855.80
1934     12      1245486.97
1934     13      1235983.20
1934     14      1215400.10
1934     15      1196378.17
1934     16      1181440.33
1934     17      1172126.47
1934     18      1167072.14
1934     19      1162536.83
1934     20      1156605.62
1934     21      1148605.39
1934     22      1137802.13
1934     23      1124537.35
1934     24      1110204.24
1934     25      1095198.10
1934     26      1078705.68
1934     27      1060377.16
1934     28      1040937.98
1934     29      1021282.41
1934     30      1001804.38
1934     31       982651.36
1934     32       963862.57
1934     33       945233.38
1934     34       926143.92
1934     35       907503.84
1934     36       893026.41
1934     37       885604.31
1934     38       883560.99
1934     39       883483.44
1934     40       882202.54
1934     41       874699.90
1934     42       857032.14
1934     43       831313.20
1934     44       802536.26
1934     45       773705.99
1934     46       746691.47
1934     47       722850.65
1934     48       701213.44
1934     49       679702.72
1934     50       657639.61
1934     51       635655.23
1934     52       614478.64
1934     53       594265.29
1934     54       574774.35
1934     55       555459.02
1935     12      1237111.73
1935     13      1243972.72
1935     14      1234056.17
1935     15      1214443.01
1935     16      1195884.35
1935     17      1180925.93
1935     18      1171398.47
1935     19      1166019.21
1935     20      1161119.45
1935     21      1154735.03
1935     22      1146089.11
1935     23      1134333.71
1935     24      1119889.48
1935     25      1104256.87
1935     26      1088047.35
1935     27      1070877.30
1935     28      1052781.93
1935     29      1034334.54
1935     30      1015932.00
1935     31       997676.75
1935     32       979495.99
1935     33       961193.16
1935     34       942605.11
1935     35       923473.53
1935     36       904747.85
1935     37       889848.54
1935     38       881404.68
1935     39       877883.64
1935     40       876099.19
1935     41       873152.71
1935     42       864574.99
1935     43       846919.33
1935     44       822069.33
1935     45       794530.29
1935     46       766851.74
1935     47       740488.87
1935     48       716375.51
1935     49       693724.29
1935     50       670980.73
1935     51       647757.71
1935     52       624943.91
1935     53       603447.93
1935     54       583354.00
1935     55       564104.98
1936     12      1225910.36
1936     13      1236864.12
1936     14      1242056.99
1936     15      1231680.18
1936     16      1213049.32
1936     17      1194936.08
1936     18      1179972.95
1936     19      1170276.51
1936     20      1164588.77
1936     21      1159289.63
1936     22      1152493.33
1936     23      1143275.13
1936     24      1130632.52
1936     25      1115023.45
1936     26      1098121.85
1936     27      1080721.54
1936     28      1062880.88
1936     29      1045030.88
1936     30      1027559.45
1936     31      1010400.47
1936     32       993346.61
1936     33       976070.37
1936     34       958166.71
1936     35       939623.50
1936     36       920442.99
1936     37       901653.47
1936     38       886365.44
1936     39       876955.00
1936     40       871969.52
1936     41       868473.91
1936     42       863838.58
1936     43       854167.74
1936     44       836462.14
1936     45       812474.32
1936     46       786107.75
1936     47       759566.15
1936     48       733824.31
1936     49       709427.01
1936     50       685776.52
1936     51       661799.79
1936     52       637466.30
1936     53       613862.43
1936     54       592087.50
1936     55       572106.31
1937     12      1211612.73
1937     13      1225859.89
1937     14      1236619.36
1937     15      1240099.84
1937     16      1229279.43
1937     17      1211604.84
1937     18      1193947.39
1937     19      1179018.40
1937     20      1169162.93
1937     21      1163130.53
1937     22      1157469.91
1937     23      1150330.51
1937     24      1140598.82
1937     25      1127079.77
1937     26      1110328.55
1937     27      1092166.05
1937     28      1073582.94
1937     29      1055083.16
1937     30      1037466.16
1937     31      1020957.45
1937     32      1005015.91
1937     33       989087.72
1937     34       972617.97
1937     35       955105.92
1937     36       936595.08
1937     37       917380.02
1937     38       898551.43
1937     39       882916.95
1937     40       872542.98
1937     41       866081.86
1937     42       860850.69
1937     43       854515.30
1937     44       843697.61
1937     45       825944.94
1937     46       802752.48
1937     47       777535.47
1937     48       752083.86
1937     49       726927.31
1937     50       702236.50
1937     51       677572.13
1937     52       652405.19
1937     53       626999.53
1937     54       602653.42
1937     55       580597.93
1938     12      1194438.65
1938     13      1212078.33
1938     14      1226441.38
1938     15      1236958.95
1938     16      1238747.43
1938     17      1227450.35
1938     18      1210733.36
1938     19      1193562.30
1938     20      1178668.03
1938     21      1168613.19
1938     22      1162269.45
1938     23      1156311.09
1938     24      1148881.85
1938     25      1138640.97
1938     26      1124255.21
1938     27      1106360.22
1938     28      1086936.05
1938     29      1067172.37
1938     30      1048004.00
1938     31      1030602.82
1938     32      1015026.95
1938     33      1000219.12
1938     34       985308.59
1938     35       969624.51
1938     36       952478.98
1938     37       934002.21
1938     38       914769.08
1938     39       895932.19
1938     40       879939.79
1938     41       868578.17
1938     42       860609.52
1938     43       853627.31
1938     44       845538.63
1938     45       833584.97
1938     46       815720.14
1938     47       793293.88
1938     48       769168.47
1938     49       744749.11
1938     50       720138.47
1938     51       695110.95
1938     52       669454.72
1938     53       643122.55
1938     54       616688.71
1938     55       591599.74
1939     12      1178044.59
1939     13      1196159.28
1939     14      1213615.03
1939     15      1227415.82
1939     16      1237565.49
1939     17      1237383.62
1939     18      1225856.28
1939     19      1210023.10
1939     20      1193194.69
1939     21      1178448.48
1939     22      1168338.47
1939     23      1161802.06
1939     24      1155635.56
1939     25      1148312.24
1939     26      1137473.07
1939     27      1122172.98
1939     28      1103151.56
1939     29      1082497.56
1939     30      1061335.28
1939     31      1041640.49
1939     32      1024560.63
1939     33      1009886.29
1939     34       996097.16
1939     35       982526.27
1939     36       967466.75
1939     37       950553.52
1939     38       932049.12
1939     39       912793.83
1939     40       893711.81
1939     41       877365.51
1939     42       865023.69
1939     43       855597.21
1939     44       846896.46
1939     45       836911.18
1939     46       823845.91
1939     47       805897.91
1939     48       784177.38
1939     49       761037.97
1939     50       737222.43
1939     51       713014.42
1939     52       687609.60
1939     53       661027.63
1939     54       633680.02
1939     55       606555.07
1940     12      1159800.00
1940     13      1182272.35
1940     14      1201485.52
1940     15      1214961.08
1940     16      1227754.26
1940     17      1236549.21
1940     18      1234087.71
1940     19      1222798.80
1940     20      1206642.01
1940     21      1191036.17
1940     22      1177071.19
1940     23      1167348.21
1940     24      1160877.69
1940     25      1156981.24
1940     26      1148672.71
1940     27      1136876.27
1940     28      1120592.28
