United States, Female exposure to risk by calendar year, age and parity
Last modified: 24/03/2023
Year   Age            E0x            E1x            E2x            E3x           E4px
1963    12     1775299.47           0.00           0.00           0.00           0.00
1963    13     1707033.84         212.63           2.09           0.00           0.00
1963    14     1740132.07        3635.97         151.78           2.09           0.00
1963    15     1713349.48       15549.26        1000.92          53.93           0.78
1963    16     1713143.87       48303.09        5443.79         451.02          36.50
1963    17     1290565.05       88260.19       16262.11        1946.87         216.05
1963    18     1177701.13      156176.68       41991.48        7074.66        1033.99
1963    19     1031450.74      235255.23       82886.10       19078.38        3876.03
1963    20      924665.90      326340.64      148257.53       42579.16       11885.52
1963    21      680272.88      334315.10      198193.21       69497.69       24977.59
1963    22      511021.90      325027.28      244617.68      103956.57       45899.39
1963    23      386725.93      299693.71      276495.64      137286.25       73719.87
1963    24      305543.66      275877.07      303559.67      169722.34      108251.62
1963    25      244965.09      246061.12      313966.96      194688.62      143866.72
1963    26      199127.41      212900.80      308568.81      210381.56      177246.97
1963    27      166796.64      188887.78      307415.12      227966.16      214189.70
1963    28      143572.00      169029.22      302407.75      241442.46      248826.38
1963    29      130170.51      148728.19      286341.75      241577.12      270528.91
1963    30      132021.00      142900.20      290747.40      254217.45      305250.42
1963    31      130168.99      134838.13      283013.59      254662.19      322282.87
1963    32      131554.73      132240.21      282707.76      260560.34      343906.47
1963    33      133937.59      134819.46      282216.62      260871.34      358131.09
1963    34      136769.98      149255.82      285632.50      262664.66      368392.08
1963    35      129706.58      164467.99      290917.17      264726.69      375153.82
1963    36      131144.66      168322.84      300702.67      265074.68      379727.67
1963    37      142878.11      162237.89      310573.93      265965.11      379823.20
1963    38      147418.55      161481.98      319746.95      267200.81      379129.13
1963    39      155329.01      167697.92      325433.85      264229.59      373041.15
1963    40      168563.14      173629.42      325433.43      258118.89      362251.11
1963    41      173581.77      180925.91      319891.77      250892.29      351972.98
1963    42      176524.97      186060.84      310513.02      241728.95      340700.88
1963    43      190323.11      188756.87      300129.31      228459.74      320867.61
1963    44      208035.05      189762.69      291726.63      213698.09      296549.65
1963    45              .              .              .              .              .
1963    46              .              .              .              .              .
1963    47              .              .              .              .              .
1963    48              .              .              .              .              .
1963    49              .              .              .              .              .
1963    50              .              .              .              .              .
1963    51              .              .              .              .              .
1963    52              .              .              .              .              .
1963    53              .              .              .              .              .
1963    54              .              .              .              .              .
1963    55              .              .              .              .              .
1964    12     1814905.49           0.00           0.00           0.00           0.00
1964    13     1760282.83         226.34           2.13           0.00           0.00
1964    14     1749404.83        3754.63         162.97           2.15           0.00
1964    15     1707748.43       15763.28        1096.38          51.95           1.88
1964    16     1661140.50       45522.83        4937.61         401.20          27.18
1964    17     1658121.82      107772.50       18495.82        2236.77         251.23
1964    18     1211810.49      155175.65       39971.69        6766.85        1014.99
1964    19     1038350.53      232220.94       79436.69       17981.63        3676.68
1964    20      909716.58      313629.65      137344.65       38930.60       10730.87
1964    21      776800.06      368084.10      209530.14       71001.24       25259.17
1964    22      566327.81      345472.53      252109.06      102273.69       44540.17
1964    23      421847.63      315674.38      284832.74      137843.57       72322.78
1964    24      324705.34      284676.22      307580.11      171173.81      107221.91
1964    25      253915.40      251477.80      318424.27      197180.47      143692.24
1964    26      205447.12      220614.95      318525.07      217113.95      180587.26
1964    27      171505.33      192023.19      308921.78      229303.23      215436.14
1964    28      145106.20      170271.98      301627.88      241497.63      250751.58
