United States, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 24/03/2023
Year   Age   Cohort      Exposure
1933    12    1921      623955.95
1933    12    1920      614036.05
1933    13    1920      613443.02
1933    13    1919      603044.06
1933    14    1919      602807.06
1933    14    1918      594251.04
1933    15    1918      594054.18
1933    15    1917      588081.58
1933    16    1917      587859.82
1933    16    1916      585151.10
1933    17    1916      584849.78
1933    17    1915      583430.01
1933    18    1915      583004.57
1933    18    1914      581097.46
1933    19    1914      580549.00
1933    19    1913      577952.89
1933    20    1913      577296.37
1933    20    1912      573669.74
1933    21    1912      572839.56
1933    21    1911      568051.09
1933    22    1911      566936.56
1933    22    1910      561631.03
1933    23    1910      560172.90
1933    23    1909      555047.65
1933    24    1909      553254.36
1933    24    1908      547991.85
1933    25    1908      545843.40
1933    25    1907      539669.59
1933    26    1907      537313.24
1933    26    1906      529934.46
1933    27    1906      527649.96
1933    27    1905      519494.00
1933    28    1905      517507.39
1933    28    1904      509033.05
1933    29    1904      507372.33
1933    29    1903      498723.35
1933    30    1903      497386.92
1933    30    1902      488701.12
1933    31    1902      487634.57
1933    31    1901      479141.39
1933    32    1901      478209.10
1933    32    1900      469829.48
1933    33    1900      468896.71
1933    33    1899      460141.06
1933    34    1899      459179.10
1933    34    1898      451245.26
1933    35    1898      450288.09
1933    35    1897      445866.46
1933    36    1897      444804.19
1933    36    1896      444600.47
1933    37    1896      443247.94
1933    37    1895      445243.17
1933    38    1895      443463.48
1933    38    1894      446231.26
1933    39    1894      444013.61
1933    39    1893      445778.99
1933    40    1893      443085.96
1933    40    1892      440308.73
1933    41    1892      437300.91
1933    41    1891      428710.98
1933    42    1891      425723.94
1933    42    1890      413991.79
1933    43    1890      411291.11
1933    43    1889      398777.50
1933    44    1889      396382.07
1933    44    1888      383901.22
1933    45    1888      381836.66
1933    45    1887      370740.06
1933    46    1887      368867.98
1933    46    1886      359867.61
1933    47    1886      357903.14
1933    47    1885      349944.31
1933    48    1885      347654.78
1933    48    1884      339681.99
1933    49    1884      337055.86
1933    49    1883      329199.67
1933    50    1883      326249.66
1933    50    1882      318863.36
1933    51    1882      315652.17
1933    51    1881      308729.12
1933    52    1881      305416.90
1933    52    1880      298766.87
1933    53    1880      295491.77
1933    53    1879      289034.89
1933    54    1879      285818.99
1933    54    1878      279250.07
1933    55    1878      276075.76
1933    55    1877      268780.04
1934    12    1922      621762.23
1934    12    1921      623724.74
1934    13    1921      622790.10
1934    13    1920      613193.10
1934    14    1920      612873.90
1934    14    1919      602526.20
1934    15    1919      602645.92
1934    15    1918      593732.25
1934    16    1918      593945.28
1934    16    1917      587495.05
1934    17    1917      587683.95
1934    17    1916      584442.52
1934    18    1916      584516.97
1934    18    1915      582555.17
1934    19    1915      582479.04
1934    19    1914      580057.79
1934    20    1914      579840.78
1934    20    1913      576764.84
1934    21    1913      576331.28
1934    21    1912      572274.11
1934    22    1912      571457.39
1934    22    1911      566344.74
1934    23    1911      564975.07
1934    23    1910      559562.28
1934    24    1910      557571.76
1934    24    1909      552632.48
1934    25    1909      549981.35
1934    25    1908      545216.75
1934    26    1908      542021.55
1934    26    1907      536684.12
1934    27    1907      533357.55
1934    27    1906      527019.61
1934    28    1906      524060.94
1934    28    1905      516877.04
1934    29    1905      514539.19
1934    29    1904      506743.21
1934    30    1904      505045.33
1934    30    1903      496759.05
1934    31    1903      495648.25
1934    31    1902      487003.11
1934    32    1902      486294.59
1934    32    1901      477567.98
1934    33    1901      476993.51
1934    33    1900      468239.87
1934    34    1900      467643.45
1934    34    1899      458500.47
1934    35    1899      457920.80
1934    35    1898      449583.04
1934    36    1898      448952.83
1934    36    1897      444073.58
1934    37    1897      443110.25
1934    37    1896      442494.06
1934    38    1896      440872.37
1934    38    1895      442688.62
1934    39    1895      440263.39
1934    39    1894      443220.05
1934    40    1894      439927.37
1934    40    1893      442275.17
1934    41    1893      438228.87
1934    41    1892      436471.03
1934    42    1892      432159.82
1934    42    1891      424872.32
1934    43    1891      420898.14
1934    43    1890      410415.06
1934    44    1890      407057.33
1934    44    1889      395478.93
1934    45    1889      392802.40
1934    45    1888      380903.59
1934    46    1888      378789.95
1934    46    1887      367901.52
1934    47    1887      365951.00
1934    47    1886      356899.66
1934    48    1886      354602.79
1934    48    1885      346610.65
1934    49    1885      343735.27
1934    49    1884      335967.45
1934    50    1884      332524.42
1934    50    1883      325115.19
1934    51    1883      321177.65
1934    51    1882      314477.58
1934    52    1882      310268.64
1934    52    1881      304210.00
1934    53    1881      300004.92
1934    53    1880      294260.38
1934    54    1880      290203.44
1934    54    1879      284570.91
1934    55    1879      280644.00
1934    55    1878      274815.02
1935    12    1923      615585.09
1935    12    1922      621526.63
1935    13    1922      621437.54
1935    13    1921      622535.18
1935    14    1921      621467.40
1935    14    1920      612588.77
1935    15    1920      612121.42
1935    15    1919      602321.59
1935    16    1919      602304.00
1935    16    1918      593580.35
1935    17    1918      593647.02
1935    17    1917      587278.92
1935    18    1917      587326.12
1935    18    1916      584072.34
1935    19    1916      584023.90
1935    19    1915      581995.31
1935    20    1915      581800.12
1935    20    1914      579319.32
1935    21    1914      578957.66
1935    21    1913      575777.38
1935    22    1913      575211.90
1935    22    1912      570877.21
1935    23    1912      569958.91
1935    23    1911      564374.81
1935    24    1911      562931.90
1935    24    1910      556957.59
1935    25    1910      554898.04
1935    25    1909      549358.82
1935    26    1909      546653.58
1935    26    1908      541393.77
1935    27    1908      538150.32
1935    27    1907      532726.98
1935    28    1907      529351.86
1935    28    1906      523430.07
1935    29    1906      520424.07
1935    29    1905      513910.48
1935    30    1905      511512.29
1935    30    1904      504419.72
1935    31    1904      502656.17
1935    31    1903      495020.58
1935    32    1903      493837.82
1935    32    1902      485658.17
1935    33    1902      484851.51
1935    33    1901      476341.65
1935    34    1901      475635.66
1935    34    1900      466969.46
1935    35    1900      466254.04
1935    35    1899      457219.49
1935    36    1899      456522.74
1935    36    1898      448225.12
1935    37    1898      447489.99
1935    37    1897      442358.55
1935    38    1897      441305.55
1935    38    1896      440099.12
1935    39    1896      438412.62
1935    39    1895      439471.02
1935    40    1895      436981.84
1935    40    1894      439117.35
1935    41    1894      435753.88
1935    41    1893      437398.82
1935    42    1893      433268.57
1935    42    1892      431306.42
1935    43    1892      426901.27
1935    43    1891      420018.06
1935    44    1891      415922.09
1935    44    1890      406147.24
1935    45    1890      402671.22
1935    45    1889      391859.07
1935    46    1889      389041.23
1935    46    1888      377810.51
1935    47    1888      375556.20
1935    47    1887      364932.67
1935    48    1887      362832.72
1935    48    1886      353542.80
1935    49    1886      351093.45
1935    49    1885      342630.84
1935    50    1885      339606.34
1935    50    1884      331374.39
1935    51    1884      327770.47
1935    51    1883      319987.23
1935    52    1883      315899.25
1935    52    1882      309044.66
1935    53    1882      304693.72
1935    53    1881      298754.21
1935    54    1881      294421.19
1935    54    1880      288932.81
1935    55    1880      284747.89
1935    55    1879      279357.09
1936    12    1924      610558.58
1936    12    1923      615351.78
1936    13    1923      615682.73
1936    13    1922      621181.39
1936    14    1922      620879.10
1936    14    1921      621177.89
1936    15    1921      619890.08
1936    15    1920      611790.10
1936    16    1920      611118.68
1936    16    1919      601930.64
1936    17    1919      601702.61
1936    17    1918      593233.47
1936    18    1918      593098.72
1936    18    1917      586874.23
1936    19    1917      586741.01
1936    19    1916      583535.51
1936    20    1916      583311.18
1936    20    1915      581277.59
1936    21    1915      580884.77
1936    21    1914      578404.85
1936    22    1914      577860.08
1936    22    1913      574633.24
1936    23    1913      573916.32
1936    23    1912      569358.81
1936    24    1912      568317.74
1936    24    1911      562314.78
1936    25    1911      560755.14
1936    25    1910      554268.31
1936    26    1910      552106.34
1936    26    1909      546015.51
1936    27    1909      543213.37
1936    27    1908      537508.18
1936    28    1908      534170.96
1936    28    1907      528709.92
1936    29    1907      525244.28
1936    29    1906      519786.60
1936    30    1906      516678.05
1936    30    1905      510881.41
1936    31    1905      508375.14
1936    31    1904      502025.33
1936    32    1904      500148.28
1936    32    1903      493198.33
1936    33    1903      491875.70
1936    33    1902      484194.67
1936    34    1902      483213.93
1936    34    1901      474952.78
1936    35    1901      474084.97
1936    35    1900      465538.53
1936    36    1900      464666.18
1936    36    1899      455776.80
1936    37    1899      454935.50
1936    37    1898      446717.97
1936    38    1898      445853.66
1936    38    1897      440511.78
1936    39    1897      439353.57
1936    39    1896      437601.43
1936    40    1896      435813.48
1936    40    1895      436156.03
1936    41    1895      433563.84
1936    41    1894      434910.08
1936    42    1894      431436.73
1936    42    1893      432401.85
1936    43    1893      428161.02
1936    43    1892      426006.72
1936    44    1892      421467.35
1936    44    1891      414994.78
1936    45    1891      410767.46
1936    45    1890      401706.86
1936    46    1890      398069.84
1936    46    1889      388037.91
1936    47    1889      385053.52
1936    47    1888      374512.63
1936    48    1888      372076.70
1936    48    1887      361747.61
1936    49    1887      359461.49
1936    49    1886      349965.52
1936    50    1886      347341.30
1936    50    1885      338435.22
1936    51    1885      335239.92
1936    51    1884      326559.87
1936    52    1884      322812.49
1936    52    1883      314653.82
1936    53    1883      310444.32
1936    53    1882      303418.11
1936    54    1882      298967.45
1936    54    1881      293120.05
1936    55    1881      288682.74
1936    55    1880      283423.57
1937    12    1925      601272.57
1937    12    1924      610340.16
1937    13    1924      610420.34
1937    13    1923      615439.55
1937    14    1923      616019.22
1937    14    1922      620600.14
1937    15    1922      620533.19
1937    15    1921      619566.65
1937    16    1921      618527.97
1937    16    1920      610751.46
1937    17    1920      610310.24
1937    17    1919      601294.60
1937    18    1919      601294.48
1937    18    1918      592652.92
1937    19    1918      592757.99
1937    19    1917      586260.41
1937    20    1917      586364.23
1937    20    1916      582798.70
1937    21    1916      582786.11
1937    21    1915      580344.42
1937    22    1915      580174.11
1937    22    1914      577295.79
1937    23    1914      576998.48
1937    23    1913      573332.03
1937    24    1913      572881.43
1937    24    1912      567717.39
1937    25    1912      566937.24
1937    25    1911      560142.53
1937    26    1911      558843.34
1937    26    1910      551485.21
1937    27    1910      549578.69
1937    27    1909      542587.35
1937    28    1909      540039.26
1937    28    1908      533543.68
1937    29    1908      530463.80
1937    29    1907      524619.35
1937    30    1907      521409.01
1937    30    1906      516057.16
1937    31    1906      513205.13
1937    31    1905      507752.32
1937    32    1905      505500.29
1937    32    1904      499515.62
1937    33    1904      497862.43
1937    33    1903      491225.29
1937    34    1903      490080.09
1937    34    1902      482537.87
1937    35    1902      481728.60
1937    35    1901      473377.31
1937    36    1901      472666.84
1937    36    1900      463928.24
1937    37    1900      463209.48
1937    37    1899      454170.54
1937    38    1899      453486.51
1937    38    1898      445064.92
1937    39    1898      444372.63
1937    39    1897      438544.32
1937    40    1897      437557.17
1937    40    1896      434985.82
1937    41    1896      433366.62
1937    41    1895      432715.24
1937    42    1895      430287.14
1937    42    1894      430563.54
1937    43    1894      427255.73
1937    43    1893      427259.56
1937    44    1893      423163.65
1937    44    1892      420533.96
1937    45    1892      416146.34
1937    45    1891      409798.60
1937    46    1891      405689.93
1937    46    1890      397062.55
1937    47    1890      393530.50
1937    47    1889      384004.97
1937    48    1889      381099.78
1937    48    1888      370984.08
1937    49    1888      368605.35
1937    49    1887      358321.96
1937    50    1887      356082.92
1937    50    1886      346153.59
1937    51    1886      343563.30
1937    51    1885      334008.83
1937    52    1885      330860.83
1937    52    1884      321544.36
1937    53    1884      317854.02
1937    53    1883      309145.51
1937    54    1883      305009.11
1937    54    1882      297644.30
1937    55    1882      293259.05
1937    55    1881      287338.88
1938    12    1926      593360.03
1938    12    1925      601078.61
1938    13    1925      601875.56
1938    13    1924      610202.77
1938    14    1924      610674.51
1938    14    1923      615766.87
1938    15    1923      616721.55
1938    15    1922      620237.40
1938    16    1922      620557.30
1938    16    1921      618190.14
1938    17    1921      617516.10
1938    17    1920      609934.26
1938    18    1920      609849.14
1938    18    1919      600884.22
1938    19    1919      601244.94
1938    19    1918      592317.36
1938    20    1918      592771.48
1938    20    1917      585896.55
1938    21    1917      586318.12
1938    21    1916      582295.07
1938    22    1916      582606.56
1938    22    1915      579662.89
1938    23    1915      579840.82
1938    23    1914      576470.27
1938    24    1914      576542.44
1938    24    1913      572339.41
1938    25    1913      572256.58
1938    25    1912      566384.38
1938    26    1912      565972.84
1938    26    1911      558282.36
1938    27    1911      557348.11
1938    27    1910      549012.11
1938    28    1910      547466.48
1938    28    1909      539469.56
1938    29    1909      537278.86
1938    29    1908      529893.50
1938    30    1908      527164.93
1938    30    1907      520839.08
1938    31    1907      517972.16
1938    31    1906      512630.66
1938    32    1906      510112.10
1938    32    1905      504914.85
1938    33    1905      502959.53
1938    33    1904      497259.58
1938    34    1904      495855.19
1938    34    1903      489453.41
1938    35    1903      488551.23
1938    35    1902      481073.28
1938    36    1902      480495.70
1938    36    1901      471983.28
1938    37    1901      471502.47
1938    37    1900      462499.74
1938    38    1900      462016.45
1938    38    1899      452752.64
1938    39    1899      452315.52
1938    39    1898      443616.67
1938    40    1898      443159.55
1938    40    1897      436780.24
1938    41    1897      436011.91
1938    41    1896      432566.26
1938    42    1896      431149.58
1938    42    1895      429459.95
1938    43    1895      427229.01
1938    43    1894      426398.30
1938    44    1894      423266.05
1938    44    1893      422272.58
1938    45    1893      418366.63
1938    45    1892      415218.34
1938    46    1892      410997.99
1938    46    1891      404722.15
1938    47    1891      400773.68
1938    47    1890      392520.20
1938    48    1890      389124.27
1938    48    1889      380044.20
1938    49    1889      377247.37
1938    49    1888      367501.74
1938    50    1888      365208.39
1938    50    1887      354930.08
1938    51    1887      352745.27
1938    51    1886      342365.68
1938    52    1886      339830.30
1938    52    1885      329624.42
1938    53    1885      326537.74
1938    53    1884      316584.81
1938    54    1884      312975.62
1938    54    1883      303713.10
