United States, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 24/03/2023
Year    ARDY   Cohort       Exposure
1933     12     1921       623955.95
1933     13     1920      1227479.07
1933     14     1919      1205851.11
1933     15     1918      1188305.23
1933     16     1917      1175941.40
1933     17     1916      1170000.88
1933     18     1915      1166434.58
1933     19     1914      1161646.46
1933     20     1913      1155249.26
1933     21     1912      1146509.29
1933     22     1911      1134987.65
1933     23     1910      1121803.93
1933     24     1909      1108302.01
1933     25     1908      1093835.25
1933     26     1907      1076982.83
1933     27     1906      1057584.43
1933     28     1905      1037001.39
1933     29     1904      1016405.38
1933     30     1903       996110.26
1933     31     1902       976335.69
1933     32     1901       957350.49
1933     33     1900       938726.19
1933     34     1899       919320.16
1933     35     1898       901533.35
1933     36     1897       890670.65
1933     37     1896       887848.41
1933     38     1895       888706.65
1933     39     1894       890244.87
1933     40     1893       888864.96
1933     41     1892       877609.63
1933     42     1891       854434.93
1933     43     1890       825282.90
1933     44     1889       795159.57
1933     45     1888       765737.88
1933     46     1887       739608.04
1933     47     1886       717770.75
1933     48     1885       697599.09
1933     49     1884       676737.86
1933     50     1883       655449.33
1933     51     1882       634515.53
1933     52     1881       614146.02
1933     53     1880       594258.64
1933     54     1879       574853.87
1933     55     1878       555325.82
1934     12     1922       621762.23
1934     13     1921      1246514.84
1934     14     1920      1226067.00
1934     15     1919      1205172.12
1934     16     1918      1187677.53
1934     17     1917      1175179.00
1934     18     1916      1168959.49
1934     19     1915      1165034.21
1934     20     1914      1159898.57
1934     21     1913      1153096.12
1934     22     1912      1143731.50
1934     23     1911      1131319.81
1934     24     1910      1117134.04
1934     25     1909      1102613.83
1934     26     1908      1087238.30
1934     27     1907      1070041.67
1934     28     1906      1051080.56
1934     29     1905      1031416.23
1934     30     1904      1011788.54
1934     31     1903       992407.30
1934     32     1902       973297.71
1934     33     1901       954561.49
1934     34     1900       935883.31
1934     35     1899       916421.27
1934     36     1898       898535.87
1934     37     1897       887183.83
1934     38     1896       883366.43
1934     39     1895       882952.01
1934     40     1894       883147.43
1934     41     1893       880504.04
1934     42     1892       868630.85
1934     43     1891       845770.46
1934     44     1890       817472.39
1934     45     1889       788281.33
1934     46     1888       759693.54
1934     47     1887       733852.51
1934     48     1886       711502.45
1934     49     1885       690345.92
1934     50     1884       668491.87
1934     51     1883       646292.83
1934     52     1882       624746.22
1934     53     1881       604214.92
1934     54     1880       584463.82
1934     55     1879       565214.90
1935     12     1923       615585.09
1935     13     1922      1242964.17
1935     14     1921      1244002.58
1935     15     1920      1224710.19
1935     16     1919      1204625.59
1935     17     1918      1187227.37
1935     18     1917      1174605.04
1935     19     1916      1168096.24
1935     20     1915      1163795.44
1935     21     1914      1158276.98
1935     22     1913      1150989.27
1935     23     1912      1140836.12
1935     24     1911      1127306.70
1935     25     1910      1111855.63
1935     26     1909      1096012.41
1935     27     1908      1079544.09
1935     28     1907      1062078.84
1935     29     1906      1043854.13
1935     30     1905      1025422.76
1935     31     1904      1007075.89
1935     32     1903       988858.40
1935     33     1902       970509.68
1935     34     1901       951977.30
1935     35     1900       933223.49
1935     36     1899       913742.23
1935     37     1898       895715.10
1935     38     1897       883664.11
1935     39     1896       878511.74
1935     40     1895       876452.86
1935     41     1894       874871.23
1935     42     1893       870667.40
1935     43     1892       858207.69
1935     44     1891       835940.15
1935     45     1890       808818.47
1935     46     1889       780900.30
1935     47     1888       753366.71
1935     48     1887       727765.38
1935     49     1886       704636.25
1935     50     1885       682237.18
1935     51     1884       659144.86
1935     52     1883       635886.48
1935     53     1882       613738.38
1935     54     1881       593175.40
1935     55     1880       573680.70
1936     12     1924       610558.58
1936     13     1923      1231034.51
1936     14     1922      1242060.49
1936     15     1921      1241067.97
1936     16     1920      1222908.78
1936     17     1919      1203633.25
1936     18     1918      1186332.19
1936     19     1917      1173615.24
1936     20     1916      1166846.68
1936     21     1915      1162162.36
1936     22     1914      1156264.94
1936     23     1913      1148549.56
1936     24     1912      1137676.56
1936     25     1911      1123069.92
1936     26     1910      1106374.65
1936     27     1909      1089228.88
1936     28     1908      1071679.14
1936     29     1907      1053954.20
1936     30     1906      1036464.65
1936     31     1905      1019256.55
1936     32     1904      1002173.61
1936     33     1903       985074.03
1936     34     1902       967408.60
1936     35     1901       949037.74
1936     36     1900       930204.71
1936     37     1899       910712.31
1936     38     1898       892571.62
1936     39     1897       879865.35
1936     40     1896       873414.92
1936     41     1895       869719.87
1936     42     1894       866346.81
1936     43     1893       860562.87
1936     44     1892       847474.07
1936     45     1891       825762.24
1936     46     1890       799776.70
1936     47     1889       773091.42
1936     48     1888       746589.33
1936     49     1887       721209.09
1936     50     1886       697306.81
1936     51     1885       673675.14
1936     52     1884       649372.36
1936     53     1883       625098.14
1936     54     1882       602385.56
1936     55     1881       581802.80
1937     12     1925       601272.57
1937     13     1924      1220760.51
1937     14     1923      1231458.77
1937     15     1922      1241133.33
1937     16     1921      1238094.62
1937     17     1920      1221061.71
1937     18     1919      1202589.07
1937     19     1918      1185410.91
1937     20     1917      1172624.64
1937     21     1916      1165584.81
1937     22     1915      1160518.54
1937     23     1914      1154294.27
1937     24     1913      1146213.46
1937     25     1912      1134654.63
1937     26     1911      1118985.86
1937     27     1910      1101063.91
1937     28     1909      1082626.61
1937     29     1908      1064007.48
1937     30     1907      1046028.36
1937     31     1906      1029262.29
1937     32     1905      1013252.61
1937     33     1904       997378.05
1937     34     1903       981305.39
1937     35     1902       964266.48
1937     36     1901       946044.15
1937     37     1900       927137.72
1937     38     1899       907657.05
1937     39     1898       889437.55
1937     40     1897       876101.48
1937     41     1896       868352.44
1937     42     1895       863002.39
1937     43     1894       857819.28
1937     44     1893       850423.22
1937     45     1892       836680.30
1937     46     1891       815488.52
1937     47     1890       790593.05
1937     48     1889       765104.75
1937     49     1888       739589.43
1937     50     1887       714404.88
1937     51     1886       689716.89
1937     52     1885       664869.65
1937     53     1884       639398.38
1937     54     1883       614154.62
1937     55     1882       590903.36
1938     12     1926       593360.03
1938     13     1925      1202954.18
1938     14     1924      1220877.27
1938     15     1923      1232488.42
1938     16     1922      1240794.70
1938     17     1921      1235706.23
1938     18     1920      1219783.39
1938     19     1919      1202129.17
1938     20     1918      1185088.84
1938     21     1917      1172214.67
1938     22     1916      1164901.63
1938     23     1915      1159503.72
1938     24     1914      1153012.71
1938     25     1913      1144596.00
1938     26     1912      1132357.22
1938     27     1911      1115630.48
1938     28     1910      1096478.59
1938     29     1909      1076748.43
1938     30     1908      1057058.43
1938     31     1907      1038811.23
1938     32     1906      1022742.76
1938     33     1905      1007874.38
1938     34     1904       993114.77
1938     35     1903       978004.64
1938     36     1902       961568.98
1938     37     1901       943485.75
1938     38     1900       924516.18
1938     39     1899       905068.16
1938     40     1898       886776.22
1938     41     1897       872792.16
1938     42     1896       863715.84
1938     43     1895       856688.95
1938     44     1894       849664.35
1938     45     1893       840639.21
1938     46     1892       826216.33
1938     47     1891       805495.83
1938     48     1890       781644.47
1938     49     1889       757291.57
1938     50     1888       732710.14
1938     51     1887       707675.34
1938     52     1886       682195.98
1938     53     1885       656162.17
1938     54     1884       629560.43
1938     55     1883       603372.97
1939     12     1927       584856.23
1939     13     1926      1187667.52
1939     14     1925      1204850.09
1939     15     1924      1221410.49
1939     16     1923      1233769.03
1939     17     1922      1240459.15
1939     18     1921      1233552.63
1939     19     1920      1218651.73
1939     20     1919      1201688.55
1939     21     1918      1184920.21
1939     22     1917      1172067.22
1939     23     1916      1164583.82
1939     24     1915      1158948.81
1939     25     1914      1152611.56
1939     26     1913      1143767.56
1939     27     1912      1130805.50
1939     28     1911      1113038.03
1939     29     1910      1092687.08
1939     30     1909      1071449.70
