United States, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 24/03/2023
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1933     27.97     23.32     26.00     28.15     30.00     34.49     27.21     23.22     25.84     27.85     29.52     32.95
1934     27.84     23.30     26.06     28.16     29.96     34.45     27.11     23.20     25.91     27.86     29.48     32.92
1935     27.71     23.36     26.12     28.22     29.96     34.43     27.01     23.27     25.97     27.92     29.47     32.89
1936     27.60     23.49     26.07     28.21     29.93     34.37     26.92     23.40     25.92     27.91     29.44     32.83
1937     27.44     23.52     26.05     28.14     29.91     34.28     26.80     23.44     25.91     27.85     29.40     32.78
1938     27.36     23.61     26.12     28.10     29.88     34.26     26.75     23.53     25.98     27.81     29.39     32.76
1939     27.33     23.72     26.17     28.08     29.86     34.15     26.75     23.64     26.04     27.81     29.37     32.68
1940     27.28     23.88     26.22     27.98     29.63     33.97     26.72     23.79     26.09     27.70     29.16     32.51
1941     27.13     23.91     26.31     28.02     29.64     33.87     26.62     23.83     26.18     27.75     29.17     32.45
1942     26.98     24.00     26.41     28.10     29.64     33.82     26.52     23.92     26.28     27.84     29.20     32.42
1943     27.18     23.97     26.56     28.28     29.74     33.74     26.72     23.87     26.43     28.02     29.29     32.38
1944     27.46     23.96     26.83     28.47     29.83     33.69     26.96     23.84     26.67     28.19     29.38     32.35
1945     27.74     24.03     27.25     28.97     30.14     33.78     27.22     23.89     27.08     28.65     29.65     32.40
1946     27.31     24.20     26.90     28.90     30.13     33.65     26.86     24.09     26.73     28.60     29.65     32.30
1947     26.84     23.82     26.69     28.77     30.21     33.62     26.43     23.72     26.53     28.47     29.71     32.27
1948     26.69     23.49     26.26     28.46     30.04     33.42     26.27     23.38     26.10     28.16     29.55     32.13
1949     26.64     23.39     26.03     28.18     29.79     33.25     26.23     23.27     25.88     27.90     29.34     32.00
1950     26.65     23.27     26.00     28.02     29.68     33.12     26.25     23.15     25.85     27.76     29.24     31.90
1951     26.56     23.11     25.95     27.96     29.54     32.96     26.17     23.00     25.79     27.70     29.11     31.78
1952     26.62     23.09     25.91     28.01     29.49     32.77     26.23     22.98     25.75     27.76     29.08     31.64
1953     26.57     22.93     25.75     27.98     29.48     32.57     26.19     22.82     25.60     27.73     29.08     31.48
1954     26.54     22.81     25.66     27.90     29.46     32.42     26.16     22.70     25.51     27.64     29.06     31.38
1955     26.50     22.72     25.47     27.81     29.40     32.28     26.13     22.62     25.33     27.56     29.00     31.29
1956     26.40     22.55     25.30     27.67     29.29     32.18     26.04     22.46     25.15     27.42     28.92     31.22
1957     26.37     22.47     25.16     27.56     29.26     32.09     26.01     22.38     25.02     27.32     28.89     31.17
1958     26.35     22.43     25.00     27.43     29.15     31.98     26.00     22.34     24.87     27.20     28.79     31.10
1959     26.35     22.36     24.87     27.29     29.07     31.95     26.00     22.28     24.75     27.07     28.71     31.11
1960     26.36     22.32     24.82     27.18     28.99     31.89     26.01     22.24     24.69     26.96     28.64     31.05
1961     26.41     22.28     24.79     27.17     28.93     31.87     26.05     22.19     24.66     26.94     28.58     31.05
1962     26.41     22.24     24.73     27.10     28.90     31.83     26.05     22.17     24.60     26.89     28.55     31.03
1963     26.44     22.24     24.76     27.17     28.99     31.92     26.09     22.17     24.64     26.95     28.65     31.12
1964     26.51     22.38     24.82     27.27     29.12     32.05     26.15     22.30     24.70     27.05     28.78     31.25
1965     26.52     22.38     24.91     27.42     29.29     32.27     26.15     22.30     24.79     27.20     28.93     31.44
1966     26.39     22.39     24.96     27.55     29.48     32.50     26.03     22.31     24.85     27.33     29.10     31.62
1967     26.31     22.36     25.00     27.63     29.63     32.66     25.95     22.30     24.89     27.41     29.24     31.77
1968     26.22     22.51     25.12     27.69     29.70     32.84     25.88     22.44     25.02     27.48     29.33     31.92
1969     26.14     22.46     25.21     27.73     29.74     32.87     25.83     22.40     25.11     27.54     29.40     31.97
1970     26.04     22.43     25.24     27.75     29.79     32.94     25.75     22.38     25.15     27.58     29.45     32.05
1971     25.99     22.45     25.28     27.75     29.82     33.08     25.71     22.40     25.21     27.59     29.52     32.19
1972     25.89     22.42     25.46     27.90     29.97     33.35     25.62     22.37     25.38     27.73     29.65     32.39
1973     25.81     22.48     25.56     27.97     30.07     33.52     25.55     22.44     25.49     27.81     29.75     32.51
1974     25.75     22.66     25.62     27.99     30.13     33.61     25.52     22.61     25.55     27.84     29.80     32.57
1975     25.77     22.77     25.71     28.04     30.14     33.73     25.54     22.73     25.64     27.90     29.82     32.64
1976     25.85     22.96     25.84     28.13     30.15     33.72     25.64     22.92     25.78     27.99     29.85     32.63
1977     25.89     23.09     25.92     28.17     30.19     33.71     25.69     23.05     25.86     28.04     29.88     32.59
1978     25.93     23.25     26.05     28.19     30.11     33.62     25.74     23.21     25.99     28.06     29.80     32.50
1979     25.97     23.35     26.16     28.25     30.12     33.57     25.79     23.31     26.10     28.12     29.81     32.45
1980     25.98     23.44     26.24     28.28     30.09     33.42     25.80     23.40     26.18     28.15     29.77     32.31
1981     26.06     23.60     26.36     28.37     30.09     33.31     25.89     23.55     26.30     28.23     29.76     32.19
1982     26.13     23.71     26.46     28.43     30.13     33.22     25.96     23.66     26.39     28.28     29.79     32.11
1983     26.21     23.83     26.59     28.47     30.12     33.10     26.04     23.78     26.52     28.32     29.77     32.01
1984     26.31     23.96     26.74     28.54     30.07     32.99     26.13     23.90     26.66     28.37     29.73     31.94
1985     26.36     24.03     26.83     28.57     30.10     32.85     26.18     23.97     26.75     28.40     29.75     31.81
1986     26.42     24.12     26.93     28.62     30.03     32.75     26.24     24.05     26.83     28.43     29.68     31.73
1987     26.51     24.25     27.02     28.67     30.01     32.59     26.32     24.17     26.91     28.47     29.65     31.64
1988     26.55     24.31     27.08     28.68     29.94     32.44     26.37     24.23     26.96     28.48     29.59     31.51
1989     26.55     24.31     27.09     28.67     29.85     32.22     26.35     24.22     26.96     28.45     29.49     31.32
1990     26.56     24.33     27.13     28.65     29.80     32.09     26.36     24.23     26.98     28.43     29.44     31.23
1991     26.52     24.28     27.11     28.62     29.77     31.97     26.31     24.17     26.96     28.39     29.40     31.10
1992     26.58     24.35     27.16     28.65     29.78     31.96     26.36     24.23     26.99     28.41     29.39     31.08
1993     26.64     24.36     27.27     28.80     29.91     32.01     26.40     24.23     27.10     28.54     29.51     31.12
1994     26.71     24.40     27.41     28.98     30.08     32.13     26.46     24.26     27.21     28.71     29.66     31.22
1995     26.81     24.50     27.52     29.12     30.23     32.32     26.56     24.36     27.32     28.83     29.80     31.38
1996     26.94     24.66     27.58     29.13     30.26     32.31     26.67     24.51     27.37     28.83     29.81     31.38
1997     27.04     24.81     27.63     29.16     30.28     32.34     26.76     24.65     27.41     28.85     29.83     31.40
1998     27.14     24.91     27.70     29.18     30.30     32.38     26.85     24.74     27.47     28.86     29.84     31.42
1999     27.25     25.04     27.81     29.22     30.34     32.41     26.96     24.87     27.57     28.91     29.89     31.48
2000     27.39     25.20     27.92     29.31     30.42     32.46     27.09     25.02     27.68     28.99     29.94     31.50
2001     27.53     25.33     28.04     29.42     30.50     32.52     27.22     25.14     27.79     29.08     30.01     31.57
2002     27.67     25.49     28.19     29.51     30.56     32.55     27.35     25.29     27.93     29.17     30.08     31.59
2003     27.83     25.70     28.34     29.64     30.67     32.59     27.50     25.50     28.07     29.30     30.17     31.64
