United States, Cohort mean ages at birth by birth order and cohort mean ages at birth by birth order by age 40
Last modified: 24/03/2023
Cohort    CMAB     CMAB1     CMAB2     CMAB3     CMAB4    CMAB5p    CMAB40  CMAB40_1  CMAB40_2  CMAB40_3  CMAB40_4 CMAB40_5p
1918     27.88     24.14     27.15     29.44     30.99     33.68     27.43     24.05     27.00     29.11     30.43     32.52
1919     27.81     24.00     27.02     29.29     30.92     33.65     27.37     23.92     26.88     28.99     30.39     32.53
1920     27.80     23.92     26.93     29.23     30.93     33.65     27.37     23.85     26.80     28.95     30.43     32.57
1921     27.68     23.79     26.76     29.14     30.87     33.59     27.28     23.72     26.63     28.88     30.41     32.55
1922     27.55     23.64     26.55     29.03     30.78     33.49     27.18     23.57     26.44     28.80     30.37     32.53
1923     27.45     23.49     26.38     28.92     30.69     33.37     27.11     23.42     26.29     28.70     30.31     32.50
1924     27.35     23.35     26.22     28.76     30.56     33.21     27.04     23.29     26.13     28.57     30.22     32.42
1925     27.21     23.20     26.04     28.54     30.33     33.00     26.92     23.14     25.96     28.37     30.03     32.28
1926     27.02     23.01     25.86     28.34     30.08     32.73     26.76     22.95     25.78     28.18     29.82     32.10
1927     26.82     22.82     25.66     28.07     29.81     32.45     26.59     22.77     25.58     27.94     29.58     31.89
1928     26.63     22.70     25.43     27.79     29.54     32.17     26.42     22.66     25.36     27.67     29.33     31.65
1929     26.44     22.60     25.19     27.51     29.24     31.84     26.26     22.56     25.13     27.40     29.06     31.37
1930     26.27     22.52     25.00     27.27     28.99     31.53     26.10     22.49     24.94     27.18     28.84     31.11
1931     26.03     22.40     24.80     27.04     28.72     31.21     25.88     22.36     24.74     26.96     28.58     30.82
1932     25.80     22.26     24.61     26.80     28.43     30.90     25.66     22.23     24.56     26.73     28.31     30.54
1933     25.59     22.16     24.47     26.60     28.20     30.62     25.47     22.12     24.42     26.53     28.09     30.27
1934     25.41     22.07     24.36     26.44     28.00     30.35     25.29     22.04     24.31     26.38     27.89     30.01
1935     25.23     22.01     24.28     26.30     27.81     30.12     25.12     21.97     24.23     26.23     27.69     29.78
1936     25.06     21.96     24.21     26.16     27.62     29.92     24.95     21.93     24.17     26.09     27.51     29.57
1937     24.90     21.94     24.15     26.06     27.48     29.74     24.78     21.90     24.11     25.99     27.36     29.38
1938     24.75     21.91     24.12     25.98     27.37     29.63     24.64     21.87     24.08     25.90     27.24     29.25
1939     24.66     21.91     24.14     25.94     27.32     29.57     24.54     21.87     24.09     25.86     27.17     29.16
1940     24.63     21.97     24.22     25.99     27.37     29.59     24.51     21.93     24.17     25.90     27.21     29.15
1941     24.65     22.08     24.37     26.14     27.49     29.71     24.52     22.04     24.31     26.03     27.32     29.22
1942     24.71     22.23     24.57     26.35     27.67     29.87     24.58     22.18     24.50     26.24     27.47     29.35
1943     24.78     22.34     24.75     26.54     27.85     30.03     24.64     22.29     24.68     26.41     27.63     29.48
1944     24.87     22.45     24.94     26.75     28.03     30.28     24.72     22.38     24.85     26.60     27.79     29.67
1945     25.02     22.61     25.18     27.02     28.28     30.56     24.85     22.54     25.09     26.86     28.01     29.90
1946     25.20     22.82     25.49     27.37     28.67     30.93     25.02     22.73     25.38     27.18     28.36     30.22
1947     25.37     22.99     25.75     27.68     29.01     31.31     25.18     22.90     25.62     27.46     28.67     30.55
1948     25.52     23.12     25.95     27.93     29.28     31.61     25.32     23.02     25.81     27.70     28.90     30.79
1949     25.71     23.28     26.16     28.19     29.56     31.91     25.48     23.16     26.00     27.93     29.16     31.04
1950     25.91     23.46     26.39     28.44     29.85     32.22     25.67     23.33     26.22     28.17     29.42     31.31
1951     26.11     23.66     26.63     28.67     30.11     32.46     25.85     23.52     26.44     28.39     29.67     31.53
1952     26.28     23.83     26.82     28.85     30.31     32.64     26.01     23.68     26.62     28.56     29.86     31.70
