United States, Conditional fertility rates by calendar year, age and birth order
Last modified: 24/03/2023
Year  Age       m1x       m2x       m3x       m4x      m5px
1963   12-  0.00000         .         .         .         .
1963   13   0.00025   0.10944         .         .         .
1963   14   0.00391   0.08792   0.10812         .         .
1963   15   0.01146   0.10148   0.10042   0.00000         .
1963   16   0.02970   0.15183   0.13054   0.12944   0.05506
1963   17   0.06026   0.21813   0.17722   0.15817   0.24217
1963   18   0.09541   0.26113   0.20082   0.18515   0.21016
1963   19   0.14622   0.28450   0.23990   0.22410   0.22684
1963   20   0.16791   0.29733   0.23878   0.23825   0.23886
1963   21   0.18509   0.31891   0.24246   0.23740   0.24309
1963   22   0.19331   0.32185   0.23766   0.22678   0.25023
1963   23   0.19741   0.31794   0.23368   0.22641   0.25511
1963   24   0.19208   0.30305   0.21329   0.20556   0.23332
1963   25   0.18155   0.29046   0.20095   0.19288   0.22896
1963   26   0.16285   0.26817   0.18567   0.17909   0.21590
1963   27   0.14601   0.24479   0.16889   0.16425   0.20420
1963   28   0.13119   0.22123   0.15427   0.14837   0.19177
1963   29   0.10903   0.19510   0.13617   0.13286   0.17464
1963   30   0.09038   0.16439   0.11620   0.11648   0.16238
1963   31   0.07241   0.13993   0.10257   0.10500   0.14629
1963   32   0.06180   0.12750   0.09043   0.09557   0.14423
1963   33   0.04863   0.09983   0.07588   0.08305   0.13230
1963   34   0.04035   0.07336   0.06238   0.06938   0.11562
1963   35   0.03568   0.05835   0.05224   0.06114   0.10871
1963   36   0.02884   0.04490   0.04082   0.05077   0.09619
1963   37   0.02247   0.03756   0.03152   0.04084   0.08715
1963   38   0.01789   0.03050   0.02622   0.03498   0.07982
1963   39   0.01360   0.02185   0.01902   0.02654   0.06596
1963   40   0.00839   0.01600   0.01375   0.02022   0.05262
1963   41   0.00576   0.00947   0.00920   0.01384   0.03933
1963   42   0.00416   0.00703   0.00659   0.01022   0.03197
1963   43   0.00212   0.00365   0.00356   0.00607   0.02139
1963   44   0.00085   0.00173   0.00206   0.00305   0.01161
1963   45         .         .         .         .         .
1963   46         .         .         .         .         .
1963   47         .         .         .         .         .
1963   48         .         .         .         .         .
1963   49         .         .         .         .         .
1963   50         .         .         .         .         .
1963   51         .         .         .         .         .
1963   52         .         .         .         .         .
1963   53         .         .         .         .         .
1963   54         .         .         .         .         .
1963   55+        .         .         .         .         .
1964   12-  0.00000         .         .         .         .
1964   13   0.00025   0.09759         .         .         .
1964   14   0.00401   0.08473   0.06719         .         .
1964   15   0.01141   0.11022   0.08763   0.11569         .
1964   16   0.03015   0.15509   0.12973   0.12475   0.14753
1964   17   0.05585   0.19527   0.16205   0.15665   0.23110
1964   18   0.09259   0.24881   0.20887   0.18522   0.18345
1964   19   0.13924   0.26396   0.23096   0.21716   0.20533
1964   20   0.16064   0.27978   0.22829   0.23025   0.23552
1964   21   0.17764   0.29614   0.22631   0.22876   0.23519
1964   22   0.18839   0.30364   0.22078   0.21445   0.23369
1964   23   0.19177   0.30277   0.21662   0.20757   0.24177
1964   24   0.18539   0.28949   0.20057   0.19392   0.23132
1964   25   0.17985   0.28021   0.18958   0.17966   0.21282
1964   26   0.16664   0.26313   0.17734   0.16748   0.20267
1964   27   0.15224   0.24077   0.16267   0.15490   0.18880
1964   28   0.13712   0.21487   0.14895   0.14133   0.17990
1964   29   0.12893   0.18866   0.13411   0.12813   0.16653
1964   30   0.10144   0.15971   0.11657   0.11177   0.15246
1964   31   0.08095   0.13662   0.09649   0.09838   0.13531
1964   32   0.06771   0.12099   0.08797   0.09019   0.13547
