United States, Period table mean ages at birth by birth order
Last modified: 24/03/2023
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1963    26.57    22.30    24.68    27.18    29.36    32.94
1964    26.58    22.49    24.92    27.44    29.62    33.12
1965    26.48    22.70    25.26    27.85    30.01    33.34
1966    26.28    22.73    25.44    28.12    30.29    33.44
1967    26.18    22.84    25.58    28.26    30.36    33.32
1968    26.09    22.95    25.76    28.38    30.36    33.22
1969    26.03    22.91    25.76    28.33    30.21    32.90
1970    25.93    22.85    25.71    28.22    30.03    32.63
1971    25.88    23.07    25.94    28.33    29.99    32.53
1972    25.83    23.31    26.24    28.63    30.13    32.54
1973    25.81    23.51    26.37    28.66    30.06    32.35
1974    25.79    23.66    26.38    28.58    29.94    32.11
1975    25.84    23.81    26.48    28.55    29.79    31.96
1976    25.94    24.00    26.59    28.55    29.75    31.82
1977    25.95    24.00    26.52    28.41    29.70    31.76
1978    26.01    24.13    26.63    28.39    29.61    31.63
1979    26.02    24.09    26.57    28.33    29.62    31.68
1980    26.01    24.03    26.55    28.28    29.61    31.67
1981    26.10    24.13    26.68    28.38    29.71    31.78
1982    26.18    24.22    26.72    28.39    29.76    31.84
1983    26.27    24.35    26.85    28.45    29.81    31.91
1984    26.36    24.43    26.96    28.51    29.82    31.95
1985    26.39    24.42    26.95    28.49    29.83    31.98
1986    26.46    24.48    27.04    28.53    29.82    32.01
1987    26.54    24.54    27.12    28.57    29.82    31.98
1988    26.58    24.51    27.11    28.52    29.71    31.91
1989    26.54    24.40    27.01    28.38    29.54    31.78
1990    26.54    24.30    26.97    28.32    29.51    31.83
1991    26.50    24.25    26.96    28.29    29.49    31.82
1992    26.58    24.34    27.07    28.40    29.61    32.01
1993    26.63    24.35    27.17    28.62    29.91    32.32
1994    26.71    24.36    27.30    28.86    30.24    32.65
1995    26.82    24.45    27.50    29.10    30.50    32.95
1996    26.97    24.64    27.67    29.21    30.54    32.91
1997    27.10    24.81    27.81    29.29    30.57    32.91
1998    27.19    24.93    27.86    29.31    30.56    32.92
1999    27.30    25.05    27.98    29.41    30.66    32.99
2000    27.44    25.16    28.08    29.50    30.76    33.05
2001    27.60    25.37    28.26    29.66    30.90    33.17
2002    27.75    25.55    28.44    29.81    31.01    33.23
2003    27.90    25.71    28.60    29.95    31.12    33.28
2004    27.98    25.81    28.66    29.97    31.10    33.24
2005    28.01    25.86    28.67    29.94    31.11    33.25
2006    27.95    25.77    28.53    29.80    30.98    33.17
2007    27.98    25.80    28.54    29.81    31.02    33.22
2008    28.10    25.97    28.69    29.96    31.15    33.28
2009    28.27    26.22    28.93    30.19    31.35    33.43
2010    28.52    26.55    29.26    30.50    31.61    33.63
2011    28.73    26.82    29.50    30.73    31.81    33.73
2012    28.88    27.02    29.65    30.82    31.85    33.72
2013    29.08    27.28    29.85    30.96    31.93    33.79
2014    29.25    27.50    30.00    31.07    32.00    33.84
2015    29.40    27.71    30.11    31.15    32.09    33.92
2016    29.59    27.95    30.29    31.30    32.19    34.01
2017    29.72    28.17    30.42    31.34    32.20    34.05
2018    29.86    28.36    30.56    31.43    32.28    34.10
2019    29.91    28.47    30.58    31.39    32.23    34.06
2020    29.98    28.62    30.64    31.44    32.30    34.16
2021    30.11    28.74    30.71    31.55    32.44    34.25
