United States, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 24/03/2023
Year      sdMAB    sdMAB40
1933       6.68       5.94
1934       6.65       5.93
1935       6.62       5.91
1936       6.56       5.87
1937       6.51       5.84
1938       6.45       5.80
1939       6.41       5.79
1940       6.33       5.74
1941       6.25       5.69
1942       6.13       5.61
1943       6.17       5.67
1944       6.25       5.73
1945       6.32       5.79
1946       6.11       5.61
1947       6.10       5.62
1948       6.14       5.66
1949       6.12       5.64
1950       6.09       5.63
1951       6.06       5.60
1952       6.04       5.59
1953       6.04       5.59
1954       6.03       5.58
1955       6.00       5.56
1956       5.98       5.55
1957       5.97       5.54
1958       5.93       5.51
1959       5.92       5.50
1960       5.90       5.47
1961       5.90       5.47
1962       5.89       5.45
1963       5.89       5.46
1964       5.91       5.48
1965       5.96       5.52
1966       5.96       5.52
1967       5.93       5.49
1968       5.87       5.45
1969       5.79       5.40
1970       5.74       5.37
1971       5.72       5.37
1972       5.77       5.43
1973       5.74       5.41
1974       5.66       5.35
1975       5.65       5.34
1976       5.60       5.32
1977       5.56       5.29
1978       5.54       5.29
1979       5.54       5.29
1980       5.54       5.30
1981       5.54       5.31
1982       5.58       5.35
1983       5.61       5.39
1984       5.64       5.42
1985       5.66       5.45
1986       5.70       5.49
1987       5.74       5.52
1988       5.78       5.55
1989       5.83       5.60
1990       5.86       5.63
1991       5.93       5.68
1992       5.96       5.71
1993       6.01       5.74
1994       6.05       5.78
1995       6.07       5.79
1996       6.07       5.78
1997       6.07       5.77
1998       6.06       5.76
1999       6.05       5.74
2000       6.04       5.73
2001       6.04       5.72
2002       6.03       5.71
2003       6.04       5.70
2004       6.05       5.71
2005       6.06       5.71
2006       6.07       5.72
2007       6.08       5.72
2008       6.10       5.73
2009       6.10       5.72
2010       6.08       5.70
2011       6.05       5.66
2012       6.03       5.64
2013       6.00       5.60
2014       5.96       5.56
2015       5.94       5.53
2016       5.92       5.50
2017       5.92       5.49
2018       5.92       5.48
2019       5.92       5.47
2020       5.90       5.45
2021       5.85       5.41
