United States, Standard deviation in period mean ages at birth by birth order and standard deviation in period mean ages at birth by birth order by age 40
Last modified: 24/03/2023
Year      sdMAB      sdMAB1      sdMAB2      sdMAB3      sdMAB4     sdMAB5p     sdMAB40   sdMAB40_1   sdMAB40_2   sdMAB40_3   sdMAB40_4  sdMAB40_5p
1933       6.68        4.96        5.13        5.27        5.24        5.36        5.94        4.78        4.88        4.90        4.73        4.33
1934       6.65        4.91        5.09        5.25        5.24        5.37        5.93        4.74        4.88        4.89        4.74        4.35
1935       6.62        4.90        5.12        5.28        5.26        5.39        5.91        4.74        4.90        4.92        4.75        4.38
1936       6.56        4.92        5.12        5.28        5.27        5.40        5.87        4.76        4.91        4.93        4.76        4.38
1937       6.51        4.93        5.10        5.28        5.29        5.41        5.84        4.78        4.90        4.93        4.76        4.40
1938       6.45        4.96        5.11        5.27        5.28        5.42        5.80        4.82        4.90        4.93        4.76        4.42
1939       6.41        5.07        5.12        5.27        5.28        5.40        5.79        4.93        4.93        4.94        4.78        4.40
1940       6.33        5.08        5.18        5.32        5.33        5.47        5.74        4.93        4.99        4.98        4.84        4.49
1941       6.25        5.04        5.15        5.30        5.35        5.48        5.69        4.90        4.97        4.98        4.85        4.51
1942       6.13        4.98        5.10        5.30        5.32        5.47        5.61        4.85        4.92        4.98        4.85        4.52
1943       6.17        5.16        5.12        5.28        5.32        5.46        5.67        5.01        4.94        4.98        4.87        4.54
1944       6.25        5.27        5.25        5.33        5.36        5.46        5.73        5.08        5.05        5.01        4.89        4.55
1945       6.32        5.34        5.33        5.37        5.38        5.48        5.79        5.13        5.11        5.03        4.90        4.54
1946       6.11        5.06        5.22        5.36        5.35        5.51        5.61        4.88        5.00        5.03        4.87        4.57
1947       6.10        5.00        5.17        5.33        5.36        5.52        5.62        4.83        4.95        4.99        4.88        4.58
1948       6.14        5.05        5.17        5.33        5.37        5.52        5.66        4.87        4.95        4.98        4.90        4.59
1949       6.12        5.08        5.14        5.32        5.36        5.54        5.64        4.87        4.92        5.00        4.90        4.64
1950       6.09        5.08        5.13        5.28        5.34        5.52        5.63        4.87        4.91        4.97        4.90        4.63
1951       6.06        4.97        5.12        5.26        5.34        5.52        5.60        4.77        4.89        4.95        4.89        4.65
1952       6.04        4.95        5.11        5.24        5.32        5.54        5.59        4.74        4.89        4.93        4.89        4.68
1953       6.04        4.90        5.08        5.23        5.31        5.54        5.59        4.69        4.85        4.92        4.88        4.71
1954       6.03        4.83        5.06        5.22        5.28        5.52        5.58        4.63        4.83        4.91        4.86        4.70
1955       6.00        4.75        5.03        5.21        5.26        5.47        5.56        4.55        4.80        4.89        4.84        4.68
1956       5.98        4.64        4.98        5.18        5.22        5.44        5.55        4.45        4.75        4.87        4.81        4.66
1957       5.97        4.61        4.91        5.15        5.21        5.42        5.54        4.42        4.69        4.84        4.81        4.65
1958       5.93        4.56        4.85        5.10        5.18        5.37        5.51        4.38        4.63        4.80        4.77        4.63
