United States, Standard deviation in cohort mean ages at birth by birth order and standard deviation in cohort mean ages at birth by birth order by age 40
Last modified: 24/03/2023
Cohort   sdCMAB     sdCMAB1     sdCMAB2     sdCMAB3     sdCMAB4    sdCMAB5p    sdCMAB40  sdCMAB40_1  sdCMAB40_2  sdCMAB40_3  sdCMAB40_4 sdCMAB40_5p
1918       6.12        4.94        5.09        5.33        5.41        5.28        5.66        4.79        4.89        5.00        4.93        4.50
1919       6.10        4.87        5.01        5.30        5.37        5.23        5.65        4.73        4.83        4.99        4.91        4.48
1920       6.06        4.79        4.95        5.23        5.31        5.19        5.62        4.66        4.77        4.94        4.87        4.46
1921       6.00        4.69        4.86        5.14        5.23        5.15        5.58        4.55        4.69        4.86        4.81        4.44
1922       5.95        4.60        4.79        5.04        5.12        5.07        5.55        4.47        4.63        4.77        4.73        4.40
1923       5.88        4.53        4.70        4.92        5.00        4.96        5.51        4.40        4.55        4.67        4.63        4.33
1924       5.81        4.47        4.59        4.80        4.89        4.88        5.46        4.34        4.44        4.57        4.54        4.28
1925       5.75        4.41        4.51        4.71        4.80        4.82        5.42        4.29        4.36        4.49        4.48        4.26
1926       5.67        4.36        4.42        4.62        4.71        4.76        5.37        4.25        4.28        4.42        4.42        4.23
1927       5.62        4.31        4.36        4.57        4.66        4.71        5.34        4.21        4.23        4.39        4.39        4.21
1928       5.56        4.29        4.34        4.56        4.62        4.67        5.30        4.19        4.22        4.39        4.38        4.19
1929       5.49        4.27        4.34        4.53        4.58        4.64        5.25        4.17        4.22        4.37        4.36        4.19
1930       5.42        4.23        4.32        4.49        4.53        4.62        5.20        4.14        4.21        4.35        4.33        4.19
1931       5.33        4.17        4.28        4.43        4.47        4.60        5.13        4.09        4.18        4.31        4.29        4.19
1932       5.25        4.11        4.22        4.37        4.42        4.59        5.06        4.03        4.13        4.25        4.25        4.19
1933       5.17        4.07        4.18        4.32        4.37        4.59        4.99        4.00        4.09        4.21        4.21        4.19
1934       5.10        4.04        4.16        4.29        4.35        4.59        4.93        3.96        4.07        4.17        4.18        4.19
1935       5.05        4.02        4.15        4.26        4.33        4.62        4.87        3.94        4.05        4.15        4.16        4.21
1936       5.00        4.02        4.15        4.26        4.34        4.67        4.82        3.94        4.06        4.14        4.16        4.24
1937       4.98        4.04        4.18        4.28        4.38        4.74        4.80        3.95        4.08        4.16        4.19        4.30
1938       4.97        4.06        4.22        4.33        4.44        4.82        4.79        3.97        4.13        4.20        4.24        4.36
1939       5.00        4.11        4.30        4.41        4.54        4.93        4.81        4.02        4.20        4.27        4.32        4.44
1940       5.05        4.18        4.37        4.51        4.65        5.04        4.85        4.08        4.27        4.35        4.40        4.52
1941       5.08        4.23        4.44        4.60        4.74        5.15        4.87        4.12        4.33        4.43        4.48        4.60
1942       5.11        4.29        4.50        4.69        4.83        5.25        4.90        4.18        4.38        4.51        4.56        4.70
1943       5.17        4.37        4.58        4.79        4.94        5.35        4.95        4.25        4.45        4.59        4.65        4.78
1944       5.26        4.48        4.68        4.90        5.04        5.45        5.04        4.35        4.54        4.69        4.74        4.85
1945       5.36        4.61        4.79        5.00        5.16        5.54        5.12        4.46        4.63        4.78        4.83        4.92
1946       5.44        4.73        4.88        5.08        5.26        5.56        5.19        4.56        4.70        4.83        4.91        4.93
1947       5.52        4.84        4.96        5.15        5.31        5.55        5.25        4.66        4.77        4.88        4.93        4.89
1948       5.63        4.99        5.07        5.22        5.34        5.55        5.35        4.79        4.86        4.93        4.93        4.86
1949       5.75        5.15        5.18        5.26        5.36        5.52        5.45        4.95        4.95        4.96        4.94        4.82
1950       5.85        5.31        5.27        5.28        5.34        5.48        5.54        5.10        5.03        4.97        4.91        4.75
1951       5.91        5.44        5.33        5.28        5.31        5.42        5.60        5.21        5.09        4.96        4.87        4.69
1952       5.96        5.54        5.38        5.28        5.29        5.37        5.65        5.31        5.12        4.95        4.85        4.64
1953       6.00        5.62        5.42        5.29        5.27        5.34        5.68        5.38        5.15        4.95        4.82        4.61
1954       6.04        5.69        5.45        5.31        5.27        5.32        5.71        5.44        5.18        4.96        4.82        4.58
1955       6.06        5.73        5.47        5.32        5.27        5.32        5.73        5.48        5.19        4.97        4.81        4.56
1956       6.08        5.76        5.50        5.33        5.29        5.32        5.73        5.51        5.21        4.98        4.81        4.55
